code,title,type
MAM349,4x faster workload modernization with agentic AI,Lightning talk
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
STG356,Accelerate data migrations to AWS,Chalk talk
DVT308,Accelerate enterprise development with Amazon Q Developer,Workshop
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
MAM216-S,Accelerate Legacy Modernization with Slalom & AWS (sponsored by Slalom),Lightning talk
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
DVT216,Accelerate Terraform Provider development worklows with Amazon Q Developer CLI,Breakout session
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
AIM251,Accelerating AI innovation with NVIDIA GPUs on AWS,Breakout session
BIZ324-S,Accelerating Business Value with Cloud and AI (sponsored by Infosys),Breakout session
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
PEX303,Accelerating Development and DevSecOps with Amazon Bedrock & Amazon Q,Breakout session
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
IND202,Accelerating Real-World Evidence Generation in Life Sciences,Breakout session
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
IND303,Accelerating Smart Product SDLC with Amazon Q Developer,Chalk talk
MAM304,Accelerating SQL Server modernization on AWS with agentic AI,Chalk talk
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
AIM265-S,Adopting AI within Streaming Architectures (sponsored by Redpanda),Lightning talk
AIM376,Advanced document processing with increased accuracy and compliance,Chalk talk
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
MAM202,Agentic AI for VMware migrations with AWS Transform for VMware,Breakout session
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
AIM403,Agentic AI: Powering the future of social good ,Workshop
PEX301,Agentic AI Solutions for Financial Services & Insurance with AWS,Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
ARC330,Agentic architecting: From prototype to production-ready systems,Chalk talk
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
OPN410,Agentic Workflows: How Salesforce Manages 1000+ Clusters,Breakout session
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
AIM217-S,Agents Assemble! The Power of AI Tools That Work Together (sponsored by New Relic),Breakout session
IND412,Agents for Energy : Accelerate renewable asset planning with agentic workflows,Workshop
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
DEV335,AgentVision: Multi-Agent Frameworks for Esports Video Understanding,Chalk talk
DEV301,"AI agents at the edge: Build for offline, scale in cloud",Breakout session
GBL202,AI Agents at Work: Real-World Platforms Driving Business Innovation,Breakout session
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
DEV315,"AI Agents for Databases: Discover, Recommend, Optimize",Breakout session
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
IND305,AI Agents in Manufacturing: Building Intelligent Data Workflows,Chalk talk
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
AIM263-S,"AI Agents with Amazon Nova Sonic: Vonage for Financial Services (sponsored by Vonage, Part of Ericsson)",Lightning talk
IND203,AI and HCP Engagement: Powering Smarter Life Sciences Field Operations,Chalk talk
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
AIM230-S,AI-Driven Testing: Scaling Automation with KaneAI and HyperExecute (sponsored by LambdaTest),Lightning talk
AIM274-S,AI-First Contact Centers: Reinventing Scale with AWS and Partners (sponsored by PwC),Breakout session
AIM220-S,AI-Native Era of Observability: How You Can Get Started Today (sponsored by Coralogix),Breakout session
ARC337-S,AI-Powered Enterprise Architecture with ServiceNow & AWS (sponsored by ServiceNow),Breakout session
ARC318,AI-powered FinOps: Agent-based cloud cost management,Chalk talk
DAT301,AI powered PostgreSQL: Incident detection & MCP integration,Workshop
COP420,AI-powered resilience testing and disaster recovery,Breakout session
AIM404,AI vs AI: Detecting fake content with AI agents,Builders' session
SNR307,A leaders guide to advanced team structures in an agentic world ,Breakout session
SNR202,A leaders guide to data strategy in the era of agentic AI ,Breakout session
AIM247-S,"All Power, No Pain: Scale Agentic AI Apps in an Open Lakehouse (sponsored by Qlik)",Lightning talk
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
DVT330,"Amazon Q Developer CLI, a lightning-fast coding experience",Chalk talk
BIZ212,Anthology boosts contact center efficiency with AI,Breakout session
DEV326,Anti-Money Laundering Multi-agent Orchestration with AWS Strands,Breakout session
OPN401,An unexpected journey building AWS MCP Servers,Breakout session
DAT315,A practitioner’s guide to data for agentic AI,Breakout session
PEX308,Architecting Agentic AI for Supply Chain: Data-to-Decision Patterns,Chalk talk
ARC324,Architecting agentic systems: Self-evolving patterns with AWS AI,Chalk talk
IND374,Architecting multi-agent systems: Patterns in financial services,Chalk talk
HMC210,Architecting multicloud solutions from data mesh to generative AI,Breakout session
DEV305,Architecting Real-time Sign Language Systems with AI Agents,Chalk talk
MAM221-S,Architecting Trusted GenAI and Agentic Experiences in Financial Services (sponsored by Coveo),Lightning talk
DVT316-S,Are your APIs ready for AI agents? (sponsored by Postman),Breakout session
AIM113-S,AstraZeneca's AI-powered Drug Discovery with Snowflake & AWS (sponsored by Snowflake),Breakout session
IND339,Automate Inventory Rebalancing on AWS with Agentic AI,Builders' session
DVT401,Automate Java application upgrade with generative AI,Workshop
DVT324, Automate your code transformations at scale,Builders' session
DVT302, Automate your software tasks with agent hooks,Builders' session
MAM342,Automating enterprise-scale code modernization with agentic AI,Breakout session
IND337,Auto ML Pipeline for Custom Telco Language Models in Amazon Connect,Workshop
ANT424,Autonomous agents powered by streaming data and Retrieval Augmented Generation,Breakout session
DAT302,Autonomous DBOps: Agentic AI for maintaining databases,Builders' session
