code,title,type
MAM349,4x faster workload modernization with agentic AI,Lightning talk
CMP349,5-Star Customer Service: Duolingo's Path to Compute Savings,Breakout session
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
MAM216-S,Accelerate Legacy Modernization with Slalom & AWS (sponsored by Slalom),Lightning talk
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
MAM302,Accelerate your migration & modernization journey with EBA Cloud Party,Workshop
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
MAM304,Accelerating SQL Server modernization on AWS with agentic AI,Chalk talk
PEX203,Accelerating workload modernization using next generation agentic AI,Breakout session
MAM201,A complete guide to Amazon EVS: Unlock AWS scale for VMware workloads,Breakout session
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
ANT421,Advanced Stream Processing with Apache Flink,Chalk talk
MAM202,Agentic AI for VMware migrations with AWS Transform for VMware,Breakout session
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
OPN410,Agentic Workflows: How Salesforce Manages 1000+ Clusters,Breakout session
MAM103-S,AI driven application modernization at scale (sponsored by Pega),Lightning talk
SNR301,A leaders guide to accelerating large-scale migration,Breakout session
SNR303,A leaders guide to advanced mental models and mechanisms,Breakout session
SNR302,A leaders guide to cloud-native application modernization,Breakout session
AIM247-S,"All Power, No Pain: Scale Agentic AI Apps in an Open Lakehouse (sponsored by Qlik)",Lightning talk
MAM401,Amazon EVS deep dive: Advanced networking and storage architecture,Chalk talk
MAM305,Amazon EVS deep dive: Strategic migration planning,Chalk talk
ANT423,Amazon Kinesis Data Streams under the hood,Breakout session
MAM306,Application modernization challenge,Workshop
MAM307,Architecting real-time data pipeline modernization with Generative AI,Chalk talk
MAM221-S,Architecting Trusted GenAI and Agentic Experiences in Financial Services (sponsored by Coveo),Lightning talk
SEC217-S,Automated cloud security remediation with agentic workflows (sponsored by Dynatrace),Lightning talk
DVT401,Automate Java application upgrade with generative AI,Workshop
DVT326,Automate Java app upgrades & accelerate innovation with generative AI,Chalk talk
MAM330,Automate SAP supply chain exceptions with generative AI,Workshop
DVT324, Automate your code transformations at scale,Builders' session
MAM342,Automating enterprise-scale code modernization with agentic AI,Breakout session
SPS309,Automating LLM Fine-Tuning with Multi-Agentic Orchestration,Breakout session
MAM203,"AWS for VMware migrations: Successes, roadmaps, & strategies",Breakout session
MAM308,AWS fundamentals for the accidental SQL Server database administrator,Chalk talk
CMP307,AWS Graviton: The best price performance for your AWS workloads,Breakout session
MAM309,AWS migration journey: 2025 itinerary for Microsoft workloads,Breakout session
MAM310,AWS migration planning: From discovery to delivery,Chalk talk
HMC202,AWS wherever you need it: From the cloud to the edge,Breakout session
STG411,Best practices for maximizing S3 File Gateway performance,Chalk talk
DAT303,Best practices for migrating and operating Db2 databases on Amazon RDS,Chalk talk
MAM344,Best practices for performing custom code transformation with agentic AI,Code talk
API401,Beyond Batch: Modernize with Event-Driven Architecture & Serverless,Builders' session
IND213,Beyond EHR: Leveraging AWS for Maximum Clinical and Operational Impact,Breakout session
STG361,Beyond SFTP and NFS: Automate enterprise file transfers at scale,Breakout session
DAT322,Binge-worthy: Netflix's journey to Amazon Aurora at scale,Lightning talk
CMP310,"Boost Amazon EKS Efficiency: EKS Auto Mode, Graviton, and EC2 Spot",Chalk talk
CNS346,"Break down monoliths, modernizing applications on Amazon ECS",Chalk talk
IND309,Breaking Down Silos: Multi-Agent Architecture for Media Operations,Chalk talk
MAM402,Breaking the legacy barrier: How AI is revolutionizing modernization,Breakout session
ANT338,Bring unified analytics to your data warehouse with the lakehouse architecture,Chalk talk
MAM406,Build agentic AI features for monolithic applications,Builders' session
MAM352,Build an agentic SAP order management solution,Workshop
MAM353,Build an SAP ABAP application and generate unit test cases with generative AI,Builders' session
MAM404,Building agentic AI applications on Amazon Bedrock using C# and .NET,Builders' session
MAM104-S,Building Predictable AI Agents with Pega and AWS Bedrock (sponsored by Pega),Lightning talk
ANT422,Building Resilient Multi-Tenant Messaging with Amazon SQS,Chalk talk
NTA312,Building The Enterprise Data Success Framework,Chalk talk
CMP311,"Build Once, Run Everywhere: Multi-Architecture in Your CI/CD Pipelines",Chalk talk
IND366,Build ultra-low latency ad workloads with unmatched cost-performance,Workshop
DAT102-S,CCC Intelligent Solutions Achieves Major Savings with Oracle to AWS PostgreSQL (sponsored by Cognizant),Breakout session
MAM311,Choose your own modernization adventure: From legacy to cloud-native,Workshop
NTA201,Cloud Foundations Accelerator,Chalk talk
MAM312,COBOL to cloud: Accelerated refactoring with AWS Transform agentic AI,Workshop
COP337,Correlating compliance signals across AWS,Chalk talk
CMP313,Cost Optimize your .NET workloads on AWS,Chalk talk
MAM347,Create custom mainframe modernization with AWS and AWS partners,Breakout session
MAM313,Decomposing monolithic databases with generative AI,Chalk talk
API201,Decoupling your data-driven applications with Amazon EventBridge Pipes,Builders' session
NET401,Deep dive into advanced routing policy with AWS Cloud WAN,Breakout session
MAM205,Derisk your mainframe exit through mainframe refactoring with agentic AI,Breakout session
CNS362,Designing mission critical applications with serverless services,Breakout session
MAM204,Digital transformation excellence: From vision to victory,Breakout session
MAM314,Domain driven microservices design with Amazon Bedrock and Amazon Q,Chalk talk
AIM285-S,DraftKings & MongoDB: Supercharging Engineering with AI (sponsored by MongoDB),Breakout session
DAT320,DraftKings: Scaling to 1M operations/min on Aurora during Super Bowl,Lightning talk
