code,title,type
IND371,Accelerate product development lifecycle with a product digital twin,Lightning talk
IND310,Build Agentic AI Solutions for Industrial Predictive Maintenance,Workshop
IND409,Building Agentic Smart home with Generative AI,Workshop
ARC327,Cell-based architectures: From connected vehicles to enterprise systems,Chalk talk
DEV316,Designing local Generative AI inference with AWS IoT Greengrass,Breakout session
BIZ304,Design multi-modal customer journeys with Amazon Connect,Chalk talk
AIM2202-S,"Edge AI in Real-World Solutions using AWS SageMaker, Greengrass and Bedrock (sponsored by Qualcomm)",Breakout session
DEV404,I Put an Agent in a Biscuit,Breakout session
IND370,Modernizing Operational Technology for AI-power Manufacturing,Lightning talk
IND326,Smart Machines: Maximizing Business Value with Generative AI,Chalk talk
IND405,Transforming Manufacturing Operations with Agentic Edge Gateways,Chalk talk
IND364,Transforming Service Operations with IoT and Gen AI,Builders' session
IND329,Unified Namespace: Simplifying Manufacturing Data Integration,Chalk talk
IND332,Zero-Training Visual Defect Detection Using Amazon Nova,Workshop
