code,title,type
DVT222-S,100% Observability at 10% the Cost Using Grepr's Real-Time ML (sponsored by Grepr),Lightning talk
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
WPS204,Accelerate mission outcomes with recent AWS government regions innovations,Lightning talk
MAM302,Accelerate your migration & modernization journey with EBA Cloud Party,Workshop
WPS313,Accelerating Research at Scale: MIT’s Self-Service Portal,Breakout session
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
CMP350,Accelerating Vehicle Innovation: ML & HPC Best Practices,Chalk talk
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
PEX301,Agentic AI Solutions for Financial Services & Insurance with AWS,Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
AIM263-S,"AI Agents with Amazon Nova Sonic: Vonage for Financial Services (sponsored by Vonage, Part of Ericsson)",Lightning talk
AIM115-S,"AI, Cloud & Public Sector Transformation: PwC & AWS Driving Change Now (sponsored by PwC)",Lightning talk
MAM103-S,AI driven application modernization at scale (sponsored by Pega),Lightning talk
AIM230-S,AI-Driven Testing: Scaling Automation with KaneAI and HyperExecute (sponsored by LambdaTest),Lightning talk
AIM274-S,AI-First Contact Centers: Reinventing Scale with AWS and Partners (sponsored by PwC),Breakout session
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
ARC337-S,AI-Powered Enterprise Architecture with ServiceNow & AWS (sponsored by ServiceNow),Breakout session
SNR301,A leaders guide to accelerating large-scale migration,Breakout session
SNR304,A leaders guide to achieving compliance through software excellence,Breakout session
SNR303,A leaders guide to advanced mental models and mechanisms,Breakout session
SNR307,A leaders guide to advanced team structures in an agentic world ,Breakout session
SNR201,A leaders guide to agentic AI ,Breakout session
SNR306,A leaders guide to AI powered FinOps,Breakout session
SNR305,A leaders guide to AI strategy and implementation,Breakout session
SNR302,A leaders guide to cloud-native application modernization,Breakout session
SNR202,A leaders guide to data strategy in the era of agentic AI ,Breakout session
SNR203,A leaders guide to emerging technologies: From insight to rapid action,Breakout session
SNR204,A leaders guide to navigating multicloud strategies and decisions,Breakout session
AIM247-S,"All Power, No Pain: Scale Agentic AI Apps in an Open Lakehouse (sponsored by Qlik)",Lightning talk
BIZ212,Anthology boosts contact center efficiency with AI,Breakout session
IND368,Apollo Tyres Accelerates Engineering Workflows with HPC on AWS,Breakout session
AIM296-S,A practical guide to modern web architecture  (sponsored by Contentful),Lightning talk
PEX308,Architecting Agentic AI for Supply Chain: Data-to-Decision Patterns,Chalk talk
WPS201,"Architecting large-scale migrations at the NSA, Fannie Mae, and DCSA",Breakout session
ARC320,Architecting resilient global networks with Project Kuiper,Breakout session
ANT204,Architecting the future: Amazon SageMaker as a data and AI platform,Breakout session
MAM221-S,Architecting Trusted GenAI and Agentic Experiences in Financial Services (sponsored by Coveo),Lightning talk
IND301,Architect petabyte-scale observability with OpenSearch and Amazon Q,Chalk talk
CNS303,Architecture patterns for MLOps on Amazon EKS,Chalk talk
DVT316-S,Are your APIs ready for AI agents? (sponsored by Postman),Breakout session
SPS201,Autodesk's ML Inference Optimization: Leveraging AWS AI Chips,Breakout session
CMP306,Automating and optimizing EC2 Mac instances for Apple development,Workshop
MAM342,Automating enterprise-scale code modernization with agentic AI,Breakout session
SPS309,Automating LLM Fine-Tuning with Multi-Agentic Orchestration,Breakout session
PEX305,Automotive Supply Chain Optimization using AI,Breakout session
WPS207,Autonomy in Defense: Scaling Innovation for Mission Outcomes,Breakout session
IND378,AWS for healthcare analytics: accelerating time to insights,Chalk talk
MAM203,"AWS for VMware migrations: Successes, roadmaps, & strategies",Breakout session
SMB202,AWS & GenAI Power CDG's Telecom Software Modernization Journey,Lightning talk
PEX108,AWS Generative AI Innovation Center driving enterprise success with AWS Partners,Lightning talk
PEX105,AWS Global Startup Program - how to accelerate your GTM success,Lightning talk
PEX209,AWS Marketplace growth through product-led growth and international expansion,Lightning talk
IND213,Beyond EHR: Leveraging AWS for Maximum Clinical and Operational Impact,Breakout session
ARC332-S,Beyond Multi-Cloud Chaos: The Unified Cloud Mesh Architecture (sponsored by HAProxy Technologies),Breakout session
EUC206,Break down AI barriers with AWS Wickr and Amazon Bedrock,Chalk talk
PEX309,Breakdown to Breakthrough: Crafting AI-Powered Smart Machine Support,Chalk talk
MAM402,Breaking the legacy barrier: How AI is revolutionizing modernization,Breakout session
ANT327-S,Build a GenAI Race Tracker With Confluent & AWS Bedrock in <60 Min  (sponsored by Confluent),Breakout session
PEX316,Build agents & tools for Bedrock AgentCore and sell in AWS Marketplace,Builders' session
ANT304,Build an AI-ready data foundation,Breakout session
DAT448,Build a stablecoin payment processor using AWS serverless services,Workshop
ANT344,"Build, govern, and share Amazon QuickSight dashboards with Amazon SageMaker",Breakout session
API316,Build Hybrid Serverless Architectures with AWS and On-premises Systems,Chalk talk
AIM273-S,Building a Cloud-Native Risk Decisioning Platform for Resilience (sponsored by PwC),Breakout session
AMZ305,Building and managing conversational AI at scale: lessons from Alexa+,Breakout session
ARC206,Building and operating an effective architecture review board,Chalk talk
ARC312,Building at global scale: Engineering AWS expansion,Breakout session
API209-S,Building better AI agents by applying context engineering (sponsored by Redis),Breakout session
ISV312,Building Context-Rich Data Agents for SaaS with Amazon Bedrock,Chalk talk
WPS316,Building Cornell's AI Future: AWS Innovation at Enterprise Scale,Breakout session
PEX302,Building enterprise-grade Agentic AI factory,Breakout session
AIM290-S,"Building Fast, Cost-Efficient, Sovereign Inference Platforms on AWS w/Intel CPUs (sponsored by Intel)",Breakout session
HMC209-S,"Building High-Performance, Secure Networks for Hybrid and Multicloud (sponsored by Equinix)",Lightning talk
ANT332,Building high-quality data products for AI Agents,Chalk talk
AIM394-S,Building multi-agent AI SRE: from root cause to vibe debugging (sponsored by Resolve AI),Breakout session
ISV306,Building Multi-tenant global ML SaaS platform,Lightning talk
ARC207,Building on AWS resilience: Innovations for critical success,Breakout session
IND345,Building privacy-aware generative AI applications in financial services,Chalk talk
SMB302,Building Self-Healing IT Systems with Agentic AI,Builders' session
AIM3307-S,Building the Future Trading Platform leveraging AI and AWS (sponsored by Cognizant),Breakout session
ARC305,Building Well-Architected solutions: A generative AI approach,Builders' session
AIM122-S,"Building workflows of your choosing: agents, copilots, and everything in between (sponsored by Tines)",Lightning talk
API205-S,"Build, manage and govern AI agents from one place (sponsored by IBM)",Lightning talk
ANT341,Build trust in AI with end-to-end data lineage in Amazon SageMaker Catalog,Chalk talk
BIZ219,Caesars personalizes guest service at scale with AI-powered Amazon Connect,Breakout session
WPS202,Chaos & Continuity: Using Gen AI to improve humanitarian workload resilience,Lightning talk
AIM277-S,Claude 4 on AWS: Architecting Enterprise AI at Scale (sponsored by Anthropic),Breakout session
AIM118-S,Clinical Trials: AbbVie's Enterprise AI-Powered Document Creation Platform GAIA (sponsored by Accenture),Breakout session
BIZ215,Cochlear enhances contact center observability with Amazon Connect,Breakout session
SPS310,Commonwealth Bank of Australia reimagines modernization via agentic AI,Breakout session
AIM292-S,Cracking the SMB Code: AI Sales That Redefine Travel Growth (sponsored by ZS),Lightning talk
MAM347,Create custom mainframe modernization with AWS and AWS partners,Breakout session
AIM110-S,Customer Services Reinvention powered by AWS (sponsored by Accenture),Breakout session
STG338,Data protection and resilience with AWS Storage,Breakout session
ANT340,Deep dive into data processing in SageMaker Unified Studio,Chalk talk
WPS304,Deploy artificial intelligence architectures in regulated industries ,Chalk talk
MAM205,Derisk your mainframe exit through mainframe refactoring with agentic AI,Breakout session
DVT102-S,Designing with Agents: A Playbook for Enterprise Engineering Leaders (sponsored by Windsurf),Breakout session
MAM204,Digital transformation excellence: From vision to victory,Breakout session
AIM260-S,Ditch your old SRE playbook: AI SRE for root cause in minutes (sponsored by Resolve AI),Breakout session
AIM261-S,Dive into Poolside: AI Models for Today’s Enterprise Software Teams (sponsored by poolside),Breakout session
IND315,Do's and don'ts for mission-critical workloads in financial services,Chalk talk
