code,title,type
COP347,Actionable controls for improving governance and compliance,Breakout session
COP354,Agile governance: Deploy AWS Control Tower in your current environment,Chalk talk
ARC323,Architecting enterprise-scale governance beyond AWS Control Tower,Chalk talk
SEC301,Architecting for Digital Sovereignty: From Foundation to Practice,Chalk talk
COP312,Architecting Security at Scale with AWS Cloud Governance,Chalk talk
STG333,Automate data protection at scale with AWS Backup and AWS Control Tower,Code talk
IND384,Automate insights and drive innovation with cloud and AI solutions,Breakout session
NTA321,AWS Agent for SAP Invoice Automation,Workshop
COP349,Balancing Agility and Compliance feat. The Digital Agency of Japan,Breakout session
COP350,Building and validating cloud controls with generative AI,Breakout session
COP409,Building Sovereign Cloud Environments,Code talk
NTA201,Cloud Foundations Accelerator,Chalk talk
COP308,Establish a secure AWS foundation with AWS Control Tower,Workshop
COP309,Establishing effective cost governance,Chalk talk
NTA315,Extending governance across clouds,Chalk talk
ISV310,Global Growth: A Framework for Expanding into New Regions,Chalk talk
COP346,Governance that Enables Innovation at Scale feat. Eli Lilly,Breakout session
INV511,Symbolic Execution for Better Cloud Governance,Chalk talk
