code,title,type
DVT222-S,100% Observability at 10% the Cost Using Grepr's Real-Time ML (sponsored by Grepr),Lightning talk
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
DVT308,Accelerate enterprise development with Amazon Q Developer,Workshop
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
DVT216,Accelerate Terraform Provider development worklows with Amazon Q Developer CLI,Breakout session
PEX303,Accelerating Development and DevSecOps with Amazon Bedrock & Amazon Q,Breakout session
COP334,Accelerating incident response through AIOps,Breakout session
HMC319,Achieve multicloud FinOps visibility,Chalk talk
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
ARC301,AI-powered troubleshooting: From chaos to Well-Architected,Builders' session
DVT103-S,AI transforms development: Lessons from CircleCI's journey with AWS (sponsored by CircleCI),Lightning talk
DVT330,"Amazon Q Developer CLI, a lightning-fast coding experience",Chalk talk
COP329,Application performance monitoring: From design to implementation,Chalk talk
DVT311, Apply Amazon’s DevOps culture to your team,Chalk talk
ARC336,Architecting reliable deployments: Amazon.com's blue/green patterns,Chalk talk
ANT322,Architectural patterns for real-time data analytics on AWS,Chalk talk
OPN302,AutoGluon: Build Production ML Apps from Zero to Hero,Workshop
DVT401,Automate Java application upgrade with generative AI,Workshop
DVT326,Automate Java app upgrades & accelerate innovation with generative AI,Chalk talk
DVT324, Automate your code transformations at scale,Builders' session
DVT302, Automate your software tasks with agent hooks,Builders' session
DAT302,Autonomous DBOps: Agentic AI for maintaining databases,Builders' session
DVT203, AWS infrastructure as code: A year in review,Breakout session
GHJ303,AWS Jam: DevOps & Modernization - Sponsored by LaunchDarkly,Gamified learning
CNS402,AWS Serverless developer experience workshop,Workshop
STG317-S,Best practices to simplify resilience at scale for Gen AI data & apps (sponsored by Commvault),Breakout session
DVT329,Blueprint to code: Mastering spec-driven development,Chalk talk
DAT312,Boost performance and reduce costs in Amazon Aurora and Amazon RDS,Breakout session
DVT224-S,Bronto: Logs at Scale Without Compromise (sponsored by Bronto),Lightning talk
DEV306,Build AI Agents in Java with Spring AI,Chalk talk
DEV331,Build and deploy AI agents using Kiro and Amazon Bedrock AgentCore,Code talk
MAM353,Build an SAP ABAP application and generate unit test cases with generative AI,Builders' session
API304,Build GenAI-Powered Workflows with Step Functions and AWS AI Services,Builders' session
API208,Building a culture of API Excellence,Lightning talk
COP405,Building agentic workflows for augmented observability,Code talk
ARC304,Building and testing resilient multi-AZ applications,Workshop
AIM394-S,Building multi-agent AI SRE: from root cause to vibe debugging (sponsored by Resolve AI),Breakout session
DEV302,Building .NET AI Applications with Semantic Kernel and Amazon Bedrock,Code talk
ANT422,Building Resilient Multi-Tenant Messaging with Amazon SQS,Chalk talk
CNS312,Building Serverless applications with Terraform workshop,Workshop
OPN304,Building Trust in AI Agents: Automated Evaluation at Scale,Chalk talk
DEV406,Build resilient distributed systems through comprehensive testing,Chalk talk
ISV404,Build Resilient SaaS: Multi-Account Resilience Testing Patterns,Code talk
AIM111-S,Build your agentic operating system with Slack (sponsored by Slack from Salesforce),Lightning talk
OPN402,"Cache me if you can, Valkey edition",Workshop
AIM259-S,Closing the gap between speed and safety: shipping faster at scale (sponsored by LaunchDarkly),Breakout session
HMC208-S,Cloud Application Security in the AI Era: Lessons from Adobe and Fortinet (sponsored by Fortinet),Breakout session
NTA201,Cloud Foundations Accelerator,Chalk talk
DVT405,Code completion to agents: The evolution of development,Breakout session
DEV405,Compile blazing-fast MCP servers in Rust,Code talk
DVT202, Continuous integration and continuous delivery (CI/CD) for AWS,Breakout session
DVT309," Create secure, production-ready code with Amazon Q Developer",Workshop
DVT403,Create your own AI sidekick: a hands-on agent building workshop,Workshop
NTA313,Cut Costs with Aurora PostgreSQL & Babelfish,Chalk talk
DVT304,Deploy infrastructure with speed and safety using AWS CloudFormation,Workshop
HMC320,Design patterns for multicloud observability,Chalk talk
DVT305, Develop AWS CDK resources to deploy your applications on AWS,Workshop
DVT207,Developer Experience Economics: Moving Past Productivity Metrics,Breakout session
CNS415-S,Developing Serverless Applications Locally with AWS and LocalStack (sponsored by LocalStack),Lightning talk
DVT331,"Develop richer, contextual workflows with Model Context Protocol (MCP)",Chalk talk
AIM260-S,Ditch your old SRE playbook: AI SRE for root cause in minutes (sponsored by Resolve AI),Breakout session
DAT103-S,Driving AI Innovation at the Enterprise Level with MDB Atlas (sponsored by MongoDB),Lightning talk
MAM219-S,Driving modernization using Mphasis’ Agentic AI framework (sponsored by Mphasis),Lightning talk
COP326,Elevate application and generative AI observability,Breakout session
ISV401,Elevate Multi-Tenant SaaS Operations: DevOps Strategy with Kubernetes,Builders' session
DVT303, Empower development teams with AI-driven automation,Builders' session
DEV346,Enterprise CI/CD: Advanced patterns for resilient deployments,Code talk
DVT208, Epic journey: Navigating the AI-powered SDLC from backlog to production,Breakout session
NTA315,Extending governance across clouds,Chalk talk
DVT213,Extend Kiro with MCP support for richer context,Breakout session
IND217-S,Fast and compliant CI/CD pipelines in the financial industry (sponsored by Octopus Deploy),Lightning talk
DVT333,From AI tools to AI teammates: Building an AI strategy for your SDLC,Chalk talk
AIM225-S,From Alert to Resolution: Supercharge AWS Ops with the Agentic AI SRE (sponsored by NeuBird AI),Lightning talk
CNS341,From code to cloud: Accelerate application development with Amazon ECS,Breakout session
DVT320,From concept to production: Build with spec-driven development and Kiro,Code talk
AIM294-S,From Punch Cards to Pair Programming and Beyond: The Future of Copilot (sponsored by GitHub),Breakout session
MAM318,From vibe coding to vibe modernizing with AWS AI services,Builders' session
MAM322,From VSAM to DynamoDB: Reimagining mainframe data for the cloud,Builders' session
DVT327,From Windows to Linux: .NET application modernization,Chalk talk
DVT402, Game on: build a retro adventure game in 120 minutes,Workshop
DVT217,"Generative AI, agents, MCP, and the future of AI-powered software development",Breakout session
DVT215,Go from idea to deployment faster with Amazon Q Developer,Breakout session
DVT334,How AI is impacting the software development lifecycle,Chalk talk
IND3321,How Allianz designed AIOps at enterprise scale,Breakout session
DEV403,How Amazon Teams Use AI Assistants to Accelerate Development,Code talk
DVT104-S,"How Enterprises are Pioneering Innovation and DevOps (sponsored by Harness, Inc)",Breakout session
CNS320,I didn't know AWS SAM could do that,Builders' session
AIM211-S,Improve quality and speed across the SDLC with Atlassian Rovo Dev (sponsored by Atlassian),Lightning talk
DVT322,Incorporating generative AI in the CI/CD pipeline,Chalk talk
OPN305,Integrated AI Agents & Code Assistants with MCP & AWS,Chalk talk
DVT214,Introducing AI driven development lifecycle (AI-DLC),Breakout session
DVT209,Kiro: Your agentic IDE for spec-driven development,Breakout session
OPN308,kro: Simplifying Kubernetes Resource Orchestration,Lightning talk
DVT201, Learn new development skills with Kiro,Builders' session
IND3319,Mastercard: How to protect sensitive data in real-time applications,Breakout session
DVT335,Mastering agentic prompt engineering ,Chalk talk
DVT310," Mastering automated, zero-downtime software deployments",Chalk talk
DEV320,Mastering feature flags: Faster releases and rapid recovery,Code talk
OPN405,Mastering Fluent-bit: Performance at Scale,Workshop
DVT223-S,Maximize Productivity with the Amazon Q Developer CLI Agent (sponsored by Pluralsight),Lightning talk
DVT219,Measuring AI Impact with Amazon Q Developer and Jellyfish,Breakout session
AIM245-S,Memory Design for AI Agents (sponsored by MongoDB),Workshop
API317,Migrating to Amazon API Gateway,Chalk talk
DVT306, Modernize CI/CD with GitHub and AWS CodePipeline,Workshop
DEV333,Modernize monoliths to microservices with generative AI,Breakout session
DVT210,Modernizing Java applications with generative AI,Breakout session
DVT205-S,Move fast & don't break things: Maintaining software excellence as you adopt AI (sponsored by Cortex),Lightning talk
DVT312, Multi-account and multi-region deployments at scale,Chalk talk
HMC321,Multicloud networking best practices,Chalk talk
AIM359-S,New Era of Platform Engineering – Agentic AI-Powered Self-Service  (sponsored by SoftServe),Lightning talk
COP335,Observability for AI Agents and Traditional Workloads,Breakout session
ARC316,Operational excellence: Building resilient systems,Chalk talk
DEV318,Optimize AWS Costs: Developer Tools and Techniques,Breakout session
ARC333,Pipeline architectures: Balancing centralization and team autonomy,Chalk talk
DAT310,Plan and execute PostgreSQL version upgrades for Aurora & Amazon RDS,Chalk talk
MAM332,Platform engineering: From developer success to business value,Chalk talk
DAT410,PostgreSQL performance: Real-world workload tuning,Code talk
API210-S,Powering real-time apps and analytics with Redis 8 + RDI (sponsored by Redis),Breakout session
OPN307,Production Trino: Robust Interactive Workloads at Scale,Chalk talk
GHJ310,re:Architecture Rodeo - Resilience Challenge,Gamified learning
DVT301, Reduce development cycles with Amazon Q Developer and GitHub,Builders' session
AIM293-S,Reimagining Software Development and DevOps with Agentic AI (sponsored by GitHub),Breakout session
DVT332,Reinvent your DevOps workflows using Kiro,Chalk talk
AIM243-S,Run and Scale Agentic AI Applications in Production (sponsored by HashiCorp),Breakout session
COP314,Scale & automate patching with AI-powered visualization,Workshop
ARC311,Scaling observability with generative AI: Building automated patterns,Builders' session
CDN201-S,"Secure, Easy and Performant VPC Resource Connectivity with Tailscale (sponsored by Tailscale)",Lightning talk
DVT313, Simplify cloud infrastructure creation with the AWS CDK,Chalk talk
DVT220,Simplify development workflows with agentic capabilities,Breakout session
MAM107,Simplify discovery and deployment of software with AWS Marketplace,Lightning talk
HMC323,"Simplifying multicloud developer experience, feat. Macquarie",Lightning talk
DEV321,Simplify serverless testing using Amazon Q Developer,Builders' session
DVT212,Spec-driven development: Shaping the next generation of AI software,Breakout session
DEV314,Spec-driven development with Kiro,Code talk
DVT101-S,State of DevEx 2025: Navigating the AI Revolution and Developer Experience (sponsored by Atlassian),Breakout session
CNS421,Streamline Amazon EKS operations with Agentic AI,Code talk
DEV304,Supercharge DevOps with AI-driven observability,Breakout session
DEV416,Swift for AI: Developing Agents and MCP-Compatible Tools,Chalk talk
DEV319,Tackling Anti-patterns with AI-Driven Development Lifecycle (AI-DLC),Chalk talk
DVT341,Teaching your AI tools custom languages and libraries,Lightning talk
COP332-S,The Digital Supply Chain Is Broken. Can AI Fix It? (sponsored by Files.com),Lightning talk
ARC309,The Frugal Architect GameDay: Building cost-aware architectures,Workshop
DVT317,The Kiro coding challenge,Workshop
AIM126-S,The state of AI in software development: Insights across 400+ organizations (sponsored by Atlassian),Breakout session
DVT314, Top Tips for Getting the Most Out of AWS CloudFormation,Chalk talk
DVT206-S,Transforming Observability: Ripple’s Journey with Grafana on AWS (sponsored by Grafana Labs),Lightning talk
COP331,Troubleshooting database performance issues at scale,Lightning talk
DVT325,Unleashing AWS agility with Terraform ,Chalk talk
DEV307,Unleash Rust's potential on AWS,Breakout session
DVT328,Unlock development value in the age of AI-driven strategies ,Chalk talk
NTA101,Unlock Innovation: A Guide to AWS Partner Products in AWS Marketplace,Breakout session
DVT404,Unlock interoperability: Build your first MCP server,Workshop
DVT340,Unlock the power of Kiro steering: Your blueprint for scalable development,Breakout session
