code,title,type
MAM349,4x faster workload modernization with agentic AI,Lightning talk
MAM216-S,Accelerate Legacy Modernization with Slalom & AWS (sponsored by Slalom),Lightning talk
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
MAM202,Agentic AI for VMware migrations with AWS Transform for VMware,Breakout session
SNR302,A leaders guide to cloud-native application modernization,Breakout session
DVT326,Automate Java app upgrades & accelerate innovation with generative AI,Chalk talk
MAM342,Automating enterprise-scale code modernization with agentic AI,Breakout session
MAM203,"AWS for VMware migrations: Successes, roadmaps, & strategies",Breakout session
GHJ303,AWS Jam: DevOps & Modernization - Sponsored by LaunchDarkly,Gamified learning
MAM312,COBOL to cloud: Accelerated refactoring with AWS Transform agentic AI,Workshop
CMP313,Cost Optimize your .NET workloads on AWS,Chalk talk
MAM205,Derisk your mainframe exit through mainframe refactoring with agentic AI,Breakout session
MAM219-S,Driving modernization using Mphasis’ Agentic AI framework (sponsored by Mphasis),Lightning talk
MAM405,Easily port .NET applications to Linux with AWS Transform for .NET,Workshop
MAM316,Fast-track your VMware to AWS migration with AWS Transform,Workshop
AIM344-S,From Cloud Modernization to Autonomous Enterprise: The Next Frontier (sponsored by Genpact),Breakout session
MAM322,From VSAM to DynamoDB: Reimagining mainframe data for the cloud,Builders' session
DVT327,From Windows to Linux: .NET application modernization,Chalk talk
MAM320,Grupo Tress Internacional's .NET modernization with AWS Transform,Breakout session
MAM323,Map your VMware workloads migration and modernization journey to AWS,Chalk talk
PEX304,Migrate and Modernize Legacy Workflows to Intelligent Agents,Breakout session
DEV333,Modernize monoliths to microservices with generative AI,Breakout session
CNS326,Modernize .NET Framework workloads with containers and AWS Transform,Workshop
DVT210,Modernizing Java applications with generative AI,Breakout session
MAM408,Move and improve at scale using AWS Transform,Workshop
CMP335,Optimize .NET Price-Performance with Graviton using AWS Transform,Workshop
MAM341,Reimagine your mainframe applications using AWS Transform's AI agent,Workshop
MAM334,Scale modernization with agentic AI featuring Thomson Reuters,Breakout session
MAM335,Scale VMware migrations with Cloud Migration Factory & AWS Transform,Workshop
MAM336,Streamline web app deployment with gen AI and AWS Elastic Beanstalk,Workshop
MAM343,Tips and tricks for successful transformation of your legacy .NET applications,Code talk
MAM346,Transforming Enterprise IT: CSL Behring's VMware and SAP Modernization,Breakout session
MAM207,Turbocharge the mainframe to cloud journey with AWS Transform's agentic AI,Breakout session
MAM338,"VMware to AWS modernization blueprint: Migrate, containerize, scale",Workshop
