code,title,type
MAM349,4x faster workload modernization with agentic AI,Lightning talk
CMP349,5-Star Customer Service: Duolingo's Path to Compute Savings,Breakout session
DEV345,800GB of AI data: Lessons from a failed project,Lightning talk
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
ANT309,Accelerate analytics and AI with an open and secure lakehouse architecture ,Breakout session
API301,Accelerate API Creation with Amazon Q Developer CLI,Builders' session
OPN301,Accelerate app authorization with the latest Cedar tools ,Builders' session
STG347,Accelerate application performance with Amazon S3 Express One Zone,Chalk talk
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
SPS308,Accelerate Cloud Modernization & Migration with AWS Countdown Premium,Workshop
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
STG357,Accelerate data discovery with object metadata in Amazon S3,Breakout session
STG356,Accelerate data migrations to AWS,Chalk talk
CMP345,Accelerate Drug Discovery R&D at Scale with AWS,Chalk talk
DVT308,Accelerate enterprise development with Amazon Q Developer,Workshop
STG327,Accelerate enterprise workloads with enhanced Amazon EBS capabilities,Chalk talk
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
IND395,Accelerate Game Design Reviews with Generative AI and LLM Agents,Code talk
ANT302,Accelerate GenAI-powered data discovery and sharing with SageMaker Catalog,Chalk talk
BIZ321,Accelerate global contact center modernization with Amazon Connect,Chalk talk
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
IND371,Accelerate product development lifecycle with a product digital twin,Lightning talk
CNS315,Accelerate software delivery with Amazon,Breakout session
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
TNC301,Accelerate VMware Migration with AWS Transform [AWS Partners only],Bootcamp
CMP301,Accelerate Your Cloud Adoption with the AWS Management Console,Chalk talk
NET310,Accelerate your hybrid network with AWS Direct Connect SiteLink,Workshop
MAM302,Accelerate your migration & modernization journey with EBA Cloud Party,Workshop
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
BIZ324-S,Accelerating Business Value with Cloud and AI (sponsored by Infosys),Breakout session
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
PEX303,Accelerating Development and DevSecOps with Amazon Bedrock & Amazon Q,Breakout session
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
COP334,Accelerating incident response through AIOps,Breakout session
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
WPS313,Accelerating Research at Scale: MIT’s Self-Service Portal,Breakout session
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
IND303,Accelerating Smart Product SDLC with Amazon Q Developer,Chalk talk
MAM304,Accelerating SQL Server modernization on AWS with agentic AI,Chalk talk
ANT301,Accelerating the shift from batch to real-time streaming,Chalk talk
CMP350,Accelerating Vehicle Innovation: ML & HPC Best Practices,Chalk talk
HMC319,Achieve multicloud FinOps visibility,Chalk talk
COP347,Actionable controls for improving governance and compliance,Breakout session
NET317,A day in the life of an AWS WAF administrator ,Breakout session
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
API314,A decade of API Gateway: Architecting the future of API Management,Breakout session
ANT325,A deep dive into AI/ML development in SageMaker Unified Studio,Chalk talk
CNS365,Advanced authorization patterns for secure serverless applications,Chalk talk
SEC303,Advanced AWS Network Security : Building Scalable Production Defenses,Workshop
STG301,Advanced data resiliency: Recovery strategies for AWS storage,Workshop
WPS306,Advanced DDoS protection and DNS capabilities in AWS GovCloud (US),Chalk talk
AIM376,Advanced document processing with increased accuracy and compliance,Chalk talk
NET312,Agent based Network Ops : Amazon Bedrock Agents & Agent Core,Workshop
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
WPS301,Agentic AI beyond the cloud: Building autonomy at the edge,Chalk talk
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
ANT315,Agentic AI for Intelligent Observability with OpenSearch Service,Breakout session
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
PEX301,Agentic AI Solutions for Financial Services & Insurance with AWS,Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
ARC330,Agentic architecting: From prototype to production-ready systems,Chalk talk
PEX320,Agentic Code Generation for Industrial Analytics and Predictive Maintenance,Code talk
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
IND304,Agentic video summarization for autonomous content creation at scale,Chalk talk
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
DEV335,AgentVision: Multi-Agent Frameworks for Esports Video Understanding,Chalk talk
COP354,Agile governance: Deploy AWS Control Tower in your current environment,Chalk talk
TNC319,AI Agent Development with Strands Agents SDK,Bootcamp
DEV301,"AI agents at the edge: Build for offline, scale in cloud",Breakout session
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
DEV315,"AI Agents for Databases: Discover, Recommend, Optimize",Breakout session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
IND305,AI Agents in Manufacturing: Building Intelligent Data Workflows,Chalk talk
ARC338,AI-driven architecture: Designing distributed systems at scale,Chalk talk
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
ARC334,"AI model benchmarking with Amazon SageMaker, Amazon Bedrock & AWS IoT Greengrass",Chalk talk
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
