code,title,type
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
NET317,A day in the life of an AWS WAF administrator ,Breakout session
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
ISV403,Advanced Network Connectivity Patterns for ISVs,Chalk talk
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
ISV313,AI-powered SaaS Observability using OpenSearch,Code talk
DAT316,Analyze blockchain data with Amazon Bedrock AgentCore,Builders' session
AIM255,Architecting for sustainable IT at scale,Lightning talk
MAM221-S,Architecting Trusted GenAI and Agentic Experiences in Financial Services (sponsored by Coveo),Lightning talk
DVT316-S,Are your APIs ready for AI agents? (sponsored by Postman),Breakout session
AIM367,A strategic guide to AWS compute options for your AI/ML workload,Chalk talk
IND393,Automating Amazon Fulfillment Center Operations with Generative AI,Breakout session
DAT457,Autonomous Web3 agents on AWS,Code talk
HMC211-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
DAT210-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
PEX105,AWS Global Startup Program - how to accelerate your GTM success,Lightning talk
AIM3304,"Balance cost, performance & reliability for AI at enterprise scale",Breakout session
COP209-S,"Best Practices for moving, innovating & extending SAP Cloud ERP (sponsored by SAP)",Breakout session
STG317-S,Best practices to simplify resilience at scale for Gen AI data & apps (sponsored by Commvault),Breakout session
SEC205-S,Beyond Backup: Advancing Cloud Resiliency with Shared Responsibility (sponsored by Cohesity),Breakout session
GBL302,Beyond Fine-Tuning: Agentic AI for HFT Quantitative Analytics ,Lightning talk
AIM3303,Beyond short interactions: Building long running agents with AgentCore,Chalk talk
