code,title,type
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
AIM401,Accelerate AI model fine-tuning and deployment with SageMaker HyperPod,Workshop
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
ANT309,Accelerate analytics and AI with an open and secure lakehouse architecture ,Breakout session
API301,Accelerate API Creation with Amazon Q Developer CLI,Builders' session
STG356,Accelerate data migrations to AWS,Chalk talk
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
IND395,Accelerate Game Design Reviews with Generative AI and LLM Agents,Code talk
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
MAM216-S,Accelerate Legacy Modernization with Slalom & AWS (sponsored by Slalom),Lightning talk
IND413,Accelerate SDV Development: Amazon Q for Automotive Code Refactoring,Chalk talk
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
CMP301,Accelerate Your Cloud Adoption with the AWS Management Console,Chalk talk
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
AIM251,Accelerating AI innovation with NVIDIA GPUs on AWS,Breakout session
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
COP334,Accelerating incident response through AIOps,Breakout session
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
PEX203,Accelerating workload modernization using next generation agentic AI,Breakout session
API314,A decade of API Gateway: Architecting the future of API Management,Breakout session
ANT325,A deep dive into AI/ML development in SageMaker Unified Studio,Chalk talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
SEC410,Advanced AI Security: Architecting Defense-in-Depth for AI Workloads,Breakout session
AIM376,Advanced document processing with increased accuracy and compliance,Chalk talk
AIM402,Advanced model customization with Amazon Nova,Builders' session
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
NET312,Agent based Network Ops : Amazon Bedrock Agents & Agent Core,Workshop
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
IND401,Agentic AI for Vehicle Diagnostics and Root Cause Analysis,Builders' session
