code,title,type
API301,Accelerate API Creation with Amazon Q Developer CLI,Builders' session
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
API314,A decade of API Gateway: Architecting the future of API Management,Breakout session
CNS365,Advanced authorization patterns for secure serverless applications,Chalk talk
NTA404,AI Code to Production: Context Matters,Code talk
ANT420,AI-driven scaling in Amazon Redshift Serverless,Chalk talk
CNS351,Amazon ECS observability patterns and design decisions,Chalk talk
API302,API Gateway Authorization Strategies,Builders' session
API303,API Gateway Unleashed: A Hands-on Journey to API Excellence,Workshop
DEV303,Architecting Distributed Micro-frontends with Serverless,Chalk talk
CNS302,Architecting for data protection and compliance with Amazon ECS,Builders' session
CNS304,AWS Lambda performance tuning: Best practices and guidance,Chalk talk
DVT315,AWS SAM Beyond the Basics - Powered by Amazon Q Developer,Chalk talk
CNS402,AWS Serverless developer experience workshop,Workshop
CNS403,Best practices for serverless developers,Breakout session
API401,Beyond Batch: Modernize with Event-Driven Architecture & Serverless,Builders' session
ARC319,Beyond microservices: Event-driven patterns for modern applications,Chalk talk
CNS352,Build an adaptive compute grid with Amazon ECS and AWS Lambda,Chalk talk
DAT448,Build a stablecoin payment processor using AWS serverless services,Workshop
CNS359,"Build, deploy, and operate agentic architectures on AWS Serverless",Breakout session
CNS368,Build high-performance inference APIs with Lambda SnapStart,Chalk talk
API316,Build Hybrid Serverless Architectures with AWS and On-premises Systems,Chalk talk
API208,Building a culture of API Excellence,Lightning talk
CNS206,Building Agentic AI architectures with AWS Serverless,Builders' session
NTA405,"Building AI Agents with Serverless, Strands, and MCP",Code talk
API305,Building EDAs with Apache Kafka and Amazon EventBridge,Chalk talk
CNS307,Building event-driven architectures using Amazon ECS with AWS Fargate,Breakout session
API306,Building event-driven architectures,Workshop
API322,Building Fault-Tolerant Systems with AWS Messaging Services ,Code talk
CNS308,"Building GenAI applications with AI Agents that reason, decide and act",Workshop
CNS202,Building interactive web based applications on Serverless,Builders' session
API313,Building Production-Grade Workflow Patterns with AWS Step Functions,Breakout session
API307,Building rate-limited solutions on AWS,Chalk talk
DEV415,"Building Scalable, Self-Orchestrating AI Workflows with A2A and MCP",Breakout session
CNS310,Building secure serverless applications,Workshop
CNS312,Building Serverless applications with Terraform workshop,Workshop
CNS404,Building Serverless distributed data processing workloads,Workshop
CNS203,Building your first event driven application,Builders' session
DEV308,Build modern applications with Amazon Aurora DSQL,Breakout session
DAT314,Build serverless chatbots using Amazon ElastiCache & Aurora PostgreSQL,Breakout session
NTA314,Connecting Infor CloudSuite to AWS Services,Chalk talk
CNS367,Debug Lambda functions deployed in cloud like never before,Breakout session
API201,Decoupling your data-driven applications with Amazon EventBridge Pipes,Builders' session
DAT441,Deep dive into Amazon Aurora and its innovations,Breakout session
CNS416,Deep dive into Amazon ECS resilience and availability,Breakout session
SPS302,Democratize Data: Bundesliga Real-time Insights Without Writing any SQL,Chalk talk
IND351,Design a multi-expert system for fraud investigation with AI agents,Chalk talk
API311,Designing resilient Serverless Applications,Breakout session
CNS366,Designing web architectures on AWS at scale,Chalk talk
CNS415-S,Developing Serverless Applications Locally with AWS and LocalStack (sponsored by LocalStack),Lightning talk
CNS316,Effective strategies for testing serverless event-driven applications,Chalk talk
IND358,Experience T-Mobile's Digital Commerce in Action,Breakout session
MAM301,From fragile to agile: Transforming monoliths with cell architecture,Chalk talk
CNS406,From serverful to serverless Java,Workshop
API312,From Zero to Millions: Building Real-Time Applications at Scale,Breakout session
CNS318,Getting started with Serverless using AI assistance,Workshop
