code,title,type
DVT222-S,100% Observability at 10% the Cost Using Grepr's Real-Time ML (sponsored by Grepr),Lightning talk
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
MAM216-S,Accelerate Legacy Modernization with Slalom & AWS (sponsored by Slalom),Lightning talk
WPS204,Accelerate mission outcomes with recent AWS government regions innovations,Lightning talk
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
BIZ222,Accelerate supply chain transformation with agentic AI,Breakout session
DVT216,Accelerate Terraform Provider development worklows with Amazon Q Developer CLI,Breakout session
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
AIM251,Accelerating AI innovation with NVIDIA GPUs on AWS,Breakout session
IND202,Accelerating Real-World Evidence Generation in Life Sciences,Breakout session
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
PEX203,Accelerating workload modernization using next generation agentic AI,Breakout session
MAM201,A complete guide to Amazon EVS: Unlock AWS scale for VMware workloads,Breakout session
AIM265-S,Adopting AI within Streaming Architectures (sponsored by Redpanda),Lightning talk
NET201,Advanced VPC design and new capabilities,Breakout session
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
MAM202,Agentic AI for VMware migrations with AWS Transform for VMware,Breakout session
TNC203,Agentic AI Foundations on AWS,Bootcamp
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
PEX202,Agentic AI's new generation of Industry and Line of Business solutions,Breakout session
AIM295-S,Agentic Analytics in Action (sponsored by ZS),Lightning talk
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
AIM217-S,Agents Assemble! The Power of AI Tools That Work Together (sponsored by New Relic),Breakout session
GBL202,AI Agents at Work: Real-World Platforms Driving Business Innovation,Breakout session
INV202,AI agents in action: Architecting the future of applications,Innovation talk
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
AIM263-S,"AI Agents with Amazon Nova Sonic: Vonage for Financial Services (sponsored by Vonage, Part of Ericsson)",Lightning talk
IND203,AI and HCP Engagement: Powering Smarter Life Sciences Field Operations,Chalk talk
GBL201,AI-Driven Operations: Scaling Observability and Cost Optimization,Breakout session
AIM230-S,AI-Driven Testing: Scaling Automation with KaneAI and HyperExecute (sponsored by LambdaTest),Lightning talk
AIM274-S,AI-First Contact Centers: Reinventing Scale with AWS and Partners (sponsored by PwC),Breakout session
GBL205,AI in Action: How Companies Unlock Global Value & Fuel Growth,Breakout session
AIM242-S,"AI in the Cloud: Surveillance, Sabotage, and Security (sponsored by Trend Micro)",Breakout session
AIM220-S,AI-Native Era of Observability: How You Can Get Started Today (sponsored by Coralogix),Breakout session
AIM206-S,AI-Powered Observability & Observability for AI: The Two Sides of the Coin (sponsored by ManageEngine),Lightning talk
BIZ201,AI-powered retail transformation with Just Walk Out technology,Breakout session
SNR201,A leaders guide to agentic AI ,Breakout session
SNR202,A leaders guide to data strategy in the era of agentic AI ,Breakout session
SNR203,A leaders guide to emerging technologies: From insight to rapid action,Breakout session
SNR204,A leaders guide to navigating multicloud strategies and decisions,Breakout session
AIM247-S,"All Power, No Pain: Scale Agentic AI Apps in an Open Lakehouse (sponsored by Qlik)",Lightning talk
CMP202,Amazon Braket: Get hands-on with quantum computing,Workshop
CMP209,Amazon Braket Hubs - Accelerating R&D in national quantum initiatives,Chalk talk
AIM203-S,An Alliance for Our Times: Building the Next Frontier of Cancer Research (sponsored by Deloitte),Breakout session
HMC206-S,"Anatomy of a Ransomware Attack: A Live Simulation, Sponsored by Rubrik (sponsored by Rubrik)",Breakout session
INV206,"A new dawn for operations: More intelligent, secure, and efficient",Innovation talk
BIZ212,Anthology boosts contact center efficiency with AI,Breakout session
NET202,Application networking simplified: From basics to best practices,Workshop
NET212,Application network monitoring: Troubleshooting with VPC Lattice,Chalk talk
NET204,Approaches to layered security on Amazon VPC,Workshop
COP210,A practical guide for meeting regulatory resilience requirements,Chalk talk
AIM296-S,A practical guide to modern web architecture  (sponsored by Contentful),Lightning talk
ARC209,Architecting for hypergrowth: Scaling to 200 million users with Skyscanner,Breakout session
AIM255,Architecting for sustainable IT at scale,Lightning talk
WPS201,"Architecting large-scale migrations at the NSA, Fannie Mae, and DCSA",Breakout session
HMC210,Architecting multicloud solutions from data mesh to generative AI,Breakout session
HMC201,"Architecting resilient multicloud operations, feat. Monzo Bank",Breakout session
CMP201,Architecting Solution Patterns for GPU-Accelerated HPC and AI/ML,Chalk talk
ANT204,Architecting the future: Amazon SageMaker as a data and AI platform,Breakout session
MAM221-S,Architecting Trusted GenAI and Agentic Experiences in Financial Services (sponsored by Coveo),Lightning talk
NET203,Ask Me Anything About AWS Networking,Chalk talk
SPS201,Autodesk's ML Inference Optimization: Leveraging AWS AI Chips,Breakout session
SEC217-S,Automated cloud security remediation with agentic workflows (sponsored by Dynatrace),Lightning talk
DEV206,Automating Suricata rules for AWS network firewall,Lightning talk
WPS207,Autonomy in Defense: Scaling Innovation for Mission Outcomes,Breakout session
TNC201,Autoscale EC2 Instances with Amazon EventBridge,Interactive training
HMC211-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
DAT210-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
TNC204,AWS Escape Room: Exam Prep for AWS Certified Solutions Architect - Associate,Exam prep
SEC201,AWS European Sovereign Cloud: From concept to reality,Breakout session
MAM203,"AWS for VMware migrations: Successes, roadmaps, & strategies",Breakout session
SMB202,AWS & GenAI Power CDG's Telecom Software Modernization Journey,Lightning talk
DVT203, AWS infrastructure as code: A year in review,Breakout session
SEC218,AWS KMS over the decade: How architecture evolved to earn customer trust,Breakout session
PEX209,AWS Marketplace growth through product-led growth and international expansion,Lightning talk
NET208,"AWS Networking Fundamentals: Connect, secure and scale",Breakout session
DAT207-S,AWS & Salesforce: A Zero Copy Customer Success Story (sponsored by Salesforce),Lightning talk
INV215,AWS storage beyond data boundaries: Building the data foundation,Innovation talk
HMC202,AWS wherever you need it: From the cloud to the edge,Breakout session
AIM235-S,Balance performance and cost on AWS with intelligent optimization (sponsored by IBM),Lightning talk
COP209-S,"Best Practices for moving, innovating & extending SAP Cloud ERP (sponsored by SAP)",Breakout session
AIM284-S,Beyond a Chatbot: How to Build Intelligent Agent Memory (sponsored by MongoDB),Breakout session
SEC205-S,Beyond Backup: Advancing Cloud Resiliency with Shared Responsibility (sponsored by Cohesity),Breakout session
IND213,Beyond EHR: Leveraging AWS for Maximum Clinical and Operational Impact,Breakout session
SEC209-S,Beyond Posture Management: Stopping Data Breaches in AWS (sponsored by Varonis),Lightning talk
AIM231-S,Beyond the Hype: Delivering Measurable ROI with Generative AI on AWS (sponsored by CDW),Lightning talk
EUC207,Beyond traditional computing: How WorkSpaces powers the future workplace,Breakout session
DAT202-S,Beyond Vector Search: Ultra-Resilient GenAI Apps with AWS Bedrock (sponsored by YugabyteDB),Lightning talk
BIZ223,Boost employee productivity with Amazon Q Business,Breakout session
EUC206,Break down AI barriers with AWS Wickr and Amazon Bedrock,Chalk talk
AIM201,Break through AI performance and cost barriers with AWS Trainium,Breakout session
DVT224-S,Bronto: Logs at Scale Without Compromise (sponsored by Bronto),Lightning talk
AIM224-S,Browser Power: Building MCP Tools That Do Real Work (sponsored by Cloudflare),Lightning talk
AIM215-S,Build and Deploy AI Agents with Cloudera Agent Studio (sponsored by Cloudera),Workshop
BIZ204,Build Business Intelligence Solutions Using Amazon QuickSight,Workshop
AIM273-S,Building a Cloud-Native Risk Decisioning Platform for Resilience (sponsored by PwC),Breakout session
API208,Building a culture of API Excellence,Lightning talk
CNS206,Building Agentic AI architectures with AWS Serverless,Builders' session
AIM239-S,Building Agentic Enterprise Workflows with Informatica & AWS (sponsored by Informatica),Breakout session
AIM256,Building an AI-powered waste classification using Amazon Nova & IoT,Lightning talk
ARC206,Building and operating an effective architecture review board,Chalk talk
API209-S,Building better AI agents by applying context engineering (sponsored by Redis),Breakout session
AIM280-S,Building Enterprise-Ready Agentic Speech AI Pipelines on AWS (sponsored by NVIDIA),Breakout session
AIM290-S,"Building Fast, Cost-Efficient, Sovereign Inference Platforms on AWS w/Intel CPUs (sponsored by Intel)",Breakout session
ARC201, Building generative AI-powered full-stack applications,Workshop
HMC209-S,"Building High-Performance, Secure Networks for Hybrid and Multicloud (sponsored by Equinix)",Lightning talk
CNS202,Building interactive web based applications on Serverless,Builders' session
ARC207,Building on AWS resilience: Innovations for critical success,Breakout session
AIM282-S,Building Scalable Agentic AI Solutions with AWS (sponsored by Capital One),Breakout session
SEC208-S,Building Secure-by-Design Environments with AWS Capabilities (sponsored by Native),Lightning talk
CNS203,Building your first event driven application,Builders' session
API205-S,"Build, manage and govern AI agents from one place (sponsored by IBM)",Lightning talk
AIM233-S,"Build observable AI agents with Strands, AgentCore, and Datadog (sponsored by Datadog)",Breakout session
BIZ205,Build self-healing supply chains with agentic AI,Chalk talk
BIZ219,Caesars personalizes guest service at scale with AI-powered Amazon Connect,Breakout session
ARC202,Capability-first architecture: Bridging business intent to technology,Breakout session
WPS202,Chaos & Continuity: Using Gen AI to improve humanitarian workload resilience,Lightning talk
NET214,Choosing the right AWS network connectivity option for your use case,Chalk talk
STG209,Choosing the right AWS storage service,Chalk talk
AIM277-S,Claude 4 on AWS: Architecting Enterprise AI at Scale (sponsored by Anthropic),Breakout session
AIM259-S,Closing the gap between speed and safety: shipping faster at scale (sponsored by LaunchDarkly),Breakout session
HMC208-S,Cloud Application Security in the AI Era: Lessons from Adobe and Fortinet (sponsored by Fortinet),Breakout session
NTA201,Cloud Foundations Accelerator,Chalk talk
BIZ215,Cochlear enhances contact center observability with Amazon Connect,Breakout session
COP205-S,Connecting Context to Performance: Real-World Enterprise Observability  (sponsored by Splunk),Breakout session
DVT202, Continuous integration and continuous delivery (CI/CD) for AWS,Breakout session
AIM292-S,Cracking the SMB Code: AI Sales That Redefine Travel Growth (sponsored by ZS),Lightning talk
DVT221,Crowning the Kiro code champions,Lightning talk
CMP208-S,Customer Insights: Scaling Real-World AI with AMD on AWS (sponsored by AMD),Breakout session
AIM267-S,Customer Story: AI Adoption with Salesforce & Amazon Bedrock (sponsored by Salesforce),Lightning talk
