code,title,type
NET310,Accelerate your hybrid network with AWS Direct Connect SiteLink,Workshop
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
ARC330,Agentic architecting: From prototype to production-ready systems,Chalk talk
DEV335,AgentVision: Multi-Agent Frameworks for Esports Video Understanding,Chalk talk
INV202,AI agents in action: Architecting the future of applications,Innovation talk
NTA404,AI Code to Production: Context Matters,Code talk
ARC338,AI-driven architecture: Designing distributed systems at scale,Chalk talk
ARC334,"AI model benchmarking with Amazon SageMaker, Amazon Bedrock & AWS IoT Greengrass",Chalk talk
ARC337-S,AI-Powered Enterprise Architecture with ServiceNow & AWS (sponsored by ServiceNow),Breakout session
ARC318,AI-powered FinOps: Agent-based cloud cost management,Chalk talk
COP420,AI-powered resilience testing and disaster recovery,Breakout session
ARC301,AI-powered troubleshooting: From chaos to Well-Architected,Builders' session
ARC302,AI-powered Well-Architected reviews: Building automated governance,Builders' session
SNR302,A leaders guide to cloud-native application modernization,Breakout session
STG335,"Amazon S3 performance: Architecture, design, and optimization",Breakout session
API302,API Gateway Authorization Strategies,Builders' session
MAM306,Application modernization challenge,Workshop
NET202,Application networking simplified: From basics to best practices,Workshop
ARC329,Architect for Zero Trust in AWS,Chalk talk
PEX308,Architecting Agentic AI for Supply Chain: Data-to-Decision Patterns,Chalk talk
ARC324,Architecting agentic systems: Self-evolving patterns with AWS AI,Chalk talk
ARC335,Architecting AI solutions for mission-critical systems with UK MetOffice,Breakout session
AIM335,Architecting circular systems with generative AI on AWS,Chalk talk
ARC323,Architecting enterprise-scale governance beyond AWS Control Tower,Chalk talk
ARC209,Architecting for hypergrowth: Scaling to 200 million users with Skyscanner,Breakout session
HMC210,Architecting multicloud solutions from data mesh to generative AI,Breakout session
ARC322,Architecting multi-Region expansion for mission-critical workloads,Chalk talk
ARC336,Architecting reliable deployments: Amazon.com's blue/green patterns,Chalk talk
ARC320,Architecting resilient global networks with Project Kuiper,Breakout session
HMC201,"Architecting resilient multicloud operations, feat. Monzo Bank",Breakout session
ANT204,Architecting the future: Amazon SageMaker as a data and AI platform,Breakout session
ANT346,Architectural blueprints for your lakehouse in Amazon SageMaker,Chalk talk
ARC306,Architecture diagrams with generative AI: Leveraging AI agents,Builders' session
DEV341,Architecture lessons: Three failures and how to prevent them,Lightning talk
CMP306,Automating and optimizing EC2 Mac instances for Apple development,Workshop
SPS309,Automating LLM Fine-Tuning with Multi-Agentic Orchestration,Breakout session
NTA321,AWS Agent for SAP Invoice Automation,Workshop
COP302,AWS disaster recovery strategies,Builders' session
TNC204,AWS Escape Room: Exam Prep for AWS Certified Solutions Architect - Associate,Exam prep
ARC303,AWS Solutions Library: Accelerating innovation with proven patterns,Workshop
COP415,Behind the scenes: How AWS drives operational excellence & reliability,Breakout session
ARC319,Beyond microservices: Event-driven patterns for modern applications,Chalk talk
ARC332-S,Beyond Multi-Cloud Chaos: The Unified Cloud Mesh Architecture (sponsored by HAProxy Technologies),Breakout session
AIM231-S,Beyond the Hype: Delivering Measurable ROI with Generative AI on AWS (sponsored by CDW),Lightning talk
PEX309,Breakdown to Breakthrough: Crafting AI-Powered Smart Machine Support,Chalk talk
HMC301,Build and operate resilient and performant distributed applications,Workshop
HMC403,Build and optimize edge architecture for resiliency with AI,Code talk
STG309,Build an S3 time machine: Implementing advanced point-in-time recovery,Workshop
DAT448,Build a stablecoin payment processor using AWS serverless services,Workshop
ARC403,Building adaptive AI agents: Enterprise patterns that scale,Workshop
ARC206,Building and operating an effective architecture review board,Chalk talk
ARC304,Building and testing resilient multi-AZ applications,Workshop
ARC312,Building at global scale: Engineering AWS expansion,Breakout session
ISV312,Building Context-Rich Data Agents for SaaS with Amazon Bedrock,Chalk talk
API305,Building EDAs with Apache Kafka and Amazon EventBridge,Chalk talk
ANT407,Building event-driven applications with AWS Streaming and Messaging,Builders' session
API306,Building event-driven architectures,Workshop
CMP351,Building for Efficiency & Reliability with Performance Testing on AWS,Lightning talk
ARC201, Building generative AI-powered full-stack applications,Workshop
ISV303,Building Multi-tenant Data Pipelines for Agentic SaaS experiences,Chalk talk
ARC207,Building on AWS resilience: Innovations for critical success,Breakout session
ANT324,"Building Pipelines for Analytics, ML and AI in Amazon Sagemaker Unified Studio",Chalk talk
DEV329,Building Production Agent Swarms: Mastering Industrial AI,Chalk talk
COP408,Building resilient architectures with observability,Workshop
ARC331,Building resilient clients: Architecture patterns from Amazon.com,Chalk talk
STG406,Building resilient data protection with Amazon EBS Snapshots,Builders' session
ARC404,Building resilient multi-Region applications with Capital One,Breakout session
ANT345,Building secure and scalable lakehouses for the future,Chalk talk
SPS322,Building smarter AI coding assistants: real-world implementation guide,Code talk
NTA312,Building The Enterprise Data Success Framework,Chalk talk
ARC317,Building Well-Architected agentic AI applications,Chalk talk
ARC305,Building Well-Architected solutions: A generative AI approach,Builders' session
DEV406,Build resilient distributed systems through comprehensive testing,Chalk talk
ARC202,Capability-first architecture: Bridging business intent to technology,Breakout session
IND3308,Capital One: Building resilient systems by engineering for five nines,Breakout session
ARC327,Cell-based architectures: From connected vehicles to enterprise systems,Chalk talk
COP342,Centralize Multicloud Management using AWS,Breakout session
COP304,Chaos engineering workshop,Workshop
ANT334,CMT: High-performance NLP & geospatial analysis with Redshift,Lightning talk
TNC316,Create an AWS DevOps AI Agent with the Strands Agents SDK,Interactive training
PEX313,Customize Amazon Nova models for Agentic AI with SageMaker & Bedrock ,Workshop
NTA313,Cut Costs with Aurora PostgreSQL & Babelfish,Chalk talk
GBL204,"Cyber Resilience on AWS, designing security and recovery strategies",Breakout session
HMC325,Data architecture for multicloud environments,Chalk talk
CMP316,Deep Dive into the AWS Nitro System,Breakout session
STG407,Deep dive on Amazon S3,Breakout session
COP305,Defend against downtime using fault isolation boundaries,Chalk talk
