code,title,type
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
BIZ321,Accelerate global contact center modernization with Amazon Connect,Chalk talk
BIZ222,Accelerate supply chain transformation with agentic AI,Breakout session
BIZ324-S,Accelerating Business Value with Cloud and AI (sponsored by Infosys),Breakout session
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
AIM220-S,AI-Native Era of Observability: How You Can Get Started Today (sponsored by Coralogix),Breakout session
BIZ201,AI-powered retail transformation with Just Walk Out technology,Breakout session
DAT316,Analyze blockchain data with Amazon Bedrock AgentCore,Builders' session
BIZ212,Anthology boosts contact center efficiency with AI,Breakout session
API303,API Gateway Unleashed: A Hands-on Journey to API Excellence,Workshop
ANT322,Architectural patterns for real-time data analytics on AWS,Chalk talk
BIZ317,Automate customer experiences with Amazon Connect,Chalk talk
BIZ101-S,Autonomous Enterprise: Redefining the Future of Business with AI (sponsored by Digitate),Lightning talk
PEX314,"AWS Marketplace seller workshop: Publish, update, and manage products",Workshop
AIM3304,"Balance cost, performance & reliability for AI at enterprise scale",Breakout session
AIM235-S,Balance performance and cost on AWS with intelligent optimization (sponsored by IBM),Lightning talk
STG304,Best practices for deploying critical applications with Amazon EBS,Workshop
AIM3303,Beyond short interactions: Building long running agents with AgentCore,Chalk talk
EUC206,Break down AI barriers with AWS Wickr and Amazon Bedrock,Chalk talk
AIM394,Bridging the POC to production gap: An introduction to AgentCore,Breakout session
AIM3311,Build agentic workflows on AWS with third-party agents and tools,Breakout session
AIM341,Build agents with Amazon Bedrock AgentCore & Strands Agents,Workshop
AIM392,Build AI apps faster and at scale using Amazon Bedrock APIs,Chalk talk
BIZ322,Build AI-powered Embedded Analytics with Amazon QuickSight,Workshop
AIM104-S,Build an Agentic SaaS App in 5 Steps: From Idea to Revenue (sponsored by Pega),Lightning talk
AIM215-S,Build and Deploy AI Agents with Cloudera Agent Studio (sponsored by Cloudera),Workshop
AIM399,Building A2A-enabled applications with Strands Agents,Chalk talk
AIM397,Building governed agents: Human-in-the-loop with AgentCore and Strands,Chalk talk
AIM390,Building tomorrow's AI applications at scale with Amazon Bedrock,Breakout session
AIM324,Build production-ready AI solutions with Claude in Amazon Bedrock,Workshop
BIZ205,Build self-healing supply chains with agentic AI,Chalk talk
AIM303, Build trustworthy AI applications with Amazon Bedrock Guardrails,Workshop
AIM111-S,Build your agentic operating system with Slack (sponsored by Slack from Salesforce),Lightning talk
BIZ219,Caesars personalizes guest service at scale with AI-powered Amazon Connect,Breakout session
BIZ401,Call the Amazon Q Business ChatSync API from a custom web application,Builders' session
AIM259-S,Closing the gap between speed and safety: shipping faster at scale (sponsored by LaunchDarkly),Breakout session
CNS405,Cloud-native Java on Amazon EKS,Builders' session
BIZ215,Cochlear enhances contact center observability with Amazon Connect,Breakout session
