code,title,type
OPN301,Accelerate app authorization with the latest Cedar tools ,Builders' session
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
NET317,A day in the life of an AWS WAF administrator ,Breakout session
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
DEV335,AgentVision: Multi-Agent Frameworks for Esports Video Understanding,Chalk talk
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
TNC322,Amazon Bedrock Agents: Features and Design Patterns,Breakout session
DEV326,Anti-Money Laundering Multi-agent Orchestration with AWS Strands,Breakout session
OPN401,An unexpected journey building AWS MCP Servers,Breakout session
COP329,Application performance monitoring: From design to implementation,Chalk talk
DEV303,Architecting Distributed Micro-frontends with Serverless,Chalk talk
AIM255,Architecting for sustainable IT at scale,Lightning talk
IND374,Architecting multi-agent systems: Patterns in financial services,Chalk talk
DEV305,Architecting Real-time Sign Language Systems with AI Agents,Chalk talk
DVT316-S,Are your APIs ready for AI agents? (sponsored by Postman),Breakout session
OPN302,AutoGluon: Build Production ML Apps from Zero to Hero,Workshop
DEV322,Automated Security Remediation with AWS Step Functions,Builders' session
NTA301,Automate Review Analysis with Nova Act and Generative AI,Builders' session
IND337,Auto ML Pipeline for Custom Telco Language Models in Amazon Connect,Workshop
TNC201,Autoscale EC2 Instances with Amazon EventBridge,Interactive training
TNC107,AWS Skill Builder: Product Launches and New Features,Breakout session
AIM3304,"Balance cost, performance & reliability for AI at enterprise scale",Breakout session
IND341,Behind the curtain: Generative AI observability in financial services,Chalk talk
STG317-S,Best practices to simplify resilience at scale for Gen AI data & apps (sponsored by Commvault),Breakout session
AIM3303,Beyond short interactions: Building long running agents with AgentCore,Chalk talk
AIM394,Bridging the POC to production gap: An introduction to AgentCore,Breakout session
AIM224-S,Browser Power: Building MCP Tools That Do Real Work (sponsored by Cloudflare),Lightning talk
AIM304,Build agentic observability workflows with models from AWS Marketplace,Builders' session
AIM3311,Build agentic workflows on AWS with third-party agents and tools,Breakout session
AIM328,Build agentic workflows using third-party AI agents & tools,Chalk talk
AIM341,Build agents with Amazon Bedrock AgentCore & Strands Agents,Workshop
DEV306,Build AI Agents in Java with Spring AI,Chalk talk
AIM392,Build AI apps faster and at scale using Amazon Bedrock APIs,Chalk talk
TNC306,Build AI Assistants Using Amazon Bedrock Knowledge Bases,Interactive training
DEV330,Build a multi-agent role-playing Game Master with Strands Agents,Code talk
DEV331,Build and deploy AI agents using Kiro and Amazon Bedrock AgentCore,Code talk
AIM215-S,Build and Deploy AI Agents with Cloudera Agent Studio (sponsored by Cloudera),Workshop
DEV325,Build and Deploy Highly Available Event Processing with Containers,Chalk talk
AIM371,"Build, fine-tune & deploy AI models with SageMaker HyperPod CLI & SDK",Code talk
AIM399,Building A2A-enabled applications with Strands Agents,Chalk talk
