code,title,type
AIM401,Accelerate AI model fine-tuning and deployment with SageMaker HyperPod,Workshop
API301,Accelerate API Creation with Amazon Q Developer CLI,Builders' session
OPN301,Accelerate app authorization with the latest Cedar tools ,Builders' session
STG347,Accelerate application performance with Amazon S3 Express One Zone,Chalk talk
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
SPS308,Accelerate Cloud Modernization & Migration with AWS Countdown Premium,Workshop
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
STG356,Accelerate data migrations to AWS,Chalk talk
CMP345,Accelerate Drug Discovery R&D at Scale with AWS,Chalk talk
DVT308,Accelerate enterprise development with Amazon Q Developer,Workshop
STG327,Accelerate enterprise workloads with enhanced Amazon EBS capabilities,Chalk talk
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
IND395,Accelerate Game Design Reviews with Generative AI and LLM Agents,Code talk
ANT302,Accelerate GenAI-powered data discovery and sharing with SageMaker Catalog,Chalk talk
BIZ321,Accelerate global contact center modernization with Amazon Connect,Chalk talk
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
IND413,Accelerate SDV Development: Amazon Q for Automotive Code Refactoring,Chalk talk
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
CMP301,Accelerate Your Cloud Adoption with the AWS Management Console,Chalk talk
NET310,Accelerate your hybrid network with AWS Direct Connect SiteLink,Workshop
MAM302,Accelerate your migration & modernization journey with EBA Cloud Party,Workshop
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
CMP401,"Accelerating semiconductor design, simulation, and verification on AWS",Chalk talk
IND303,Accelerating Smart Product SDLC with Amazon Q Developer,Chalk talk
MAM304,Accelerating SQL Server modernization on AWS with agentic AI,Chalk talk
ANT301,Accelerating the shift from batch to real-time streaming,Chalk talk
CMP350,Accelerating Vehicle Innovation: ML & HPC Best Practices,Chalk talk
HMC319,Achieve multicloud FinOps visibility,Chalk talk
SEC401,Active defense strategies using AWS Al/ML services,Workshop
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
ANT325,A deep dive into AI/ML development in SageMaker Unified Studio,Chalk talk
SEC402,A deep dive on IAM policy evaluation,Chalk talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
COP401,Advanced analytics with AWS Cost and Usage Reports,Code talk
CNS365,Advanced authorization patterns for secure serverless applications,Chalk talk
SEC303,Advanced AWS Network Security : Building Scalable Production Defenses,Workshop
STG301,Advanced data resiliency: Recovery strategies for AWS storage,Workshop
WPS306,Advanced DDoS protection and DNS capabilities in AWS GovCloud (US),Chalk talk
AIM376,Advanced document processing with increased accuracy and compliance,Chalk talk
AIM402,Advanced model customization with Amazon Nova,Builders' session
COP419,Advanced multicloud cost reporting with FOCUS,Code talk
ISV403,Advanced Network Connectivity Patterns for ISVs,Chalk talk
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
STG414,Advanced security patterns on Amazon S3,Chalk talk
ANT421,Advanced Stream Processing with Apache Flink,Chalk talk
NET312,Agent based Network Ops : Amazon Bedrock Agents & Agent Core,Workshop
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
WPS301,Agentic AI beyond the cloud: Building autonomy at the edge,Chalk talk
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
IND401,Agentic AI for Vehicle Diagnostics and Root Cause Analysis,Builders' session
AIM403,Agentic AI: Powering the future of social good ,Workshop
ARC330,Agentic architecting: From prototype to production-ready systems,Chalk talk
PEX320,Agentic Code Generation for Industrial Analytics and Predictive Maintenance,Code talk
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
IND304,Agentic video summarization for autonomous content creation at scale,Chalk talk
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
IND412,Agents for Energy : Accelerate renewable asset planning with agentic workflows,Workshop
SAS414,Agents meet SaaS operations: A natural fit,Builders' session
DEV335,AgentVision: Multi-Agent Frameworks for Esports Video Understanding,Chalk talk
COP354,Agile governance: Deploy AWS Control Tower in your current environment,Chalk talk
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
IND305,AI Agents in Manufacturing: Building Intelligent Data Workflows,Chalk talk
IND203,AI and HCP Engagement: Powering Smarter Life Sciences Field Operations,Chalk talk
CMP402,AI-assisted quantum software development using Amazon Braket and Amazon Bedrock,Chalk talk
NTA404,AI Code to Production: Context Matters,Code talk
ARC338,AI-driven architecture: Designing distributed systems at scale,Chalk talk
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
ANT420,AI-driven scaling in Amazon Redshift Serverless,Chalk talk
ARC334,"AI model benchmarking with Amazon SageMaker, Amazon Bedrock & AWS IoT Greengrass",Chalk talk
IND397,AI-Powered Content Compliance: Media Rating Automation with Nova,Chalk talk
ARC318,AI-powered FinOps: Agent-based cloud cost management,Chalk talk
DAT301,AI powered PostgreSQL: Incident detection & MCP integration,Workshop
ISV313,AI-powered SaaS Observability using OpenSearch,Code talk
ARC301,AI-powered troubleshooting: From chaos to Well-Architected,Builders' session
ARC302,AI-powered Well-Architected reviews: Building automated governance,Builders' session
PEX405,AI That Remembers: Building Memory Systems for AI Agents,Workshop
AIM404,AI vs AI: Detecting fake content with AI agents,Builders' session
AMZ301,Amazon AI Shopping Assistant: Key Learnings from Customer Interactions,Chalk talk
DAT401,Amazon Aurora DSQL: A developer's perspective,Code talk
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
CMP202,Amazon Braket: Get hands-on with quantum computing,Workshop
CMP209,Amazon Braket Hubs - Accelerating R&D in national quantum initiatives,Chalk talk
DAT427,Amazon DocumentDB for expert practitioners,Chalk talk
CNS351,Amazon ECS observability patterns and design decisions,Chalk talk
STG349,Amazon EFS data resiliency: From strategy to implementation,Chalk talk
STG402,Amazon EKS advanced storage best practices with Amazon FSx for OpenZFS,Builders' session
CNS401,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD",Chalk talk
MAM401,Amazon EVS deep dive: Advanced networking and storage architecture,Chalk talk
MAM305,Amazon EVS deep dive: Strategic migration planning,Chalk talk
STG350,Amazon FSx Intelligent-Tiering: Technical deep dive and best practices,Chalk talk
DAT450,Amazon Keyspaces live migration best practices with HBO Max,Chalk talk
IND323,"Amazon Q Apps: Power RCM, Member Engagement, & Drug Safety Management ",Builders' session
DVT330,"Amazon Q Developer CLI, a lightning-fast coding experience",Chalk talk
STG302,"Amazon S3 security: Implementing controls, policies & audit systems",Workshop
WPS302,Amazon SageMaker Unified Studio for Public Sector,Workshop
DAT316,Analyze blockchain data with Amazon Bedrock AgentCore,Builders' session
API302,API Gateway Authorization Strategies,Builders' session
