code,title,type
AIM401,Accelerate AI model fine-tuning and deployment with SageMaker HyperPod,Workshop
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
ANT309,Accelerate analytics and AI with an open and secure lakehouse architecture ,Breakout session
ANT302,Accelerate GenAI-powered data discovery and sharing with SageMaker Catalog,Chalk talk
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
AIM251,Accelerating AI innovation with NVIDIA GPUs on AWS,Breakout session
IND202,Accelerating Real-World Evidence Generation in Life Sciences,Breakout session
ANT301,Accelerating the shift from batch to real-time streaming,Chalk talk
API314,A decade of API Gateway: Architecting the future of API Management,Breakout session
ANT325,A deep dive into AI/ML development in SageMaker Unified Studio,Chalk talk
AIM402,Advanced model customization with Amazon Nova,Builders' session
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
ARC334,"AI model benchmarking with Amazon SageMaker, Amazon Bedrock & AWS IoT Greengrass",Chalk talk
PEX405,AI That Remembers: Building Memory Systems for AI Agents,Workshop
ARC335,Architecting AI solutions for mission-critical systems with UK MetOffice,Breakout session
AIM335,Architecting circular systems with generative AI on AWS,Chalk talk
STG303,Architecting vector-driven AI applications with Amazon S3 Vectors,Builders' session
AIM367,A strategic guide to AWS compute options for your AI/ML workload,Chalk talk
AIM113-S,AstraZeneca's AI-powered Drug Discovery with Snowflake & AWS (sponsored by Snowflake),Breakout session
OPN302,AutoGluon: Build Production ML Apps from Zero to Hero,Workshop
IND338,Automate analysis and extract intelligence from financial datasets,Workshop
NTA301,Automate Review Analysis with Nova Act and Generative AI,Builders' session
IND393,Automating Amazon Fulfillment Center Operations with Generative AI,Breakout session
AIM405,Automating LLM evaluation at scale: MLOps for continuous improvement,Workshop
AIM420,Automating LLM fine-tuning with multi-agentic orchestration,Chalk talk
PEX305,Automotive Supply Chain Optimization using AI,Breakout session
ANT424,Autonomous agents powered by streaming data and Retrieval Augmented Generation,Breakout session
MAM308,AWS fundamentals for the accidental SQL Server database administrator,Chalk talk
ANT335,Best practices for agentic data engineering with AWS Analytics MCP Servers,Breakout session
PEX309,Breakdown to Breakthrough: Crafting AI-Powered Smart Machine Support,Chalk talk
AIM201,Break through AI performance and cost barriers with AWS Trainium,Breakout session
DAT428,Build a cost-effective RAG-based gen AI application with Amazon Aurora,Chalk talk
AIM406,Build agentic workflows with Small Language Models and SageMaker AI,Workshop
CNS358,"Build AI-powered developer experiences with MCP on ECS, EKS and Lambda",Breakout session
ANT401,Build an AI-powered enterprise search with Amazon OpenSearch service,Workshop
AIM215-S,Build and Deploy AI Agents with Cloudera Agent Studio (sponsored by Cloudera),Workshop
ANT402,Build an end-to-end fraud detection system with Amazon SageMaker Unified Studio,Workshop
ANT347,Build a secure and regulated data foundation for AI,Chalk talk
ANT311,Build data pipelines in minutes with the SageMaker Visual experience,Chalk talk
AIM371,"Build, fine-tune & deploy AI models with SageMaker HyperPod CLI & SDK",Code talk
NTA401,Build First Retail AI Agent: Customer Service Excellence with Amazon Bedrock,Builders' session
NTA317,Build GenAI Apps with Anywhere Data,Chalk talk
AIM307,Building agentic systems with Hugging Face and AWS AI chips,Chalk talk
AIM370,Building and tracing AI agents with Amazon SageMaker and Strands,Chalk talk
ANT332,Building high-quality data products for AI Agents,Chalk talk
AIM309,Building LLMs with Amazon SageMaker HyperPod and AWS Trainium,Workshop
ISV306,Building Multi-tenant global ML SaaS platform,Lightning talk
ANT324,"Building Pipelines for Analytics, ML and AI in Amazon Sagemaker Unified Studio",Chalk talk
ANT403,Building Production-Ready Data Systems for AI Applications,Workshop
IND3302,Building Prudential’s microagent platform with MCP and A2A on AWS,Breakout session
API307,Building rate-limited solutions on AWS,Chalk talk
AIM282-S,Building Scalable Agentic AI Solutions with AWS (sponsored by Capital One),Breakout session
IND346,Building vertical AI agent blueprints in financial services,Chalk talk
ANT404,Build modern data applications with the lakehouse architecture on AWS,Workshop
CNS347,Build secure and scalable agentic AI workflows on Amazon ECS,Chalk talk
ANT341,Build trust in AI with end-to-end data lineage in Amazon SageMaker Catalog,Chalk talk
ANT406,Build trust in your data with Amazon SageMaker Catalog,Builders' session
AIM419,Build your own high performance kernel on AWS Trainium with NKI,Chalk talk
INV516,Can your model keep a secret? How to measure the privacy of your model,Chalk talk
IND347,Combat financial document fraud with a multi-agent system,Workshop
AIM312,Compact yet powerful: Exploring model distillation with AWS Trainium,Builders' session
AIM407,Cost-efficient AI model scaling with Amazon EKS on SageMaker HyperPod,Workshop
PEX313,Customize Amazon Nova models for Agentic AI with SageMaker & Bedrock ,Workshop
AIM386,Customize foundation models using Amazon SageMaker AI,Chalk talk
AIM3315,Customize GPT-OSS models on Amazon SageMaker AI for improved accuracy,Chalk talk
AIM363,Customize & scale foundation models using Amazon SageMaker AI,Breakout session
IND349,Data Harmony: AWS AI Agents for Clinical Integration,Chalk talk
ANT328,Data Processing architectures for building AI solutions,Breakout session
AIM315,Debug LLM bottlenecks with NVIDIA Nsight,Workshop
CMP316,Deep Dive into the AWS Nitro System,Breakout session
CMP317,Demystify attestation: Cryptographically verify execution environment,Code talk
WPS304,Deploy artificial intelligence architectures in regulated industries ,Chalk talk
PEX401,Deploying Intelligent Agent Systems with MCP,Builders' session
AIM355,Deploying LLMs at scale with vLLM on AWS AI chips,Chalk talk
AIM3319,Deploy LLMs at scale with vLLM Deep Learning Containers and AI agents,Chalk talk
AIM421,Design and deploy custom guardrails for AI applications,Chalk talk
AIM408,Detect and mitigating hallucinations: A hands-on responsible AI workshop,Workshop
AIM388,Develop AI Agents faster with Amazon SageMaker Studio and AgentCore,Breakout session
AIM381,Develop AI Agents faster with Amazon SageMaker AI & Bedrock AgentCore,Breakout session
ANT207,Develop with natural language and agentic AI in Amazon SageMaker Unified Studio,Chalk talk
AIM353,Distributed inference on AWS: Deep dive into inference optimizations,Chalk talk
AIM409,Distributed training at scale with Slurm on Amazon SageMaker HyperPod,Workshop
IND353, Documents to decisions: AI-powered underwriting with Amazon Bedrock,Builders' session
AIM234-S,Drive trusted AI outcomes with governance and accurate data (sponsored by IBM),Lightning talk
