code,title,type
DAT457,Autonomous Web3 agents on AWS,Code talk
SEC201,AWS European Sovereign Cloud: From concept to reality,Breakout session
SEC404,Building Quantum-Safe Systems with Post-Quantum Cryptography on AWS,Workshop
STG406,Building resilient data protection with Amazon EBS Snapshots,Builders' session
SEC325,"Building Scalable, Secure Secrets Management on AWS",Builders' session
ISV405,BYOK: The Key to Meeting Enterprise SaaS Security Demands,Code talk
SEC333,From Static to Dynamic: Modernizing AWS Access Management,Chalk talk
ISV310,Global Growth: A Framework for Expanding into New Regions,Chalk talk
SEC331,How Security Maturity Enables Your Cryptographic Agility Playbook,Chalk talk
SEC405,Implementing Advanced Data Protection Controls,Workshop
CMP407,Innovating with AWS Confidential Computing: An Integrated Approach,Breakout session
IND3319,Mastercard: How to protect sensitive data in real-time applications,Breakout session
SEC314,Securing Data Lakes: From Ingestion to AI Analysis,Builders' session
SEC203,State of the Art: AWS data protection in 2025 (ft. Vanguard),Breakout session
