code,title,type
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
CNS315,Accelerate software delivery with Amazon,Breakout session
CNS351,Amazon ECS observability patterns and design decisions,Chalk talk
STG402,Amazon EKS advanced storage best practices with Amazon FSx for OpenZFS,Builders' session
MAM306,Application modernization challenge,Workshop
CNS302,Architecting for data protection and compliance with Amazon ECS,Builders' session
ARC209,Architecting for hypergrowth: Scaling to 200 million users with Skyscanner,Breakout session
SPS309,Automating LLM Fine-Tuning with Multi-Agentic Orchestration,Breakout session
IND375,Best practices for optimizing financial services application latency ,Chalk talk
CMP310,"Boost Amazon EKS Efficiency: EKS Auto Mode, Graviton, and EC2 Spot",Chalk talk
CNS346,"Break down monoliths, modernizing applications on Amazon ECS",Chalk talk
CNS358,"Build AI-powered developer experiences with MCP on ECS, EKS and Lambda",Breakout session
CNS352,Build an adaptive compute grid with Amazon ECS and AWS Lambda,Chalk talk
DEV325,Build and Deploy Highly Available Event Processing with Containers,Chalk talk
CNS307,Building event-driven architectures using Amazon ECS with AWS Fargate,Breakout session
CNS309,Building multi-tenant SaaS applications with Amazon ECS,Workshop
IND3302,Building Prudential’s microagent platform with MCP and A2A on AWS,Breakout session
DEV324,Building Real-Time Container Security with AWS Native Tools,Chalk talk
CNS321,Building resilient deployment pipelines with Amazon ECS,Workshop
CNS311,Building serverless AI Agents in Java with Spring AI,Builders' session
CMP311,"Build Once, Run Everywhere: Multi-Architecture in Your CI/CD Pipelines",Chalk talk
CNS353,Build safe and resilient deployment pipelines for Amazon ECS,Lightning talk
CNS347,Build secure and scalable agentic AI workflows on Amazon ECS,Chalk talk
IND350,Chaos detective: Deploy generative AI-powered troubleshooting agents,Chalk talk
CNS416,Deep dive into Amazon ECS resilience and availability,Breakout session
CNS313,Demystifying the shared security model on Amazon ECS,Chalk talk
COP327,Drive operational excellence for modern applications,Breakout session
CNS208,Enhancing container security with Amazon ECR,Lightning talk
DVT225-S,"Enterprise AI Without the Chaos: A New Path to Secure, Compliant Applications  (sponsored by Docker)",Lightning talk
HMC313,Extend Amazon EKS clusters for on-premises and edge use cases,Chalk talk
HMC103-S,Fast-Track Modernization and Transformation with Nutanix and AWS (sponsored by Nutanix),Lightning talk
IND3318,FIS: High-performance instant payment processing at massive scale,Breakout session
CNS341,From code to cloud: Accelerate application development with Amazon ECS,Breakout session
MAM339,From EC2 to EKS: Tipalti’s transformation to Windows containers on AWS,Breakout session
CNS210,From monolith to microservices: Migrate and modernize with Amazon EKS,Breakout session
CNS201,Fundamentals to scale Kubernetes across your organization,Workshop
CNS348,Implement distributed inference with Amazon ECS,Chalk talk
MAM403,Kiro and Amazon Bedrock: Unlock AI Agents for Your Legacy Apps,Breakout session
CNS323,Learn multi-tier application architectures on Amazon ECS,Workshop
HMC303,Migrate and modernize VMware and Java workloads with on-premises dependencies,Workshop
MAM215-S,"Migrating 1,600+ Daily Image Builds to AWS (sponsored by Chainguard)",Lightning talk
CNS326,Modernize .NET Framework workloads with containers and AWS Transform,Workshop
MAM328,Monolith to microservices with AWS Modernization pathways,Workshop
NTA310,Multi-Cloud Container Migrations: Amazon CodeCatalyst for Balanced Workloads.,Chalk talk
HMC322,"Multi-tenant multicloud SaaS using Kubernetes, feat. Adobe",Lightning talk
CNS342,Navigate the cloud compute landscape with Amazon ECS,Breakout session
MAM317,.NET cloud journey: Migration & modernization strategies,Chalk talk
INV510,Next generation etcd for Amazon EKS,Chalk talk
STG405,Onboarding and optimizing AI/ML workloads with Amazon S3 & Amazon EKS,Workshop
CNS349,Optimize your Amazon ECS workloads for performance and cost,Chalk talk
CNS306,Optimizing compute for performance and scale with Amazon ECS,Builders' session
STG314,Optimizing storage for your containers and Amazon EKS applications,Chalk talk
STG343,Optimizing throughput performance using Mountpoint for Amazon S3,Chalk talk
CNS327,Optimizing your Amazon ECS application networking strategy,Chalk talk
COP215-S,Powering SRE Transformation for a Telco Major (sponsored by Tech Mahindra),Lightning talk
CNS329,Reducing downtime: Build resilient architectures with Amazon ECS,Chalk talk
CNS350,Scaling to 1000s of containers in minutes with Amazon ECS,Chalk talk
IND3313,Secure in milliseconds: Visa's AI-powered fraud defense on AWS,Breakout session
CNS330,Securing Amazon ECS workloads with application-aware networking,Workshop
HMC323,"Simplifying multicloud developer experience, feat. Macquarie",Lightning talk
CNS205,The future of Kubernetes on AWS,Breakout session
CNS413,Unveiling Amazon ECS workloads with AWS observability and agentic AI,Chalk talk
CMP348,Using Amazon Q to Cost Optimize Your Containerized Workloads,Workshop
CNS339,Vibe coding production-ready containerized applications,Builders' session
MAM338,"VMware to AWS modernization blueprint: Migrate, containerize, scale",Workshop
