role,session_count,percentage
Developer / Engineer,923,50.08
Solution / Systems Architect,890,48.29
IT Professional / Technical Manager,627,34.02
DevOps Engineer,348,18.88
IT Executive,263,14.27
Business Executive,247,13.4
Data Engineer,199,10.8
Data Scientist,194,10.53
Cloud Security Specialist,120,6.51
System Administrator,87,4.72
IT Administrator,79,4.29
Advisor / Consultant,49,2.66
Tech Explorer,42,2.28
Academic / Researcher,40,2.17
Entrepreneur (Founder/Co-Founder),39,2.12
Sales / Marketing,23,1.25
Student,3,0.16
Venture Capitalist,2,0.11
Press / Media Analyst,1,0.05
