code,title,type
WPS204,Accelerate mission outcomes with recent AWS government regions innovations,Lightning talk
WPS313,Accelerating Research at Scale: MIT’s Self-Service Portal,Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
WPS306,Advanced DDoS protection and DNS capabilities in AWS GovCloud (US),Chalk talk
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
WPS301,Agentic AI beyond the cloud: Building autonomy at the edge,Chalk talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
AIM115-S,"AI, Cloud & Public Sector Transformation: PwC & AWS Driving Change Now (sponsored by PwC)",Lightning talk
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
WPS302,Amazon SageMaker Unified Studio for Public Sector,Workshop
AIM255,Architecting for sustainable IT at scale,Lightning talk
WPS201,"Architecting large-scale migrations at the NSA, Fannie Mae, and DCSA",Breakout session
WPS207,Autonomy in Defense: Scaling Innovation for Mission Outcomes,Breakout session
COP349,Balancing Agility and Compliance feat. The Digital Agency of Japan,Breakout session
EUC206,Break down AI barriers with AWS Wickr and Amazon Bedrock,Chalk talk
HMC308,Build generative and agentic AI applications on-premises and at the edge,Breakout session
WPS316,Building Cornell's AI Future: AWS Innovation at Enterprise Scale,Breakout session
IND313,"Building Intelligent Healthcare Systems: FHIR, AI, and AWS HealthLake",Workshop
WPS307,Building sovereign LLMs: Best practice from national-scale deployments,Chalk talk
WPS202,Chaos & Continuity: Using Gen AI to improve humanitarian workload resilience,Lightning talk
WPS304,Deploy artificial intelligence architectures in regulated industries ,Chalk talk
HMC311,Developing end-to-end SLM pipelines from the cloud to the edge,Chalk talk
AIM261-S,Dive into Poolside: AI Models for Today’s Enterprise Software Teams (sponsored by poolside),Breakout session
BIZ210-S,Driving Intelligent Project Portfolio Visibility with AWS + Smartsheet (sponsored by Smartsheet),Lightning talk
WPS312,Enabling government to streamline and ensure healthcare coverage with data,Breakout session
WPS401,Enhancing public sector efficiency with Agentic AI,Workshop
MAM106-S,Enterprise-scale App Modernization with Agentic AI through TSRI's JANUS Studio (sponsored by TSRI),Lightning talk
AIM329,Evaluating the right model for video intelligence,Workshop
IND217-S,Fast and compliant CI/CD pipelines in the financial industry (sponsored by Octopus Deploy),Lightning talk
COP211-S,FinOps+: A New Era of Accelerating Value (sponsored by Kion),Lightning talk
IND306,From Bytes to Bench: Best practices for life science research agents,Workshop
WPS402,From manual to AI: Transforming Brazil's national exam at scale,Chalk talk
WPS305,Gen AI economics: Maximizing value while protecting the purse,Chalk talk
PEX204,Go-to-market in today's political climate: a policy and AWS Marketplace overview,Breakout session
WPS205,High Performance Computing for Mission-Ready Federal Workloads,Breakout session
HMC312,Implement RAG while meeting data residency requirements,Chalk talk
WPS403,Improving citizens customer experience ,Chalk talk
AIM313,Improving multimedia analytics with customized Amazon Nova models,Builders' session
AIM254,Master your AWS carbon impact with the Customer Carbon Footprint Tool,Lightning talk
HMC402,Meet ultra-low latency and high throughput needs with AWS Outposts,Chalk talk
EUC205,Mission-critical security: How U.S. Army secures comms with AWS Wickr,Breakout session
WPS314,Next-Gen SOC: Agentic SOC analyst with Amazon Bedrock,Workshop
AIM253,Optimizing generative AI workloads for sustainability and cost,Lightning talk
WPS203,Reimagining Public Sector with AWS Partner generative AI solutions,Lightning talk
WPS308,Revolutionize public sector data governance with unified analytics,Chalk talk
MAM356-S,SAP modernization at an Australian steel manufacturer (sponsored by Capgemini),Breakout session
WPS317,Secure AI Agents Delivering Efficiency in Regulated Industries,Breakout session
WPS309,"Smart Alerts, Smarter Workflows: The Amazon Connect Edge",Builders' session
IND325,Smart Clinical Documentation: Kiro & AWS HealthScribe,Builders' session
AIM278-S,Tapping into the Power of Agentic AI: Driving Mission Success with NVIDIA & AWS (sponsored by NVIDIA),Lightning talk
API101-S,The Federal Fast Lane: Deploying Mission Technology at Commercial Speed (sponsored by LMI),Lightning talk
IND405,Transforming Manufacturing Operations with Agentic Edge Gateways,Chalk talk
WPS311,Weather emergency advisor with Amazon Bedrock and Location Service,Chalk talk
