code,title,type
MAM201,A complete guide to Amazon EVS: Unlock AWS scale for VMware workloads,Breakout session
MAM305,Amazon EVS deep dive: Strategic migration planning,Chalk talk
IND368,Apollo Tyres Accelerates Engineering Workflows with HPC on AWS,Breakout session
STG337,Improve self-managed database performance and agility with Amazon FSx,Breakout session
STG310,Increase your database agility with Amazon FSx,Workshop
STG408,Multi-protocol data access in FSx for NetApp ONTAP scale-out file systems,Workshop
STG212,New York Times: Best practices for migration to Amazon FSx for ONTAP,Lightning talk
MAM101-S,Optimizing storage costs for Amazon EVS with FSx for ONTAP (sponsored by NetApp),Breakout session
STG353,Protecting FSx for NetApp ONTAP data from ransomware,Chalk talk
STG330,Strategies to accelerate petabyte-scale migrations with AWS DataSync,Chalk talk
STG315,Use your FSx file data to build custom gen AI apps,Builders' session
