code,title,type
NET317,A day in the life of an AWS WAF administrator ,Breakout session
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM274-S,AI-First Contact Centers: Reinventing Scale with AWS and Partners (sponsored by PwC),Breakout session
HMC211-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
DAT210-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
SPS322,Building smarter AI coding assistants: real-world implementation guide,Code talk
SPS310,Commonwealth Bank of Australia reimagines modernization via agentic AI,Breakout session
WPS401,Enhancing public sector efficiency with Agentic AI,Workshop
NET318,From threat to threat intel: 360 degrees of DDOS,Breakout session
SPS321,How Yahoo! Finance built research multi-agent systems with Gen AI,Breakout session
NET322,Level Up Your Bot Defense for Mobile Apps with AWS WAF SDK,Chalk talk
NET324,Managing Bots vs Humans with CloudFront and AWS WAF,Code talk
ANT102-S,Modernizing Wealth Management with Cloud + AI Use Cases (sponsored by Incedo Inc),Lightning talk
IND330,Voice AI restaurant ordering platform powered by Amazon Nova Sonic,Chalk talk
