code,title,type
STG347,Accelerate application performance with Amazon S3 Express One Zone,Chalk talk
STG327,Accelerate enterprise workloads with enhanced Amazon EBS capabilities,Chalk talk
MAM201,A complete guide to Amazon EVS: Unlock AWS scale for VMware workloads,Breakout session
MAM202,Agentic AI for VMware migrations with AWS Transform for VMware,Breakout session
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
OPN410,Agentic Workflows: How Salesforce Manages 1000+ Clusters,Breakout session
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
COP420,AI-powered resilience testing and disaster recovery,Breakout session
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
CNS351,Amazon ECS observability patterns and design decisions,Chalk talk
MAM401,Amazon EVS deep dive: Advanced networking and storage architecture,Chalk talk
MAM305,Amazon EVS deep dive: Strategic migration planning,Chalk talk
STG316,Amazon S3 security and access control best practices,Breakout session
STG302,"Amazon S3 security: Implementing controls, policies & audit systems",Workshop
OPN401,An unexpected journey building AWS MCP Servers,Breakout session
ARC322,Architecting multi-Region expansion for mission-critical workloads,Chalk talk
COP402,Architect open source observability for distributed environments,Chalk talk
COP303,Automate disaster recovery playbooks using generative AI,Builders' session
MAM203,"AWS for VMware migrations: Successes, roadmaps, & strategies",Breakout session
ARC303,AWS Solutions Library: Accelerating innovation with proven patterns,Workshop
COP415,Behind the scenes: How AWS drives operational excellence & reliability,Breakout session
SEC205-S,Beyond Backup: Advancing Cloud Resiliency with Shared Responsibility (sponsored by Cohesity),Breakout session
DVT224-S,Bronto: Logs at Scale Without Compromise (sponsored by Bronto),Lightning talk
OPN303,Building agentic AI platform engineering solutions with open source,Breakout session
COP322,Building AI-Powered operational insights and automated remediation,Builders' session
STG324,Building resilient block storage through chaos engineering and observability,Chalk talk
STG406,Building resilient data protection with Amazon EBS Snapshots,Builders' session
ANT345,Building secure and scalable lakehouses for the future,Chalk talk
SMB302,Building Self-Healing IT Systems with Agentic AI,Builders' session
CNS311,Building serverless AI Agents in Java with Spring AI,Builders' session
STG306,Build protection and optimize costs using Amazon EBS Snapshots,Workshop
COP342,Centralize Multicloud Management using AWS,Breakout session
STG209,Choosing the right AWS storage service,Chalk talk
CNS416,Deep dive into Amazon ECS resilience and availability,Breakout session
HMC315,Deep dive on AWS hybrid and edge networking architectures,Chalk talk
COP306,Developing Unit Cost Metrics with Cloud Intelligence Dashboards,Builders' session
COP309,Establishing effective cost governance,Chalk talk
OPN403,Expedite model loading times in Kubernetes using kro & ACK,Chalk talk
