code,title,type
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
PEX314,"AWS Marketplace seller workshop: Publish, update, and manage products",Workshop
AIM304,Build agentic observability workflows with models from AWS Marketplace,Builders' session
AIM328,Build agentic workflows using third-party AI agents & tools,Chalk talk
PEX316,Build agents & tools for Bedrock AgentCore and sell in AWS Marketplace,Builders' session
AIM421,Design and deploy custom guardrails for AI applications,Chalk talk
ISV314,From Code to Market: Build and Launch AI Agents on AWS Marketplace,Code talk
AIM3318,From idea to impact: Harness AI agents and tools in AWS Marketplace,Lightning talk
COP212,Optimize software and AI Agent procurement with AWS Marketplace,Lightning talk
MAM107,Simplify discovery and deployment of software with AWS Marketplace,Lightning talk
NTA101,Unlock Innovation: A Guide to AWS Partner Products in AWS Marketplace,Breakout session
