code,title,type
STG347,Accelerate application performance with Amazon S3 Express One Zone,Chalk talk
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
STG357,Accelerate data discovery with object metadata in Amazon S3,Breakout session
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
DEV315,"AI Agents for Databases: Discover, Recommend, Optimize",Breakout session
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
IND305,AI Agents in Manufacturing: Building Intelligent Data Workflows,Chalk talk
IND203,AI and HCP Engagement: Powering Smarter Life Sciences Field Operations,Chalk talk
ANT420,AI-driven scaling in Amazon Redshift Serverless,Chalk talk
AIM230-S,AI-Driven Testing: Scaling Automation with KaneAI and HyperExecute (sponsored by LambdaTest),Lightning talk
COP420,AI-powered resilience testing and disaster recovery,Breakout session
DVT103-S,AI transforms development: Lessons from CircleCI's journey with AWS (sponsored by CircleCI),Lightning talk
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
ANT423,Amazon Kinesis Data Streams under the hood,Breakout session
IND323,"Amazon Q Apps: Power RCM, Member Engagement, & Drug Safety Management ",Builders' session
ARC324,Architecting agentic systems: Self-evolving patterns with AWS AI,Chalk talk
STG333,Automate data protection at scale with AWS Backup and AWS Control Tower,Code talk
DEV322,Automated Security Remediation with AWS Step Functions,Builders' session
IND337,Auto ML Pipeline for Custom Telco Language Models in Amazon Connect,Workshop
BIZ101-S,Autonomous Enterprise: Redefining the Future of Business with AI (sponsored by Digitate),Lightning talk
GHJ306,AWS GameDay: AI-Assisted Developer Experience ft. New Relic,Gamified learning
PEX314,"AWS Marketplace seller workshop: Publish, update, and manage products",Workshop
ARC303,AWS Solutions Library: Accelerating innovation with proven patterns,Workshop
