code,title,type
MAM349,4x faster workload modernization with agentic AI,Lightning talk
AIM401,Accelerate AI model fine-tuning and deployment with SageMaker HyperPod,Workshop
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
STG347,Accelerate application performance with Amazon S3 Express One Zone,Chalk talk
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
STG357,Accelerate data discovery with object metadata in Amazon S3,Breakout session
STG356,Accelerate data migrations to AWS,Chalk talk
STG327,Accelerate enterprise workloads with enhanced Amazon EBS capabilities,Chalk talk
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
MAM302,Accelerate your migration & modernization journey with EBA Cloud Party,Workshop
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
IND202,Accelerating Real-World Evidence Generation in Life Sciences,Breakout session
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
CMP401,"Accelerating semiconductor design, simulation, and verification on AWS",Chalk talk
MAM304,Accelerating SQL Server modernization on AWS with agentic AI,Chalk talk
CMP350,Accelerating Vehicle Innovation: ML & HPC Best Practices,Chalk talk
SEC401,Active defense strategies using AWS Al/ML services,Workshop
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
API314,A decade of API Gateway: Architecting the future of API Management,Breakout session
SEC410,Advanced AI Security: Architecting Defense-in-Depth for AI Workloads,Breakout session
CNS365,Advanced authorization patterns for secure serverless applications,Chalk talk
SEC303,Advanced AWS Network Security : Building Scalable Production Defenses,Workshop
DAT438,Advanced data modeling for Amazon ElastiCache,Breakout session
