topic,session_count,percentage
Artificial Intelligence,677,36.73
Migration & Modernization,207,11.23
Architecture,184,9.98
Cloud Operations,175,9.5
Security & Identity,173,9.39
Developer Tools,157,8.52
Serverless & Containers,150,8.14
Industry Solutions,141,7.65
Analytics,141,7.65
Business Applications,138,7.49
Compute,134,7.27
Databases,119,6.46
Storage,100,5.43
Application Integration,81,4.4
Networking & Content Delivery,62,3.36
Hybrid Cloud & Multicloud,51,2.77
Open Source,46,2.5
End-User Computing,10,0.54
