code,title,type
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
WPS204,Accelerate mission outcomes with recent AWS government regions innovations,Lightning talk
PEX101,Accelerate new customer engagement and revenue growth,Breakout session
AIM251,Accelerating AI innovation with NVIDIA GPUs on AWS,Breakout session
BIZ324-S,Accelerating Business Value with Cloud and AI (sponsored by Infosys),Breakout session
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
WPS313,Accelerating Research at Scale: MIT’s Self-Service Portal,Breakout session
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
PEX203,Accelerating workload modernization using next generation agentic AI,Breakout session
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
ANT315,Agentic AI for Intelligent Observability with OpenSearch Service,Breakout session
PEX202,Agentic AI's new generation of Industry and Line of Business solutions,Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
IND203,AI and HCP Engagement: Powering Smarter Life Sciences Field Operations,Chalk talk
AIM115-S,"AI, Cloud & Public Sector Transformation: PwC & AWS Driving Change Now (sponsored by PwC)",Lightning talk
AIM274-S,AI-First Contact Centers: Reinventing Scale with AWS and Partners (sponsored by PwC),Breakout session
AIM220-S,AI-Native Era of Observability: How You Can Get Started Today (sponsored by Coralogix),Breakout session
PEX113,AI-powered co-sell: Unlock partner success with AWS Partner Central ,Lightning talk
SNR301,A leaders guide to accelerating large-scale migration,Breakout session
SNR304,A leaders guide to achieving compliance through software excellence,Breakout session
SNR303,A leaders guide to advanced mental models and mechanisms,Breakout session
SNR307,A leaders guide to advanced team structures in an agentic world ,Breakout session
SNR201,A leaders guide to agentic AI ,Breakout session
SNR306,A leaders guide to AI powered FinOps,Breakout session
SNR305,A leaders guide to AI strategy and implementation,Breakout session
SNR302,A leaders guide to cloud-native application modernization,Breakout session
SNR202,A leaders guide to data strategy in the era of agentic AI ,Breakout session
SNR203,A leaders guide to emerging technologies: From insight to rapid action,Breakout session
SNR204,A leaders guide to navigating multicloud strategies and decisions,Breakout session
BIZ212,Anthology boosts contact center efficiency with AI,Breakout session
AIM255,Architecting for sustainable IT at scale,Lightning talk
WPS201,"Architecting large-scale migrations at the NSA, Fannie Mae, and DCSA",Breakout session
AIM113-S,AstraZeneca's AI-powered Drug Discovery with Snowflake & AWS (sponsored by Snowflake),Breakout session
SPS201,Autodesk's ML Inference Optimization: Leveraging AWS AI Chips,Breakout session
ANT424,Autonomous agents powered by streaming data and Retrieval Augmented Generation,Breakout session
BIZ101-S,Autonomous Enterprise: Redefining the Future of Business with AI (sponsored by Digitate),Lightning talk
WPS207,Autonomy in Defense: Scaling Innovation for Mission Outcomes,Breakout session
HMC211-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
DAT210-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
SEC201,AWS European Sovereign Cloud: From concept to reality,Breakout session
GBL101,AWS European Sovereign Cloud: Your 20-Minute Essential Guide,Lightning talk
PEX108,AWS Generative AI Innovation Center driving enterprise success with AWS Partners,Lightning talk
PEX105,AWS Global Startup Program - how to accelerate your GTM success,Lightning talk
PEX209,AWS Marketplace growth through product-led growth and international expansion,Lightning talk
AIM3304,"Balance cost, performance & reliability for AI at enterprise scale",Breakout session
AIM235-S,Balance performance and cost on AWS with intelligent optimization (sponsored by IBM),Lightning talk
AIM3303,Beyond short interactions: Building long running agents with AgentCore,Chalk talk
AIM231-S,Beyond the Hype: Delivering Measurable ROI with Generative AI on AWS (sponsored by CDW),Lightning talk
AIM394,Bridging the POC to production gap: An introduction to AgentCore,Breakout session
ANT314,"Build Advanced Enterprise Search with Vector, Hybrid, and AI Techniques ",Breakout session
AIM3311,Build agentic workflows on AWS with third-party agents and tools,Breakout session
AIM341,Build agents with Amazon Bedrock AgentCore & Strands Agents,Workshop
AIM392,Build AI apps faster and at scale using Amazon Bedrock APIs,Chalk talk
AIM104-S,Build an Agentic SaaS App in 5 Steps: From Idea to Revenue (sponsored by Pega),Lightning talk
ANT304,Build an AI-ready data foundation,Breakout session
