code,title,type
DVT222-S,100% Observability at 10% the Cost Using Grepr's Real-Time ML (sponsored by Grepr),Lightning talk
MAM349,4x faster workload modernization with agentic AI,Lightning talk
CMP349,5-Star Customer Service: Duolingo's Path to Compute Savings,Breakout session
DEV345,800GB of AI data: Lessons from a failed project,Lightning talk
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
ANT309,Accelerate analytics and AI with an open and secure lakehouse architecture ,Breakout session
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
STG357,Accelerate data discovery with object metadata in Amazon S3,Breakout session
AMZ401,Accelerate Developer Productivity with Amazon's Generative AI Approach,Breakout session
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
MAM216-S,Accelerate Legacy Modernization with Slalom & AWS (sponsored by Slalom),Lightning talk
WPS204,Accelerate mission outcomes with recent AWS government regions innovations,Lightning talk
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
PEX101,Accelerate new customer engagement and revenue growth,Breakout session
IND371,Accelerate product development lifecycle with a product digital twin,Lightning talk
CNS315,Accelerate software delivery with Amazon,Breakout session
BIZ222,Accelerate supply chain transformation with agentic AI,Breakout session
DVT216,Accelerate Terraform Provider development worklows with Amazon Q Developer CLI,Breakout session
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
AIM251,Accelerating AI innovation with NVIDIA GPUs on AWS,Breakout session
BIZ324-S,Accelerating Business Value with Cloud and AI (sponsored by Infosys),Breakout session
PEX303,Accelerating Development and DevSecOps with Amazon Bedrock & Amazon Q,Breakout session
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
COP334,Accelerating incident response through AIOps,Breakout session
IND202,Accelerating Real-World Evidence Generation in Life Sciences,Breakout session
WPS313,Accelerating Research at Scale: MIT’s Self-Service Portal,Breakout session
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
PEX203,Accelerating workload modernization using next generation agentic AI,Breakout session
MAM201,A complete guide to Amazon EVS: Unlock AWS scale for VMware workloads,Breakout session
COP347,Actionable controls for improving governance and compliance,Breakout session
NET317,A day in the life of an AWS WAF administrator ,Breakout session
API314,A decade of API Gateway: Architecting the future of API Management,Breakout session
AIM265-S,Adopting AI within Streaming Architectures (sponsored by Redpanda),Lightning talk
SEC410,Advanced AI Security: Architecting Defense-in-Depth for AI Workloads,Breakout session
DAT438,Advanced data modeling for Amazon ElastiCache,Breakout session
DAT414,Advanced data modeling with Amazon DynamoDB,Breakout session
NET201,Advanced VPC design and new capabilities,Breakout session
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
ANT315,Agentic AI for Intelligent Observability with OpenSearch Service,Breakout session
MAM202,Agentic AI for VMware migrations with AWS Transform for VMware,Breakout session
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
PEX202,Agentic AI's new generation of Industry and Line of Business solutions,Breakout session
PEX301,Agentic AI Solutions for Financial Services & Insurance with AWS,Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM295-S,Agentic Analytics in Action (sponsored by ZS),Lightning talk
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
OPN410,Agentic Workflows: How Salesforce Manages 1000+ Clusters,Breakout session
AIM217-S,Agents Assemble! The Power of AI Tools That Work Together (sponsored by New Relic),Breakout session
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
DEV301,"AI agents at the edge: Build for offline, scale in cloud",Breakout session
GBL202,AI Agents at Work: Real-World Platforms Driving Business Innovation,Breakout session
DEV315,"AI Agents for Databases: Discover, Recommend, Optimize",Breakout session
INV202,AI agents in action: Architecting the future of applications,Innovation talk
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
AIM263-S,"AI Agents with Amazon Nova Sonic: Vonage for Financial Services (sponsored by Vonage, Part of Ericsson)",Lightning talk
