code,title,type
ANT309,Accelerate analytics and AI with an open and secure lakehouse architecture ,Breakout session
STG357,Accelerate data discovery with object metadata in Amazon S3,Breakout session
ANT302,Accelerate GenAI-powered data discovery and sharing with SageMaker Catalog,Chalk talk
COP334,Accelerating incident response through AIOps,Breakout session
IND202,Accelerating Real-World Evidence Generation in Life Sciences,Breakout session
ANT301,Accelerating the shift from batch to real-time streaming,Chalk talk
ANT325,A deep dive into AI/ML development in SageMaker Unified Studio,Chalk talk
COP401,Advanced analytics with AWS Cost and Usage Reports,Code talk
ANT421,Advanced Stream Processing with Apache Flink,Chalk talk
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
ANT315,Agentic AI for Intelligent Observability with OpenSearch Service,Breakout session
ANT420,AI-driven scaling in Amazon Redshift Serverless,Chalk talk
GBL205,AI in Action: How Companies Unlock Global Value & Fuel Growth,Breakout session
ANT423,Amazon Kinesis Data Streams under the hood,Breakout session
STG334,"Amazon S3 Tables architecture, use cases, and best practices",Breakout session
AMZ308,Amazon's finops: Cloud cost lessons from a global e-commerce giant,Lightning talk
COP301,Applying AI for FinOps and FinOps for AI,Chalk talk
DAT315,A practitioner’s guide to data for agentic AI,Breakout session
ANT204,Architecting the future: Amazon SageMaker as a data and AI platform,Breakout session
IND301,Architect petabyte-scale observability with OpenSearch and Amazon Q,Chalk talk
ANT346,Architectural blueprints for your lakehouse in Amazon SageMaker,Chalk talk
ANT322,Architectural patterns for real-time data analytics on AWS,Chalk talk
IND338,Automate analysis and extract intelligence from financial datasets,Workshop
ANT424,Autonomous agents powered by streaming data and Retrieval Augmented Generation,Breakout session
DAT457,Autonomous Web3 agents on AWS,Code talk
IND378,AWS for healthcare analytics: accelerating time to insights,Chalk talk
ANT335,Best practices for agentic data engineering with AWS Analytics MCP Servers,Breakout session
ANT343,Best practices for building Apache Iceberg based lakehouse architectures on AWS,Breakout session
ANT337,Breaking data silos with the lakehouse architecture,Chalk talk
ANT338,Bring unified analytics to your data warehouse with the lakehouse architecture,Chalk talk
ANT329,Build Advanced AI-powered Search with OpenSearch MCP and Vectors,Chalk talk
ANT314,"Build Advanced Enterprise Search with Vector, Hybrid, and AI Techniques ",Breakout session
ANT327-S,Build a GenAI Race Tracker With Confluent & AWS Bedrock in <60 Min  (sponsored by Confluent),Breakout session
BIZ322,Build AI-powered Embedded Analytics with Amazon QuickSight,Workshop
ANT401,Build an AI-powered enterprise search with Amazon OpenSearch service,Workshop
ANT304,Build an AI-ready data foundation,Breakout session
ANT402,Build an end-to-end fraud detection system with Amazon SageMaker Unified Studio,Workshop
ANT347,Build a secure and regulated data foundation for AI,Chalk talk
DAT405,Build a web-scale application with purpose-built databases & analytics,Workshop
ANT311,Build data pipelines in minutes with the SageMaker Visual experience,Chalk talk
ANT344,"Build, govern, and share Amazon QuickSight dashboards with Amazon SageMaker",Breakout session
ANT405,Build high performance Apache Iceberg data lakes with Amazon S3 Tables,Builders' session
STG413,Building an operational data lake using S3 Tables and SageMaker,Chalk talk
STG415,Building cost-effective data lakes with Apache Iceberg and Amazon S3,Chalk talk
IND391,Building Data Products and AI for Electric Vehicles,Chalk talk
ANT407,Building event-driven applications with AWS Streaming and Messaging,Builders' session
ANT332,Building high-quality data products for AI Agents,Chalk talk
ANT324,"Building Pipelines for Analytics, ML and AI in Amazon Sagemaker Unified Studio",Chalk talk
