code,title,type
OPN301,Accelerate app authorization with the latest Cedar tools ,Builders' session
IND202,Accelerating Real-World Evidence Generation in Life Sciences,Breakout session
CMP202,Amazon Braket: Get hands-on with quantum computing,Workshop
CMP209,Amazon Braket Hubs - Accelerating R&D in national quantum initiatives,Chalk talk
AIM203-S,An Alliance for Our Times: Building the Next Frontier of Cancer Research (sponsored by Deloitte),Breakout session
DAT316,Analyze blockchain data with Amazon Bedrock AgentCore,Builders' session
ARC335,Architecting AI solutions for mission-critical systems with UK MetOffice,Breakout session
CMP304,Architectures for Hybrid Quantum-Classical Workflows at Scale,Chalk talk
INV504,Building fast with automated reasoning at Amazon S3 scale,Chalk talk
AIM419,Build your own high performance kernel on AWS Trainium with NKI,Chalk talk
INV516,Can your model keep a secret? How to measure the privacy of your model,Chalk talk
DEV313,Control humanoid robots and drones with voice and Agentic AI,Breakout session
STG407,Deep dive on Amazon S3,Breakout session
AIM408,Detect and mitigating hallucinations: A hands-on responsible AI workshop,Workshop
CMP408,Exploring hybrid quantum-classical computing with Amazon Braket,Workshop
INV501,Frontier Model Safety in Practice: Amazon Nova Risk Evaluation,Chalk talk
INV502,Graph Computations - Can we have best of two worlds: OLAP and OLTP?,Chalk talk
INV503,How Amazon uses AI and Automated Reasoning to detect hallucinations,Chalk talk
IND3300,How Stripe built a foundation model for fraud detection on AWS,Breakout session
CMP323,HPC Sustainability by Design: Optimizing for Planet and Performance,Workshop
INV505,IAM Access Analyzer from Research Paper to Reality,Chalk talk
INV506,Known Unknowns: Bayesian Multi-Path Framework for Uncertainty in LLMs,Chalk talk
IND355,Level Up Your Asset Pipeline: AI-Powered 3D Model Generation at Scale,Builders' session
INV507,Light qubits in the AWS network,Chalk talk
INV508,LLMs Reflecting on Reasoning: A Probabilistic VC-Theory Approach,Chalk talk
DAT317,Microseconds matter: Architect ultra-low latency trading platforms,Chalk talk
INV517,Neurosymbolic AI integration in LLMs to enhance reasoning,Chalk talk
INV509,Neurosymbolic AI: Logic-Enhanced Neural Networks at Amazon Scale,Chalk talk
INV510,Next generation etcd for Amazon EKS,Chalk talk
AIM414,Performance engineering on Neuron: How to optimize your LLM with NKI,Code talk
AIM417,Sustainable computing for climate solutions,Breakout session
DAT443,Symbolic AI in the age of LLMs,Breakout session
INV511,Symbolic Execution for Better Cloud Governance,Chalk talk
INV512,The hidden engineering behind foundation model building,Chalk talk
INV513,The Mirage of Benchmarks: Foundations of LLM Evaluation Reliability,Chalk talk
IND352,Transforming Integrated Diagnostics: Philips' AI Journey with AWS,Breakout session
WPS310,"Unifying Educational Content Analysis with Bedrock, Agents & Nova",Builders' session
AIM223-S,Unpredictable by Design: Finding Innovation with Generative AI (sponsored by Deloitte),Lightning talk
INV514,Virtualization Architecture Behind AgentCore's Runtime Security Model,Chalk talk
INV515,Wrangling chaos: Atoms of emergence,Chalk talk
