code,title,type
IND337,Auto ML Pipeline for Custom Telco Language Models in Amazon Connect,Workshop
EUC207,Beyond traditional computing: How WorkSpaces powers the future workplace,Breakout session
EUC201,Expand Amazon WorkSpaces monitoring capabilities with Amazon Bedrock,Workshop
EUC302,Optimize user productivity with Amazon Bedrock and Amazon WorkSpaces ,Builders' session
EUC301,Plan a flawless migration to Amazon WorkSpaces using Amazon Q,Builders' session
EUC202,Remove bottlenecks with an intelligent Amazon WorkSpaces dashboard,Workshop
EUC208,Secure your data in a BYOD world with WorkSpaces secure browser and AppStream,Chalk talk
EUC203,Simplify Amazon WorkSpaces management through automation,Builders' session
IND363,Stream 3D applications globally with Amazon GameLift Streams,Workshop
EUC204,Visualize and optimize spend using Amazon WorkSpaces dashboards,Builders' session
