code,title,type
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
PEX101,Accelerate new customer engagement and revenue growth,Breakout session
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
PEX203,Accelerating workload modernization using next generation agentic AI,Breakout session
PEX202,Agentic AI's new generation of Industry and Line of Business solutions,Breakout session
AIM296-S,A practical guide to modern web architecture  (sponsored by Contentful),Lightning talk
PEX108,AWS Generative AI Innovation Center driving enterprise success with AWS Partners,Lightning talk
PEX105,AWS Global Startup Program - how to accelerate your GTM success,Lightning talk
PEX209,AWS Marketplace growth through product-led growth and international expansion,Lightning talk
CMP308,AWS Tools: Automate Simulation jobs Recovery & maximize Cost Savings,Chalk talk
AIM118-S,Clinical Trials: AbbVie's Enterprise AI-Powered Document Creation Platform GAIA (sponsored by Accenture),Breakout session
AIM292-S,Cracking the SMB Code: AI Sales That Redefine Travel Growth (sponsored by ZS),Lightning talk
AIM110-S,Customer Services Reinvention powered by AWS (sponsored by Accenture),Breakout session
BIZ210-S,Driving Intelligent Project Portfolio Visibility with AWS + Smartsheet (sponsored by Smartsheet),Lightning talk
PEX201,"Expanding agentic AI: Accelerate, optimize and scale generative AI",Breakout session
PEX107,Fast Track to Growth: Leveraging Partner Programs & AWS Marketplace for success,Breakout session
BIZ209-S,From Data Chaos to AI Magic: Supercharging Customer Experience (sponsored by Treasure Data),Lightning talk
PEX204,Go-to-market in today's political climate: a policy and AWS Marketplace overview,Breakout session
DAT209-S,Knowledge Graphs for AI and Intelligent Systems (sponsored by Neo4j),Lightning talk
PEX106,Maximizing customer outcomes: AWS Partner Led Customer Success,Lightning talk
PEX109,Migration & Modernization: How AWS Partners help customers transform,Lightning talk
PEX112,Monetizing agentic AI solutions: A Partner's guide for AI agents & tools,Lightning talk
HMC306-S,Unlocking Business Value with Cloud Security (sponsored by Tenable),Lightning talk
