code,title,type
AIM113-S,AstraZeneca's AI-powered Drug Discovery with Snowflake & AWS (sponsored by Snowflake),Breakout session
COP209-S,"Best Practices for moving, innovating & extending SAP Cloud ERP (sponsored by SAP)",Breakout session
MAM352,Build an agentic SAP order management solution,Workshop
MAM353,Build an SAP ABAP application and generate unit test cases with generative AI,Builders' session
ANT333,Fast-track to insights: AWS-SAP data strategy,Lightning talk
AIM107-S,High-Impact Results Through Co-Innovation with AWS & SAP Business AI (sponsored by SAP),Breakout session
MAM351,Implement Low-code Agentic Finance Analytics for SAP,Workshop
MAM409,"Leveraging MCP Servers for SAP Observability, Security & Integration",Chalk talk
AIM108-S,Next-Gen Analytics & AI with SAP Business Data Cloud on AWS (sponsored by SAP),Breakout session
MAM212,Re-defining customer experiences with SAP and Pan-Amazon Services,Breakout session
MAM356-S,SAP modernization at an Australian steel manufacturer (sponsored by Capgemini),Breakout session
CMP341,SAP workloads on memory optimized EC2 instances,Chalk talk
MAM346,Transforming Enterprise IT: CSL Behring's VMware and SAP Modernization,Breakout session
MAM214,Transforming SAP with AWS AI services to drive innovation,Breakout session
MAM213,Unlocking business value by integrating SAP and non-SAP data sources,Breakout session
MAM209,Why customers choose AWS as their transformation partner for SAP,Breakout session
