code,title,type
OPN301,Accelerate app authorization with the latest Cedar tools ,Builders' session
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
COP347,Actionable controls for improving governance and compliance,Breakout session
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
STG301,Advanced data resiliency: Recovery strategies for AWS storage,Workshop
STG414,Advanced security patterns on Amazon S3,Chalk talk
ANT315,Agentic AI for Intelligent Observability with OpenSearch Service,Breakout session
COP354,Agile governance: Deploy AWS Control Tower in your current environment,Chalk talk
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
CNS351,Amazon ECS observability patterns and design decisions,Chalk talk
STG302,"Amazon S3 security: Implementing controls, policies & audit systems",Workshop
HMC206-S,"Anatomy of a Ransomware Attack: A Live Simulation, Sponsored by Rubrik (sponsored by Rubrik)",Breakout session
DEV326,Anti-Money Laundering Multi-agent Orchestration with AWS Strands,Breakout session
STG344,A practical guide to Amazon S3 data protection and recovery,Chalk talk
COP355,A practical guide to implement cost-effective governance controls,Chalk talk
ARC329,Architect for Zero Trust in AWS,Chalk talk
CNS302,Architecting for data protection and compliance with Amazon ECS,Builders' session
SEC336,Architecting for data protection and compliance with AWS Backup,Chalk talk
ARC320,Architecting resilient global networks with Project Kuiper,Breakout session
COP312,Architecting Security at Scale with AWS Cloud Governance,Chalk talk
SEC217-S,Automated cloud security remediation with agentic workflows (sponsored by Dynatrace),Lightning talk
DEV322,Automated Security Remediation with AWS Step Functions,Builders' session
MAM330,Automate SAP supply chain exceptions with generative AI,Workshop
COP310,Automating compliance and auditing at scale,Workshop
NTA321,AWS Agent for SAP Invoice Automation,Workshop
STG418,AWS Backup clean room recovery: Comprehensive resilience framework,Chalk talk
GBL101,AWS European Sovereign Cloud: Your 20-Minute Essential Guide,Lightning talk
COP349,Balancing Agility and Compliance feat. The Digital Agency of Japan,Breakout session
IND377,Balancing AI Innovation and Security: Novo Nordisk Agentic AI Framework,Chalk talk
IND341,Behind the curtain: Generative AI observability in financial services,Chalk talk
COP209-S,"Best Practices for moving, innovating & extending SAP Cloud ERP (sponsored by SAP)",Breakout session
IND213,Beyond EHR: Leveraging AWS for Maximum Clinical and Operational Impact,Breakout session
SEC209-S,Beyond Posture Management: Stopping Data Breaches in AWS (sponsored by Varonis),Lightning talk
COP406,Build and automate policy as code,Builders' session
STG309,Build an S3 time machine: Implementing advanced point-in-time recovery,Workshop
AIM273-S,Building a Cloud-Native Risk Decisioning Platform for Resilience (sponsored by PwC),Breakout session
WPS303,Building a GenAI-Powered Compliance Bot to Secure Networks on AWS,Builders' session
IND313,"Building Intelligent Healthcare Systems: FHIR, AI, and AWS HealthLake",Workshop
IND345,Building privacy-aware generative AI applications in financial services,Chalk talk
DEV324,Building Real-Time Container Security with AWS Native Tools,Chalk talk
STG406,Building resilient data protection with Amazon EBS Snapshots,Builders' session
SEC208-S,Building Secure-by-Design Environments with AWS Capabilities (sponsored by Native),Lightning talk
DEV312,"Building, Securing, and Monitoring Kiu: A Global Community AI Agent",Breakout session
COP409,Building Sovereign Cloud Environments,Code talk
ARC305,Building Well-Architected solutions: A generative AI approach,Builders' session
STG306,Build protection and optimize costs using Amazon EBS Snapshots,Workshop
STG403,Build ransomware data recovery with AWS Backup logically air-gapped vaults,Workshop
ISV405,BYOK: The Key to Meeting Enterprise SaaS Security Demands,Code talk
