code,title,type
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
NET317,A day in the life of an AWS WAF administrator ,Breakout session
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
DEV335,AgentVision: Multi-Agent Frameworks for Esports Video Understanding,Chalk talk
DEV301,"AI agents at the edge: Build for offline, scale in cloud",Breakout session
GBL202,AI Agents at Work: Real-World Platforms Driving Business Innovation,Breakout session
DEV315,"AI Agents for Databases: Discover, Recommend, Optimize",Breakout session
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
AIM220-S,AI-Native Era of Observability: How You Can Get Started Today (sponsored by Coralogix),Breakout session
DEV326,Anti-Money Laundering Multi-agent Orchestration with AWS Strands,Breakout session
DEV303,Architecting Distributed Micro-frontends with Serverless,Chalk talk
AIM255,Architecting for sustainable IT at scale,Lightning talk
IND374,Architecting multi-agent systems: Patterns in financial services,Chalk talk
IND338,Automate analysis and extract intelligence from financial datasets,Workshop
DEV322,Automated Security Remediation with AWS Step Functions,Builders' session
HMC202,AWS wherever you need it: From the cloud to the edge,Breakout session
IND375,Best practices for optimizing financial services application latency ,Chalk talk
STG317-S,Best practices to simplify resilience at scale for Gen AI data & apps (sponsored by Commvault),Breakout session
GBL302,Beyond Fine-Tuning: Agentic AI for HFT Quantitative Analytics ,Lightning talk
ARC332-S,Beyond Multi-Cloud Chaos: The Unified Cloud Mesh Architecture (sponsored by HAProxy Technologies),Breakout session
PEX316,Build agents & tools for Bedrock AgentCore and sell in AWS Marketplace,Builders' session
IND342,Build a multi-agent financial research assistant with Amazon Bedrock,Workshop
DEV330,Build a multi-agent role-playing Game Master with Strands Agents,Code talk
AIM104-S,Build an Agentic SaaS App in 5 Steps: From Idea to Revenue (sponsored by Pega),Lightning talk
DEV331,Build and deploy AI agents using Kiro and Amazon Bedrock AgentCore,Code talk
DEV325,Build and Deploy Highly Available Event Processing with Containers,Chalk talk
HMC301,Build and operate resilient and performant distributed applications,Workshop
HMC403,Build and optimize edge architecture for resiliency with AI,Code talk
HMC308,Build generative and agentic AI applications on-premises and at the edge,Breakout session
