code,title,type
BIZ324-S,Accelerating Business Value with Cloud and AI (sponsored by Infosys),Breakout session
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
DVT316-S,Are your APIs ready for AI agents? (sponsored by Postman),Breakout session
SPS309,Automating LLM Fine-Tuning with Multi-Agentic Orchestration,Breakout session
IND337,Auto ML Pipeline for Custom Telco Language Models in Amazon Connect,Workshop
SMB202,AWS & GenAI Power CDG's Telecom Software Modernization Journey,Lightning talk
IND409,Building Agentic Smart home with Generative AI,Workshop
AIM110-S,Customer Services Reinvention powered by AWS (sponsored by Accenture),Breakout session
BIZ210-S,Driving Intelligent Project Portfolio Visibility with AWS + Smartsheet (sponsored by Smartsheet),Lightning talk
IND410,Enhance GenAI Outcomes in Telecom with Domain Specific Fine-Tuning,Chalk talk
IND358,Experience T-Mobile's Digital Commerce in Action,Breakout session
AIM332,How Adobe & Salesforce Enable Sustainability initiatives with AWS CCFT,Breakout session
COP207-S,How AI is rewriting the contact center play book (sponsored by Zendesk),Lightning talk
IND205,Making Level 4 Autonomous Networks a reality with British Telecom,Breakout session
HMC402,Meet ultra-low latency and high throughput needs with AWS Outposts,Chalk talk
COP215-S,Powering SRE Transformation for a Telco Major (sponsored by Tech Mahindra),Lightning talk
DAT101-S,Presidio Resonate: AI Agents Orchestrating Multimodal Data at Scale (sponsored by Presidio),Lightning talk
IND326,Smart Machines: Maximizing Business Value with Generative AI,Chalk talk
IND206,Streamlining Telecom Cybersecurity Operations with AWS Generative AI,Lightning talk
IND216,Vodafone Romania BSS Modernization on AWS,Chalk talk
