code,title,type
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
BIZ324-S,Accelerating Business Value with Cloud and AI (sponsored by Infosys),Breakout session
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
PEX202,Agentic AI's new generation of Industry and Line of Business solutions,Breakout session
PEX301,Agentic AI Solutions for Financial Services & Insurance with AWS,Breakout session
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
AIM263-S,"AI Agents with Amazon Nova Sonic: Vonage for Financial Services (sponsored by Vonage, Part of Ericsson)",Lightning talk
NTA404,AI Code to Production: Context Matters,Code talk
COP210,A practical guide for meeting regulatory resilience requirements,Chalk talk
AIM255,Architecting for sustainable IT at scale,Lightning talk
IND374,Architecting multi-agent systems: Patterns in financial services,Chalk talk
MAM221-S,Architecting Trusted GenAI and Agentic Experiences in Financial Services (sponsored by Coveo),Lightning talk
IND301,Architect petabyte-scale observability with OpenSearch and Amazon Q,Chalk talk
DVT316-S,Are your APIs ready for AI agents? (sponsored by Postman),Breakout session
AIM367,A strategic guide to AWS compute options for your AI/ML workload,Chalk talk
IND338,Automate analysis and extract intelligence from financial datasets,Workshop
DAT457,Autonomous Web3 agents on AWS,Code talk
NTA321,AWS Agent for SAP Invoice Automation,Workshop
AIM3304,"Balance cost, performance & reliability for AI at enterprise scale",Breakout session
IND341,Behind the curtain: Generative AI observability in financial services,Chalk talk
IND375,Best practices for optimizing financial services application latency ,Chalk talk
STG317-S,Best practices to simplify resilience at scale for Gen AI data & apps (sponsored by Commvault),Breakout session
GBL302,Beyond Fine-Tuning: Agentic AI for HFT Quantitative Analytics ,Lightning talk
AIM3303,Beyond short interactions: Building long running agents with AgentCore,Chalk talk
AIM231-S,Beyond the Hype: Delivering Measurable ROI with Generative AI on AWS (sponsored by CDW),Lightning talk
AIM394,Bridging the POC to production gap: An introduction to AgentCore,Breakout session
ANT327-S,Build a GenAI Race Tracker With Confluent & AWS Bedrock in <60 Min  (sponsored by Confluent),Breakout session
AIM3311,Build agentic workflows on AWS with third-party agents and tools,Breakout session
AIM341,Build agents with Amazon Bedrock AgentCore & Strands Agents,Workshop
AIM392,Build AI apps faster and at scale using Amazon Bedrock APIs,Chalk talk
IND342,Build a multi-agent financial research assistant with Amazon Bedrock,Workshop
AIM215-S,Build and Deploy AI Agents with Cloudera Agent Studio (sponsored by Cloudera),Workshop
DAT448,Build a stablecoin payment processor using AWS serverless services,Workshop
AIM371,"Build, fine-tune & deploy AI models with SageMaker HyperPod CLI & SDK",Code talk
NTA401,Build First Retail AI Agent: Customer Service Excellence with Amazon Bedrock,Builders' session
NTA317,Build GenAI Apps with Anywhere Data,Chalk talk
HMC308,Build generative and agentic AI applications on-premises and at the edge,Breakout session
AIM399,Building A2A-enabled applications with Strands Agents,Chalk talk
AIM273-S,Building a Cloud-Native Risk Decisioning Platform for Resilience (sponsored by PwC),Breakout session
WPS303,Building a GenAI-Powered Compliance Bot to Secure Networks on AWS,Builders' session
NTA405,"Building AI Agents with Serverless, Strands, and MCP",Code talk
AIM370,Building and tracing AI agents with Amazon SageMaker and Strands,Chalk talk
AIM280-S,Building Enterprise-Ready Agentic Speech AI Pipelines on AWS (sponsored by NVIDIA),Breakout session
AIM397,Building governed agents: Human-in-the-loop with AgentCore and Strands,Chalk talk
IND344,Building multi-Region financial transaction systems with Aurora DSQL,Builders' session
MAM104-S,Building Predictable AI Agents with Pega and AWS Bedrock (sponsored by Pega),Lightning talk
IND345,Building privacy-aware generative AI applications in financial services,Chalk talk
IND3302,Building Prudential’s microagent platform with MCP and A2A on AWS,Breakout session
NTA312,Building The Enterprise Data Success Framework,Chalk talk
AIM3307-S,Building the Future Trading Platform leveraging AI and AWS (sponsored by Cognizant),Breakout session
AIM390,Building tomorrow's AI applications at scale with Amazon Bedrock,Breakout session
IND346,Building vertical AI agent blueprints in financial services,Chalk talk
AIM324,Build production-ready AI solutions with Claude in Amazon Bedrock,Workshop
AIM306,Build reliable agents: Real-time insights with AgentCore Observability,Builders' session
AIM303, Build trustworthy AI applications with Amazon Bedrock Guardrails,Workshop
IND3308,Capital One: Building resilient systems by engineering for five nines,Breakout session
IND350,Chaos detective: Deploy generative AI-powered troubleshooting agents,Chalk talk
AIM277-S,Claude 4 on AWS: Architecting Enterprise AI at Scale (sponsored by Anthropic),Breakout session
AIM259-S,Closing the gap between speed and safety: shipping faster at scale (sponsored by LaunchDarkly),Breakout session
NTA201,Cloud Foundations Accelerator,Chalk talk
AIM3300,Collaborate at scale: Architecting multi-agent systems with AgentCore,Chalk talk
IND347,Combat financial document fraud with a multi-agent system,Workshop
SPS310,Commonwealth Bank of Australia reimagines modernization via agentic AI,Breakout session
NTA314,Connecting Infor CloudSuite to AWS Services,Chalk talk
IND348,Create a secure card management platform with AWS Payment Cryptography,Chalk talk
AIM386,Customize foundation models using Amazon SageMaker AI,Chalk talk
AIM3315,Customize GPT-OSS models on Amazon SageMaker AI for improved accuracy,Chalk talk
AIM363,Customize & scale foundation models using Amazon SageMaker AI,Breakout session
NTA313,Cut Costs with Aurora PostgreSQL & Babelfish,Chalk talk
AIM3314,"Debug, trace, improve: Observability for agentic applications",Chalk talk
AIM3305,"Deliver a smarter, faster, and a more accurate agentic RAG system",Breakout session
TNC318,Deploy Agentic AI Application with Strands and MCP on Amazon EKS,Interactive training
DAT454,Deploy and manage blockchain nodes on AWS,Chalk talk
AIM3319,Deploy LLMs at scale with vLLM Deep Learning Containers and AI agents,Chalk talk
IND351,Design a multi-expert system for fraud investigation with AI agents,Chalk talk
AIM388,Develop AI Agents faster with Amazon SageMaker Studio and AgentCore,Breakout session
