code,title,type
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
AIM403,Agentic AI: Powering the future of social good ,Workshop
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
AIM330,Beyond vibe testing: Productionalizing mission-driven genAI workloads,Chalk talk
AIM339,Data protection strategies for AI data foundation,Code talk
AIM410,Efficient AI model customization for agentic workflows,Builders' session
AIM331,From reflection to action: Agentic AI for mission impact,Chalk talk
AIM417,Sustainable computing for climate solutions,Breakout session
AIM326,Talk with your data: Approaches to natural language query for nonprofits,Builders' session
IND364,Transforming Service Operations with IoT and Gen AI,Builders' session
AIM338,Unified knowledge access: Bridging data with generative AI agents,Code talk
AIM336,Using AI to improve humanitarian workload resilience,Code talk
