code,title,type
MAM349,4x faster workload modernization with agentic AI,Lightning talk
CMP349,5-Star Customer Service: Duolingo's Path to Compute Savings,Breakout session
ANT309,Accelerate analytics and AI with an open and secure lakehouse architecture ,Breakout session
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
STG327,Accelerate enterprise workloads with enhanced Amazon EBS capabilities,Chalk talk
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
ANT301,Accelerating the shift from batch to real-time streaming,Chalk talk
DAT438,Advanced data modeling for Amazon ElastiCache,Breakout session
DAT414,Advanced data modeling with Amazon DynamoDB,Breakout session
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
ANT421,Advanced Stream Processing with Apache Flink,Chalk talk
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
MAM202,Agentic AI for VMware migrations with AWS Transform for VMware,Breakout session
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
IND304,Agentic video summarization for autonomous content creation at scale,Chalk talk
MAM103-S,AI driven application modernization at scale (sponsored by Pega),Lightning talk
AIM274-S,AI-First Contact Centers: Reinventing Scale with AWS and Partners (sponsored by PwC),Breakout session
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
IND397,AI-Powered Content Compliance: Media Rating Automation with Nova,Chalk talk
BIZ201,AI-powered retail transformation with Just Walk Out technology,Breakout session
PEX405,AI That Remembers: Building Memory Systems for AI Agents,Workshop
SNR307,A leaders guide to advanced team structures in an agentic world ,Breakout session
CNS401,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD",Chalk talk
DAT450,Amazon Keyspaces live migration best practices with HBO Max,Chalk talk
ANT423,Amazon Kinesis Data Streams under the hood,Breakout session
STG334,"Amazon S3 Tables architecture, use cases, and best practices",Breakout session
NET309,A modern approach to application migration with Amazon VPC Lattice,Breakout session
AIM203-S,An Alliance for Our Times: Building the Next Frontier of Cancer Research (sponsored by Deloitte),Breakout session
DAT436,An insider’s look into architecture choices for Amazon DynamoDB,Breakout session
MAM306,Application modernization challenge,Workshop
DAT402,Applied data modeling with Amazon DynamoDB,Builders' session
ARC209,Architecting for hypergrowth: Scaling to 200 million users with Skyscanner,Breakout session
IND307,Architecting Intelligent Supply Chains with Multi-Agent Orchestration,Chalk talk
HMC210,Architecting multicloud solutions from data mesh to generative AI,Breakout session
MAM307,Architecting real-time data pipeline modernization with Generative AI,Chalk talk
CMP201,Architecting Solution Patterns for GPU-Accelerated HPC and AI/ML,Chalk talk
ANT204,Architecting the future: Amazon SageMaker as a data and AI platform,Breakout session
MAM221-S,Architecting Trusted GenAI and Agentic Experiences in Financial Services (sponsored by Coveo),Lightning talk
STG303,Architecting vector-driven AI applications with Amazon S3 Vectors,Builders' session
ANT346,Architectural blueprints for your lakehouse in Amazon SageMaker,Chalk talk
CMP305,Assembling the Complete AI Stack: Optimizing Your AI Hardware on AWS,Chalk talk
AIM113-S,AstraZeneca's AI-powered Drug Discovery with Snowflake & AWS (sponsored by Snowflake),Breakout session
DAT455,A tale of two transactions,Breakout session
DVT326,Automate Java app upgrades & accelerate innovation with generative AI,Chalk talk
DVT324, Automate your code transformations at scale,Builders' session
SPS309,Automating LLM Fine-Tuning with Multi-Agentic Orchestration,Breakout session
PEX305,Automotive Supply Chain Optimization using AI,Breakout session
ANT424,Autonomous agents powered by streaming data and Retrieval Augmented Generation,Breakout session
CMP307,AWS Graviton: The best price performance for your AWS workloads,Breakout session
MAM309,AWS migration journey: 2025 itinerary for Microsoft workloads,Breakout session
ANT335,Best practices for agentic data engineering with AWS Analytics MCP Servers,Breakout session
ANT343,Best practices for building Apache Iceberg based lakehouse architectures on AWS,Breakout session
DAT303,Best practices for migrating and operating Db2 databases on Amazon RDS,Chalk talk
COP209-S,"Best Practices for moving, innovating & extending SAP Cloud ERP (sponsored by SAP)",Breakout session
MAM344,Best practices for performing custom code transformation with agentic AI,Code talk
STG361,Beyond SFTP and NFS: Automate enterprise file transfers at scale,Breakout session
AIM231-S,Beyond the Hype: Delivering Measurable ROI with Generative AI on AWS (sponsored by CDW),Lightning talk
EUC207,Beyond traditional computing: How WorkSpaces powers the future workplace,Breakout session
DAT322,Binge-worthy: Netflix's journey to Amazon Aurora at scale,Lightning talk
ANT337,Breaking data silos with the lakehouse architecture,Chalk talk
MAM402,Breaking the legacy barrier: How AI is revolutionizing modernization,Breakout session
CNS305,Bring the power of Amazon EKS to your on-premises applications,Builders' session
ANT338,Bring unified analytics to your data warehouse with the lakehouse architecture,Chalk talk
ANT329,Build Advanced AI-powered Search with OpenSearch MCP and Vectors,Chalk talk
ANT314,"Build Advanced Enterprise Search with Vector, Hybrid, and AI Techniques ",Breakout session
MAM406,Build agentic AI features for monolithic applications,Builders' session
IND411,Build AI Commerce Media Agents: Audience Discovery & Campaign Performance,Builders' session
DAT404,"Build a multi-Region, active-active rewards app with Aurora DSQL",Workshop
ANT304,Build an AI-ready data foundation,Breakout session
ANT347,Build a secure and regulated data foundation for AI,Chalk talk
DAT405,Build a web-scale application with purpose-built databases & analytics,Workshop
ANT311,Build data pipelines in minutes with the SageMaker Visual experience,Chalk talk
CNS359,"Build, deploy, and operate agentic architectures on AWS Serverless",Breakout session
AIM371,"Build, fine-tune & deploy AI models with SageMaker HyperPod CLI & SDK",Code talk
