code,title,type
PEX202,Agentic AI's new generation of Industry and Line of Business solutions,Breakout session
STG317-S,Best practices to simplify resilience at scale for Gen AI data & apps (sponsored by Commvault),Breakout session
BIZ219,Caesars personalizes guest service at scale with AI-powered Amazon Connect,Breakout session
AIM292-S,Cracking the SMB Code: AI Sales That Redefine Travel Growth (sponsored by ZS),Lightning talk
IND3307,Drive Supply Chain Innovation Using AWS Cloud and AI Solutions,Breakout session
MAM219-S,Driving modernization using Mphasis’ Agentic AI framework (sponsored by Mphasis),Lightning talk
AIM2200-S,Fit for purpose AI-led transformation (sponsored by Tata Consultancy Services),Breakout session
BIZ209-S,From Data Chaos to AI Magic: Supercharging Customer Experience (sponsored by Treasure Data),Lightning talk
BIZ217,Global tourism brand transforms customer service with Amazon Connect,Breakout session
COP207-S,How AI is rewriting the contact center play book (sponsored by Zendesk),Lightning talk
SPS401,Manchester Airports Group: Scaling operations with Agentic AI & MCP,Breakout session
BIZ216,Redefining service excellence: Canada Life’s AI-powered contact center,Breakout session
AIM204-S,Reimagining software with Bedrock agent powered middlewares (sponsored by Cybage Software),Lightning talk
SEC101-S,Scale Customer Engagement with WhatsApp Business on AWS (sponsored by Meta),Breakout session
WPS309,"Smart Alerts, Smarter Workflows: The Amazon Connect Edge",Builders' session
IND327,Sysco's Digital Transformation: Platform Engineering with Amazon Q,Chalk talk
AIM216-S,"United Airlines, Deloitte & AWS GenAI-Powered Mainframe Emulator (sponsored by Deloitte)",Breakout session
