code,title,type
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
DVT329,Blueprint to code: Mastering spec-driven development,Chalk talk
DEV331,Build and deploy AI agents using Kiro and Amazon Bedrock AgentCore,Code talk
DVT403,Create your own AI sidekick: a hands-on agent building workshop,Workshop
DVT221,Crowning the Kiro code champions,Lightning talk
DVT207,Developer Experience Economics: Moving Past Productivity Metrics,Breakout session
DVT331,"Develop richer, contextual workflows with Model Context Protocol (MCP)",Chalk talk
DVT213,Extend Kiro with MCP support for richer context,Breakout session
DVT333,From AI tools to AI teammates: Building an AI strategy for your SDLC,Chalk talk
DVT320,From concept to production: Build with spec-driven development and Kiro,Code talk
DVT402, Game on: build a retro adventure game in 120 minutes,Workshop
DVT217,"Generative AI, agents, MCP, and the future of AI-powered software development",Breakout session
DVT334,How AI is impacting the software development lifecycle,Chalk talk
DVT214,Introducing AI driven development lifecycle (AI-DLC),Breakout session
DVT209,Kiro: Your agentic IDE for spec-driven development,Breakout session
DVT219,Measuring AI Impact with Amazon Q Developer and Jellyfish,Breakout session
DVT332,Reinvent your DevOps workflows using Kiro,Chalk talk
DVT212,Spec-driven development: Shaping the next generation of AI software,Breakout session
TNC314,Structured Approach to AI coding with Spec-Driven Development on Kiro,Interactive training
DVT341,Teaching your AI tools custom languages and libraries,Lightning talk
DVT317,The Kiro coding challenge,Workshop
DVT328,Unlock development value in the age of AI-driven strategies ,Chalk talk
DVT404,Unlock interoperability: Build your first MCP server,Workshop
DVT340,Unlock the power of Kiro steering: Your blueprint for scalable development,Breakout session
