code,title,type
STG347,Accelerate application performance with Amazon S3 Express One Zone,Chalk talk
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
STG357,Accelerate data discovery with object metadata in Amazon S3,Breakout session
STG356,Accelerate data migrations to AWS,Chalk talk
STG327,Accelerate enterprise workloads with enhanced Amazon EBS capabilities,Chalk talk
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
STG301,Advanced data resiliency: Recovery strategies for AWS storage,Workshop
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
STG414,Advanced security patterns on Amazon S3,Chalk talk
STG349,Amazon EFS data resiliency: From strategy to implementation,Chalk talk
STG402,Amazon EKS advanced storage best practices with Amazon FSx for OpenZFS,Builders' session
STG350,Amazon FSx Intelligent-Tiering: Technical deep dive and best practices,Chalk talk
STG335,"Amazon S3 performance: Architecture, design, and optimization",Breakout session
STG316,Amazon S3 security and access control best practices,Breakout session
STG302,"Amazon S3 security: Implementing controls, policies & audit systems",Workshop
STG334,"Amazon S3 Tables architecture, use cases, and best practices",Breakout session
STG344,A practical guide to Amazon S3 data protection and recovery,Chalk talk
STG303,Architecting vector-driven AI applications with Amazon S3 Vectors,Builders' session
STG333,Automate data protection at scale with AWS Backup and AWS Control Tower,Code talk
STG418,AWS Backup clean room recovery: Comprehensive resilience framework,Chalk talk
STG410,AWS Backup unlocked: strategies for at-scale data protection,Chalk talk
INV215,AWS storage beyond data boundaries: Building the data foundation,Innovation talk
STG328,Best practices for cost optimization with AWS Backup,Chalk talk
STG304,Best practices for deploying critical applications with Amazon EBS,Workshop
STG411,Best practices for maximizing S3 File Gateway performance,Chalk talk
STG317-S,Best practices to simplify resilience at scale for Gen AI data & apps (sponsored by Commvault),Breakout session
SEC205-S,Beyond Backup: Advancing Cloud Resiliency with Shared Responsibility (sponsored by Cohesity),Breakout session
STG361,Beyond SFTP and NFS: Automate enterprise file transfers at scale,Breakout session
STG417,Boost database performance & availability with Amazon FSx for OpenZFS,Chalk talk
STG309,Build an S3 time machine: Implementing advanced point-in-time recovery,Workshop
STG329,Build data resilient application architectures using AWS Storage,Chalk talk
STG305,"Build fast, scalable infrastructure for AI/ML with AWS storage",Workshop
STG413,Building an operational data lake using S3 Tables and SageMaker,Chalk talk
STG415,Building cost-effective data lakes with Apache Iceberg and Amazon S3,Chalk talk
STG355,"Building cost-optimized, resilient apps with Amazon EKS and EFS",Chalk talk
INV504,Building fast with automated reasoning at Amazon S3 scale,Chalk talk
STG412,Building resilience against ransomware using AWS Backup,Breakout session
STG324,Building resilient block storage through chaos engineering and observability,Chalk talk
STG406,Building resilient data protection with Amazon EBS Snapshots,Builders' session
