code,title,type
BIZ321,Accelerate global contact center modernization with Amazon Connect,Chalk talk
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
AIM274-S,AI-First Contact Centers: Reinventing Scale with AWS and Partners (sponsored by PwC),Breakout session
BIZ212,Anthology boosts contact center efficiency with AI,Breakout session
BIZ317,Automate customer experiences with Amazon Connect,Chalk talk
IND337,Auto ML Pipeline for Custom Telco Language Models in Amazon Connect,Workshop
BIZ219,Caesars personalizes guest service at scale with AI-powered Amazon Connect,Breakout session
BIZ215,Cochlear enhances contact center observability with Amazon Connect,Breakout session
BIZ302,Create advanced self-service experiences with Amazon Connect,Workshop
BIZ303,Data-driven contact centers: Maximizing Amazon Connect analytics,Chalk talk
BIZ304,Design multi-modal customer journeys with Amazon Connect,Chalk talk
BIZ305,Enhance customer service efficiency with AI-powered email workflows,Chalk talk
BIZ217,Global tourism brand transforms customer service with Amazon Connect,Breakout session
COP207-S,How AI is rewriting the contact center play book (sponsored by Zendesk),Lightning talk
BIZ307,Maximize AI-powered customer outreach with Amazon Connect,Chalk talk
BIZ308,Modernize your contact center agent workspace with Amazon Connect,Workshop
NTA305,Multilingual Contact Center with Amazon Connect,Workshop
BIZ309,Optimize back-office operations with gen AI-powered Amazon Connect,Chalk talk
BIZ403,Optimize contact center deployment with change management strategies,Builders' session
BIZ310,Optimize contact center staffing using AI-powered assistants,Workshop
BIZ311,Optimize customer conversations in your IVR with Amazon Connect,Workshop
BIZ312,Personalize customer interactions with AI agents in Amazon Connect,Chalk talk
BIZ213,Petco unlocks agentic AI-powered customer service with Amazon Connect,Breakout session
BIZ216,Redefining service excellence: Canada Life’s AI-powered contact center,Breakout session
BIZ313,Refine customer journeys with predictive routing in Amazon Connect,Chalk talk
BIZ314,Scale your contact center with Amazon Connect global telephony,Chalk talk
BIZ211,So Energy streamlines customer service with AI-powered automation,Breakout session
BIZ316,Streamline Amazon Connect management with agentic AI-powered controls,Workshop
BIZ404,Streamline secure customer authentication with Amazon Connect,Builders' session
BIZ214,Traeger accelerates contact center agent productivity with agentic AI,Breakout session
BIZ318,Transform data into insights with AI-powered Amazon Connect,Workshop
BIZ220,Transforming contact centers in financial services with Amazon Connect,Breakout session
IND364,Transforming Service Operations with IoT and Gen AI,Builders' session
MAM211-S,Turning Complexity into Effortless CX with Amazon Connect (sponsored by NTT DATA),Breakout session
BIZ218,UC San Diego Health modernizes patient engagement with Amazon Connect,Breakout session
BIZ301,Unlock contact center insights with Amazon Connect,Chalk talk
BIZ320,Unlock intelligent generative AI-powered email with Amazon Connect,Workshop
