code,title,type
IND413,Accelerate SDV Development: Amazon Q for Automotive Code Refactoring,Chalk talk
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
IND303,Accelerating Smart Product SDLC with Amazon Q Developer,Chalk talk
CMP350,Accelerating Vehicle Innovation: ML & HPC Best Practices,Chalk talk
IND401,Agentic AI for Vehicle Diagnostics and Root Cause Analysis,Builders' session
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
IND339,Automate Inventory Rebalancing on AWS with Agentic AI,Builders' session
PEX305,Automotive Supply Chain Optimization using AI,Breakout session
IND391,Building Data Products and AI for Electric Vehicles,Chalk talk
IND408,Build Virtual Engineering Workbenches for SDV with AWS Marketplace,Workshop
ARC327,Cell-based architectures: From connected vehicles to enterprise systems,Chalk talk
IND331,Democratizing Whirlpool's Virtual Product Development with AWS,Breakout session
DAT103-S,Driving AI Innovation at the Enterprise Level with MDB Atlas (sponsored by MongoDB),Lightning talk
IND316,Driving Autonomous Operations with Data Sharing and Agentic AI,Chalk talk
IND406,Embedded Software Development in the Agentic AI Era,Builders' session
SEC212-S,Full Speed Ahead: Securing Innovation with Trend (sponsored by Trend Micro),Breakout session
IND382,How Nissan Accelerated Software-Defined Vehicle Development with AWS,Lightning talk
IND320,How Toyota Built an AI Platform that Revolutionizes the Dealer Experience,Breakout session
CMP323,HPC Sustainability by Design: Optimizing for Planet and Performance,Workshop
HMC317,Implement Agentic AI at the edge for industrial automation,Code talk
AIM208-S,Lamborghini’s AI Journey: Data-Driven Innovation with Deloitte & AWS (sponsored by Deloitte),Breakout session
IND218-S,Modernizing Mercedes-Benz’s Global Ordering System with Gen AI (sponsored by Capgemini),Breakout session
IND367,Revolutionizing Audi's Welding Inspection System through AI,Breakout session
AIM286-S,Rivian & MongoDB: Powering the Future of Autonomous Driving (sponsored by MongoDB),Breakout session
MAM356-S,SAP modernization at an Australian steel manufacturer (sponsored by Capgemini),Breakout session
SPS306,Scaling AI Supply Chains: Search to Consumer-Driven Demand,Chalk talk
GBL203,StradVision's Vision AI journey with AWS,Lightning talk
API206-S,Transforming Supply Chains with Amazon Bedrock AgentCore (sponsored by Fujitsu),Lightning talk
IND332,Zero-Training Visual Defect Detection Using Amazon Nova,Workshop
