code,title,type
STG301,Advanced data resiliency: Recovery strategies for AWS storage,Workshop
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
DAT401,Amazon Aurora DSQL: A developer's perspective,Code talk
DAT442,Amazon Aurora HA and DR design patterns for global resilience,Breakout session
STG349,Amazon EFS data resiliency: From strategy to implementation,Chalk talk
COP210,A practical guide for meeting regulatory resilience requirements,Chalk talk
STG344,A practical guide to Amazon S3 data protection and recovery,Chalk talk
SEC336,Architecting for data protection and compliance with AWS Backup,Chalk talk
ARC322,Architecting multi-Region expansion for mission-critical workloads,Chalk talk
HMC201,"Architecting resilient multicloud operations, feat. Monzo Bank",Breakout session
STG333,Automate data protection at scale with AWS Backup and AWS Control Tower,Code talk
STG418,AWS Backup clean room recovery: Comprehensive resilience framework,Chalk talk
STG410,AWS Backup unlocked: strategies for at-scale data protection,Chalk talk
GBL101,AWS European Sovereign Cloud: Your 20-Minute Essential Guide,Lightning talk
GHJ307,AWS GameDay: Cloud Architecture ft. Datadog,Gamified learning
MAM310,AWS migration planning: From discovery to delivery,Chalk talk
STG328,Best practices for cost optimization with AWS Backup,Chalk talk
STG304,Best practices for deploying critical applications with Amazon EBS,Workshop
STG317-S,Best practices to simplify resilience at scale for Gen AI data & apps (sponsored by Commvault),Breakout session
IND213,Beyond EHR: Leveraging AWS for Maximum Clinical and Operational Impact,Breakout session
STG417,Boost database performance & availability with Amazon FSx for OpenZFS,Chalk talk
DAT404,"Build a multi-Region, active-active rewards app with Aurora DSQL",Workshop
DEV325,Build and Deploy Highly Available Event Processing with Containers,Chalk talk
HMC301,Build and operate resilient and performant distributed applications,Workshop
HMC403,Build and optimize edge architecture for resiliency with AI,Code talk
STG309,Build an S3 time machine: Implementing advanced point-in-time recovery,Workshop
STG329,Build data resilient application architectures using AWS Storage,Chalk talk
ARC304,Building and testing resilient multi-AZ applications,Workshop
API322,Building Fault-Tolerant Systems with AWS Messaging Services ,Code talk
CMP351,Building for Efficiency & Reliability with Performance Testing on AWS,Lightning talk
IND344,Building multi-Region financial transaction systems with Aurora DSQL,Builders' session
ARC207,Building on AWS resilience: Innovations for critical success,Breakout session
DEV311,Building production AI agents for cloud application resilience on AWS,Breakout session
CNS425,Building production-ready Agentic AI architectures with AWS Serverless,Chalk talk
STG412,Building resilience against ransomware using AWS Backup,Breakout session
COP408,Building resilient architectures with observability,Workshop
