code,title,type
DVT222-S,100% Observability at 10% the Cost Using Grepr's Real-Time ML (sponsored by Grepr),Lightning talk
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
DVT308,Accelerate enterprise development with Amazon Q Developer,Workshop
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
DVT216,Accelerate Terraform Provider development worklows with Amazon Q Developer CLI,Breakout session
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
DVT103-S,AI transforms development: Lessons from CircleCI's journey with AWS (sponsored by CircleCI),Lightning talk
STG402,Amazon EKS advanced storage best practices with Amazon FSx for OpenZFS,Builders' session
CNS401,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD",Chalk talk
DVT330,"Amazon Q Developer CLI, a lightning-fast coding experience",Chalk talk
COP329,Application performance monitoring: From design to implementation,Chalk talk
DVT311, Apply Amazon’s DevOps culture to your team,Chalk talk
DVT316-S,Are your APIs ready for AI agents? (sponsored by Postman),Breakout session
COP303,Automate disaster recovery playbooks using generative AI,Builders' session
DVT401,Automate Java application upgrade with generative AI,Workshop
DVT326,Automate Java app upgrades & accelerate innovation with generative AI,Chalk talk
DVT324, Automate your code transformations at scale,Builders' session
DVT302, Automate your software tasks with agent hooks,Builders' session
DVT203, AWS infrastructure as code: A year in review,Breakout session
DVT315,AWS SAM Beyond the Basics - Powered by Amazon Q Developer,Chalk talk
CNS402,AWS Serverless developer experience workshop,Workshop
DVT329,Blueprint to code: Mastering spec-driven development,Chalk talk
DVT224-S,Bronto: Logs at Scale Without Compromise (sponsored by Bronto),Lightning talk
AIM224-S,Browser Power: Building MCP Tools That Do Real Work (sponsored by Cloudflare),Lightning talk
DEV306,Build AI Agents in Java with Spring AI,Chalk talk
DEV330,Build a multi-agent role-playing Game Master with Strands Agents,Code talk
COP406,Build and automate policy as code,Builders' session
DEV331,Build and deploy AI agents using Kiro and Amazon Bedrock AgentCore,Code talk
MAM353,Build an SAP ABAP application and generate unit test cases with generative AI,Builders' session
SMB401,Build Fast Multi-Agent AI Systems Using Amplify and Bedrock Together,Workshop
DEV327,Building Agentic AI: Amazon Nova Act and Strands Agents in Practice,Breakout session
AIM394-S,Building multi-agent AI SRE: from root cause to vibe debugging (sponsored by Resolve AI),Breakout session
DEV302,Building .NET AI Applications with Semantic Kernel and Amazon Bedrock,Code talk
CNS312,Building Serverless applications with Terraform workshop,Workshop
SPS322,Building smarter AI coding assistants: real-world implementation guide,Code talk
DEV332,Build multi-modal AI agents with Strands Agents and Amazon S3 Vectors,Code talk
AIM233-S,"Build observable AI agents with Strands, AgentCore, and Datadog (sponsored by Datadog)",Breakout session
TNC317,Build production-ready Generative AI Applications on AWS,Interactive training
DVT307,Build real-time applications AWS Amplify,Workshop
ISV404,Build Resilient SaaS: Multi-Account Resilience Testing Patterns,Code talk
DVT405,Code completion to agents: The evolution of development,Breakout session
DEV405,Compile blazing-fast MCP servers in Rust,Code talk
DVT202, Continuous integration and continuous delivery (CI/CD) for AWS,Breakout session
DVT309," Create secure, production-ready code with Amazon Q Developer",Workshop
DVT403,Create your own AI sidekick: a hands-on agent building workshop,Workshop
DVT221,Crowning the Kiro code champions,Lightning talk
CNS367,Debug Lambda functions deployed in cloud like never before,Breakout session
DVT323,Deliver GenAI Mobile Apps and Models at scale: A Testing Architecture,Chalk talk
TNC318,Deploy Agentic AI Application with Strands and MCP on Amazon EKS,Interactive training
DVT304,Deploy infrastructure with speed and safety using AWS CloudFormation,Workshop
DVT102-S,Designing with Agents: A Playbook for Enterprise Engineering Leaders (sponsored by Windsurf),Breakout session
TNC315,Develop AI Agents and Flow Apps on Amazon SageMaker Unified Studio,Interactive training
AIM381,Develop AI Agents faster with Amazon SageMaker AI & Bedrock AgentCore,Breakout session
DVT305, Develop AWS CDK resources to deploy your applications on AWS,Workshop
DVT207,Developer Experience Economics: Moving Past Productivity Metrics,Breakout session
CNS415-S,Developing Serverless Applications Locally with AWS and LocalStack (sponsored by LocalStack),Lightning talk
