code,title,type
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
IND395,Accelerate Game Design Reviews with Generative AI and LLM Agents,Code talk
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
SEC401,Active defense strategies using AWS Al/ML services,Workshop
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
NET312,Agent based Network Ops : Amazon Bedrock Agents & Agent Core,Workshop
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
AIM403,Agentic AI: Powering the future of social good ,Workshop
PEX301,Agentic AI Solutions for Financial Services & Insurance with AWS,Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
SAS414,Agents meet SaaS operations: A natural fit,Builders' session
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
DEV301,"AI agents at the edge: Build for offline, scale in cloud",Breakout session
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
CMP402,AI-assisted quantum software development using Amazon Braket and Amazon Bedrock,Chalk talk
NTA404,AI Code to Production: Context Matters,Code talk
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
AIM242-S,"AI in the Cloud: Surveillance, Sabotage, and Security (sponsored by Trend Micro)",Breakout session
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
SMB301,AI Pioneers: Shipping Transformative GenAI Architectures to Production,Breakout session
IND397,AI-Powered Content Compliance: Media Rating Automation with Nova,Chalk talk
ARC318,AI-powered FinOps: Agent-based cloud cost management,Chalk talk
ARC302,AI-powered Well-Architected reviews: Building automated governance,Builders' session
DVT103-S,AI transforms development: Lessons from CircleCI's journey with AWS (sponsored by CircleCI),Lightning talk
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
TNC322,Amazon Bedrock Agents: Features and Design Patterns,Breakout session
DAT316,Analyze blockchain data with Amazon Bedrock AgentCore,Builders' session
DEV326,Anti-Money Laundering Multi-agent Orchestration with AWS Strands,Breakout session
OPN401,An unexpected journey building AWS MCP Servers,Breakout session
DAT315,A practitioner’s guide to data for agentic AI,Breakout session
