code,title,type
SPS308,Accelerate Cloud Modernization & Migration with AWS Countdown Premium,Workshop
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
COP334,Accelerating incident response through AIOps,Breakout session
HMC319,Achieve multicloud FinOps visibility,Chalk talk
COP347,Actionable controls for improving governance and compliance,Breakout session
COP401,Advanced analytics with AWS Cost and Usage Reports,Code talk
COP419,Advanced multicloud cost reporting with FOCUS,Code talk
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
SAS414,Agents meet SaaS operations: A natural fit,Builders' session
COP354,Agile governance: Deploy AWS Control Tower in your current environment,Chalk talk
AIM206-S,AI-Powered Observability & Observability for AI: The Two Sides of the Coin (sponsored by ManageEngine),Lightning talk
COP420,AI-powered resilience testing and disaster recovery,Breakout session
ISV313,AI-powered SaaS Observability using OpenSearch,Code talk
SNR304,A leaders guide to achieving compliance through software excellence,Breakout session
SNR306,A leaders guide to AI powered FinOps,Breakout session
SNR203,A leaders guide to emerging technologies: From insight to rapid action,Breakout session
STG350,Amazon FSx Intelligent-Tiering: Technical deep dive and best practices,Chalk talk
AMZ308,Amazon's finops: Cloud cost lessons from a global e-commerce giant,Lightning talk
INV206,"A new dawn for operations: More intelligent, secure, and efficient",Innovation talk
COP329,Application performance monitoring: From design to implementation,Chalk talk
COP301,Applying AI for FinOps and FinOps for AI,Chalk talk
COP210,A practical guide for meeting regulatory resilience requirements,Chalk talk
COP355,A practical guide to implement cost-effective governance controls,Chalk talk
COP312,Architecting Security at Scale with AWS Cloud Governance,Chalk talk
COP402,Architect open source observability for distributed environments,Chalk talk
COP403,Automate cloud operations with AI agents,Workshop
COP303,Automate disaster recovery playbooks using generative AI,Builders' session
DEV322,Automated Security Remediation with AWS Step Functions,Builders' session
COP310,Automating compliance and auditing at scale,Workshop
NTA321,AWS Agent for SAP Invoice Automation,Workshop
COP302,AWS disaster recovery strategies,Builders' session
TNC103,AWS Escape Room: Exam Prep for Cloud Practitioner [Exam Prep],Exam prep
GBL101,AWS European Sovereign Cloud: Your 20-Minute Essential Guide,Lightning talk
COP349,Balancing Agility and Compliance feat. The Digital Agency of Japan,Breakout session
COP415,Behind the scenes: How AWS drives operational excellence & reliability,Breakout session
COP209-S,"Best Practices for moving, innovating & extending SAP Cloud ERP (sponsored by SAP)",Breakout session
DVT224-S,Bronto: Logs at Scale Without Compromise (sponsored by Bronto),Lightning talk
AIM304,Build agentic observability workflows with models from AWS Marketplace,Builders' session
COP406,Build and automate policy as code,Builders' session
COP323,Build effective logging strategies for operational insights,Chalk talk
COP404,Build full-stack observability from applications to databases,Workshop
COP405,Building agentic workflows for augmented observability,Code talk
COP322,Building AI-Powered operational insights and automated remediation,Builders' session
COP350,Building and validating cloud controls with generative AI,Breakout session
COP407,Building custom agents for intelligent AWS patch automation,Code talk
SPS311,Building operational resilience in workloads using generative AI,Workshop
DEV311,Building production AI agents for cloud application resilience on AWS,Breakout session
COP340,"Building reliable operations, feat. Fannie Mae",Breakout session
COP408,Building resilient architectures with observability,Workshop
COP409,Building Sovereign Cloud Environments,Code talk
COP353,Building your data protection strategy with governance controls,Chalk talk
DEV406,Build resilient distributed systems through comprehensive testing,Chalk talk
ISV404,Build Resilient SaaS: Multi-Account Resilience Testing Patterns,Code talk
