code,title,type
DVT222-S,100% Observability at 10% the Cost Using Grepr's Real-Time ML (sponsored by Grepr),Lightning talk
MAM349,4x faster workload modernization with agentic AI,Lightning talk
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
AIM401,Accelerate AI model fine-tuning and deployment with SageMaker HyperPod,Workshop
ANT309,Accelerate analytics and AI with an open and secure lakehouse architecture ,Breakout session
API301,Accelerate API Creation with Amazon Q Developer CLI,Builders' session
OPN301,Accelerate app authorization with the latest Cedar tools ,Builders' session
STG347,Accelerate application performance with Amazon S3 Express One Zone,Chalk talk
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
STG357,Accelerate data discovery with object metadata in Amazon S3,Breakout session
STG356,Accelerate data migrations to AWS,Chalk talk
DVT308,Accelerate enterprise development with Amazon Q Developer,Workshop
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
ANT302,Accelerate GenAI-powered data discovery and sharing with SageMaker Catalog,Chalk talk
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
IND413,Accelerate SDV Development: Amazon Q for Automotive Code Refactoring,Chalk talk
CNS315,Accelerate software delivery with Amazon,Breakout session
DVT216,Accelerate Terraform Provider development worklows with Amazon Q Developer CLI,Breakout session
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
AIM251,Accelerating AI innovation with NVIDIA GPUs on AWS,Breakout session
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
WPS313,Accelerating Research at Scale: MIT’s Self-Service Portal,Breakout session
CMP401,"Accelerating semiconductor design, simulation, and verification on AWS",Chalk talk
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
ANT301,Accelerating the shift from batch to real-time streaming,Chalk talk
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
API314,A decade of API Gateway: Architecting the future of API Management,Breakout session
ANT325,A deep dive into AI/ML development in SageMaker Unified Studio,Chalk talk
SEC402,A deep dive on IAM policy evaluation,Chalk talk
AIM265-S,Adopting AI within Streaming Architectures (sponsored by Redpanda),Lightning talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
COP401,Advanced analytics with AWS Cost and Usage Reports,Code talk
CNS365,Advanced authorization patterns for secure serverless applications,Chalk talk
DAT438,Advanced data modeling for Amazon ElastiCache,Breakout session
DAT414,Advanced data modeling with Amazon DynamoDB,Breakout session
WPS306,Advanced DDoS protection and DNS capabilities in AWS GovCloud (US),Chalk talk
AIM402,Advanced model customization with Amazon Nova,Builders' session
COP419,Advanced multicloud cost reporting with FOCUS,Code talk
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
ANT421,Advanced Stream Processing with Apache Flink,Chalk talk
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
WPS301,Agentic AI beyond the cloud: Building autonomy at the edge,Chalk talk
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
IND401,Agentic AI for Vehicle Diagnostics and Root Cause Analysis,Builders' session
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
AIM403,Agentic AI: Powering the future of social good ,Workshop
ARC330,Agentic architecting: From prototype to production-ready systems,Chalk talk
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
IND304,Agentic video summarization for autonomous content creation at scale,Chalk talk
OPN410,Agentic Workflows: How Salesforce Manages 1000+ Clusters,Breakout session
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
SAS414,Agents meet SaaS operations: A natural fit,Builders' session
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
DEV335,AgentVision: Multi-Agent Frameworks for Esports Video Understanding,Chalk talk
DEV301,"AI agents at the edge: Build for offline, scale in cloud",Breakout session
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
DEV315,"AI Agents for Databases: Discover, Recommend, Optimize",Breakout session
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
