code,title,type
AIM401,Accelerate AI model fine-tuning and deployment with SageMaker HyperPod,Workshop
AMZ401,Accelerate Developer Productivity with Amazon's Generative AI Approach,Breakout session
IND413,Accelerate SDV Development: Amazon Q for Automotive Code Refactoring,Chalk talk
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
CMP401,"Accelerating semiconductor design, simulation, and verification on AWS",Chalk talk
SEC401,Active defense strategies using AWS Al/ML services,Workshop
SEC402,A deep dive on IAM policy evaluation,Chalk talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
SEC410,Advanced AI Security: Architecting Defense-in-Depth for AI Workloads,Breakout session
COP401,Advanced analytics with AWS Cost and Usage Reports,Code talk
DAT438,Advanced data modeling for Amazon ElastiCache,Breakout session
DAT414,Advanced data modeling with Amazon DynamoDB,Breakout session
AIM402,Advanced model customization with Amazon Nova,Builders' session
COP419,Advanced multicloud cost reporting with FOCUS,Code talk
ISV403,Advanced Network Connectivity Patterns for ISVs,Chalk talk
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
STG414,Advanced security patterns on Amazon S3,Chalk talk
ANT421,Advanced Stream Processing with Apache Flink,Chalk talk
IND401,Agentic AI for Vehicle Diagnostics and Root Cause Analysis,Builders' session
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
AIM403,Agentic AI: Powering the future of social good ,Workshop
OPN410,Agentic Workflows: How Salesforce Manages 1000+ Clusters,Breakout session
IND412,Agents for Energy : Accelerate renewable asset planning with agentic workflows,Workshop
SAS414,Agents meet SaaS operations: A natural fit,Builders' session
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
CMP402,AI-assisted quantum software development using Amazon Braket and Amazon Bedrock,Chalk talk
NTA404,AI Code to Production: Context Matters,Code talk
ANT420,AI-driven scaling in Amazon Redshift Serverless,Chalk talk
COP420,AI-powered resilience testing and disaster recovery,Breakout session
PEX405,AI That Remembers: Building Memory Systems for AI Agents,Workshop
AIM404,AI vs AI: Detecting fake content with AI agents,Builders' session
DAT401,Amazon Aurora DSQL: A developer's perspective,Code talk
DAT442,Amazon Aurora HA and DR design patterns for global resilience,Breakout session
DAT427,Amazon DocumentDB for expert practitioners,Chalk talk
STG402,Amazon EKS advanced storage best practices with Amazon FSx for OpenZFS,Builders' session
CNS401,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD",Chalk talk
MAM401,Amazon EVS deep dive: Advanced networking and storage architecture,Chalk talk
DAT450,Amazon Keyspaces live migration best practices with HBO Max,Chalk talk
