code,title,type
MAM349,4x faster workload modernization with agentic AI,Lightning talk
DEV345,800GB of AI data: Lessons from a failed project,Lightning talk
AIM236-S,A $3.7T Wake-Up Call: How data + AI is transforming CX (sponsored by Twilio),Breakout session
AIM401,Accelerate AI model fine-tuning and deployment with SageMaker HyperPod,Workshop
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
STG356,Accelerate data migrations to AWS,Chalk talk
AMZ401,Accelerate Developer Productivity with Amazon's Generative AI Approach,Breakout session
CMP345,Accelerate Drug Discovery R&D at Scale with AWS,Chalk talk
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
IND413,Accelerate SDV Development: Amazon Q for Automotive Code Refactoring,Chalk talk
BIZ222,Accelerate supply chain transformation with agentic AI,Breakout session
DVT216,Accelerate Terraform Provider development worklows with Amazon Q Developer CLI,Breakout session
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
AIM251,Accelerating AI innovation with NVIDIA GPUs on AWS,Breakout session
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
PEX303,Accelerating Development and DevSecOps with Amazon Bedrock & Amazon Q,Breakout session
COP334,Accelerating incident response through AIOps,Breakout session
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
CMP350,Accelerating Vehicle Innovation: ML & HPC Best Practices,Chalk talk
PEX203,Accelerating workload modernization using next generation agentic AI,Breakout session
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
ANT325,A deep dive into AI/ML development in SageMaker Unified Studio,Chalk talk
AIM265-S,Adopting AI within Streaming Architectures (sponsored by Redpanda),Lightning talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
AIM376,Advanced document processing with increased accuracy and compliance,Chalk talk
AIM402,Advanced model customization with Amazon Nova,Builders' session
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
NET312,Agent based Network Ops : Amazon Bedrock Agents & Agent Core,Workshop
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
ANT315,Agentic AI for Intelligent Observability with OpenSearch Service,Breakout session
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
IND401,Agentic AI for Vehicle Diagnostics and Root Cause Analysis,Builders' session
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
AIM403,Agentic AI: Powering the future of social good ,Workshop
PEX202,Agentic AI's new generation of Industry and Line of Business solutions,Breakout session
PEX301,Agentic AI Solutions for Financial Services & Insurance with AWS,Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
OPN410,Agentic Workflows: How Salesforce Manages 1000+ Clusters,Breakout session
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
AIM217-S,Agents Assemble! The Power of AI Tools That Work Together (sponsored by New Relic),Breakout session
IND412,Agents for Energy : Accelerate renewable asset planning with agentic workflows,Workshop
SAS414,Agents meet SaaS operations: A natural fit,Builders' session
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
DEV335,AgentVision: Multi-Agent Frameworks for Esports Video Understanding,Chalk talk
TNC319,AI Agent Development with Strands Agents SDK,Bootcamp
DEV301,"AI agents at the edge: Build for offline, scale in cloud",Breakout session
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
DEV315,"AI Agents for Databases: Discover, Recommend, Optimize",Breakout session
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
AIM263-S,"AI Agents with Amazon Nova Sonic: Vonage for Financial Services (sponsored by Vonage, Part of Ericsson)",Lightning talk
IND203,AI and HCP Engagement: Powering Smarter Life Sciences Field Operations,Chalk talk
AIM115-S,"AI, Cloud & Public Sector Transformation: PwC & AWS Driving Change Now (sponsored by PwC)",Lightning talk
