code,title,type
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
SEC301,Architecting for Digital Sovereignty: From Foundation to Practice,Chalk talk
SEC201,AWS European Sovereign Cloud: From concept to reality,Breakout session
GBL101,AWS European Sovereign Cloud: Your 20-Minute Essential Guide,Lightning talk
SEC218,AWS KMS over the decade: How architecture evolved to earn customer trust,Breakout session
HMC202,AWS wherever you need it: From the cloud to the edge,Breakout session
HMC301,Build and operate resilient and performant distributed applications,Workshop
HMC308,Build generative and agentic AI applications on-premises and at the edge,Breakout session
COP409,Building Sovereign Cloud Environments,Code talk
HMC311,Developing end-to-end SLM pipelines from the cloud to the edge,Chalk talk
HMC310,Digital sovereignty and data residency with AWS,Breakout session
ISV310,Global Growth: A Framework for Expanding into New Regions,Chalk talk
HMC302,Implementing agentic AI solutions on-premises and at the edge,Workshop
HMC312,Implement RAG while meeting data residency requirements,Chalk talk
HMC305,Low-latency SLM deployment: Optimizing inference on AWS Hybrid and Edge services,Workshop
PEX403,Metadata Intelligence: The Key to Trusted and Smart Agentic AI Systems,Chalk talk
HMC303,Migrate and modernize VMware and Java workloads with on-premises dependencies,Workshop
HMC309,Migrating your VMware workloads with on-premises dependencies,Breakout session
ISV317,Scale and Optimize your Solutions Globally with AWS Expansion Programs,Breakout session
