code,title,type
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
MAM304,Accelerating SQL Server modernization on AWS with agentic AI,Chalk talk
PEX405,AI That Remembers: Building Memory Systems for AI Agents,Workshop
DAT455,A tale of two transactions,Breakout session
MAM308,AWS fundamentals for the accidental SQL Server database administrator,Chalk talk
DAT102-S,CCC Intelligent Solutions Achieves Major Savings with Oracle to AWS PostgreSQL (sponsored by Cognizant),Breakout session
IND348,Create a secure card management platform with AWS Payment Cryptography,Chalk talk
NTA313,Cut Costs with Aurora PostgreSQL & Babelfish,Chalk talk
MAM319,Full-stack SQL Server modernization on AWS,Builders' session
IND359,Navigating multi-Region AWS database choices for financial services,Chalk talk
CMP210-S,Unleashing Performance: How Intel Xeon 6 on AWS EC2 Is Redefining Compute & TCO (sponsored by Intel),Breakout session
