code,title,type
AIM401,Accelerate AI model fine-tuning and deployment with SageMaker HyperPod,Workshop
API301,Accelerate API Creation with Amazon Q Developer CLI,Builders' session
OPN301,Accelerate app authorization with the latest Cedar tools ,Builders' session
SPS308,Accelerate Cloud Modernization & Migration with AWS Countdown Premium,Workshop
DVT308,Accelerate enterprise development with Amazon Q Developer,Workshop
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
NET310,Accelerate your hybrid network with AWS Direct Connect SiteLink,Workshop
MAM302,Accelerate your migration & modernization journey with EBA Cloud Party,Workshop
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
MAM303,Accelerating .NET and SQL Server modernization using agentic AI,Workshop
SEC401,Active defense strategies using AWS Al/ML services,Workshop
SEC303,Advanced AWS Network Security : Building Scalable Production Defenses,Workshop
STG301,Advanced data resiliency: Recovery strategies for AWS storage,Workshop
AIM402,Advanced model customization with Amazon Nova,Builders' session
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
NET312,Agent based Network Ops : Amazon Bedrock Agents & Agent Core,Workshop
IND401,Agentic AI for Vehicle Diagnostics and Root Cause Analysis,Builders' session
AIM403,Agentic AI: Powering the future of social good ,Workshop
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
IND412,Agents for Energy : Accelerate renewable asset planning with agentic workflows,Workshop
SAS414,Agents meet SaaS operations: A natural fit,Builders' session
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
DAT301,AI powered PostgreSQL: Incident detection & MCP integration,Workshop
ARC301,AI-powered troubleshooting: From chaos to Well-Architected,Builders' session
ARC302,AI-powered Well-Architected reviews: Building automated governance,Builders' session
PEX405,AI That Remembers: Building Memory Systems for AI Agents,Workshop
AIM404,AI vs AI: Detecting fake content with AI agents,Builders' session
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
CMP202,Amazon Braket: Get hands-on with quantum computing,Workshop
STG402,Amazon EKS advanced storage best practices with Amazon FSx for OpenZFS,Builders' session
IND323,"Amazon Q Apps: Power RCM, Member Engagement, & Drug Safety Management ",Builders' session
STG302,"Amazon S3 security: Implementing controls, policies & audit systems",Workshop
WPS302,Amazon SageMaker Unified Studio for Public Sector,Workshop
DAT316,Analyze blockchain data with Amazon Bedrock AgentCore,Builders' session
API302,API Gateway Authorization Strategies,Builders' session
API303,API Gateway Unleashed: A Hands-on Journey to API Excellence,Workshop
MAM306,Application modernization challenge,Workshop
NET202,Application networking simplified: From basics to best practices,Workshop
DAT402,Applied data modeling with Amazon DynamoDB,Builders' session
NET204,Approaches to layered security on Amazon VPC,Workshop
CNS302,Architecting for data protection and compliance with Amazon ECS,Builders' session
STG303,Architecting vector-driven AI applications with Amazon S3 Vectors,Builders' session
ARC306,Architecture diagrams with generative AI: Leveraging AI agents,Builders' session
OPN302,AutoGluon: Build Production ML Apps from Zero to Hero,Workshop
IND338,Automate analysis and extract intelligence from financial datasets,Workshop
COP403,Automate cloud operations with AI agents,Workshop
COP303,Automate disaster recovery playbooks using generative AI,Builders' session
DEV322,Automated Security Remediation with AWS Step Functions,Builders' session
IND339,Automate Inventory Rebalancing on AWS with Agentic AI,Builders' session
DVT401,Automate Java application upgrade with generative AI,Workshop
NTA301,Automate Review Analysis with Nova Act and Generative AI,Builders' session
MAM330,Automate SAP supply chain exceptions with generative AI,Workshop
DVT324, Automate your code transformations at scale,Builders' session
DVT302, Automate your software tasks with agent hooks,Builders' session
CMP306,Automating and optimizing EC2 Mac instances for Apple development,Workshop
COP310,Automating compliance and auditing at scale,Workshop
AIM405,Automating LLM evaluation at scale: MLOps for continuous improvement,Workshop
IND337,Auto ML Pipeline for Custom Telco Language Models in Amazon Connect,Workshop
DAT302,Autonomous DBOps: Agentic AI for maintaining databases,Builders' session
IND340,Autonomous Live-Ops: AI Agents for Dynamic Gaming Experiences,Workshop
NTA321,AWS Agent for SAP Invoice Automation,Workshop
COP302,AWS disaster recovery strategies,Builders' session
SEC403,AWS GameDay - Winning the DDos Game,Workshop
PEX314,"AWS Marketplace seller workshop: Publish, update, and manage products",Workshop
CNS402,AWS Serverless developer experience workshop,Workshop
ARC303,AWS Solutions Library: Accelerating innovation with proven patterns,Workshop
STG304,Best practices for deploying critical applications with Amazon EBS,Workshop
API401,Beyond Batch: Modernize with Event-Driven Architecture & Serverless,Builders' session
CNS305,Bring the power of Amazon EKS to your on-premises applications,Builders' session
DAT403,Build a collaborative agentic AI solution with Aurora & Bedrock Agents,Workshop
MAM406,Build agentic AI features for monolithic applications,Builders' session
DAT406,Build agentic AI–powered search with Amazon Aurora and Amazon RDS,Workshop
IND310,Build Agentic AI Solutions for Industrial Predictive Maintenance,Workshop
AIM304,Build agentic observability workflows with models from AWS Marketplace,Builders' session
AIM302,"Build Agentic Voice Chat with Nova Sonic, AgentCore, MCP, and more",Workshop
AIM406,Build agentic workflows with Small Language Models and SageMaker AI,Workshop
PEX316,Build agents & tools for Bedrock AgentCore and sell in AWS Marketplace,Builders' session
AIM341,Build agents with Amazon Bedrock AgentCore & Strands Agents,Workshop
IND411,Build AI Commerce Media Agents: Audience Discovery & Campaign Performance,Builders' session
BIZ322,Build AI-powered Embedded Analytics with Amazon QuickSight,Workshop
IND342,Build a multi-agent financial research assistant with Amazon Bedrock,Workshop
DAT404,"Build a multi-Region, active-active rewards app with Aurora DSQL",Workshop
MAM352,Build an agentic SAP order management solution,Workshop
ANT401,Build an AI-powered enterprise search with Amazon OpenSearch service,Workshop
COP406,Build and automate policy as code,Builders' session
AIM215-S,Build and Deploy AI Agents with Cloudera Agent Studio (sponsored by Cloudera),Workshop
HMC301,Build and operate resilient and performant distributed applications,Workshop
ANT402,Build an end-to-end fraud detection system with Amazon SageMaker Unified Studio,Workshop
STG309,Build an S3 time machine: Implementing advanced point-in-time recovery,Workshop
MAM353,Build an SAP ABAP application and generate unit test cases with generative AI,Builders' session
DAT448,Build a stablecoin payment processor using AWS serverless services,Workshop
DAT405,Build a web-scale application with purpose-built databases & analytics,Workshop
BIZ204,Build Business Intelligence Solutions Using Amazon QuickSight,Workshop
SMB401,Build Fast Multi-Agent AI Systems Using Amplify and Bedrock Together,Workshop
STG305,"Build fast, scalable infrastructure for AI/ML with AWS storage",Workshop
NTA401,Build First Retail AI Agent: Customer Service Excellence with Amazon Bedrock,Builders' session
COP404,Build full-stack observability from applications to databases,Workshop
API304,Build GenAI-Powered Workflows with Step Functions and AWS AI Services,Builders' session
ANT405,Build high performance Apache Iceberg data lakes with Amazon S3 Tables,Builders' session
ARC403,Building adaptive AI agents: Enterprise patterns that scale,Workshop
WPS303,Building a GenAI-Powered Compliance Bot to Secure Networks on AWS,Builders' session
MAM404,Building agentic AI applications on Amazon Bedrock using C# and .NET,Builders' session
CNS206,Building Agentic AI architectures with AWS Serverless,Builders' session
AIM357-S,Building Agentic AI Systems with AWS and Agent Mesh (sponsored by Solace),Workshop
IND409,Building Agentic Smart home with Generative AI,Workshop
COP322,Building AI-Powered operational insights and automated remediation,Builders' session
ARC304,Building and testing resilient multi-AZ applications,Workshop
SEC407,Building a robust container security  pipeline,Builders' session
ISV402, Building Customizable AI Agents: A Fast-Track Guide for ISVs,Builders' session
SEC305,Building enhanced container threat protection for improved security posture,Builders' session
ANT407,Building event-driven applications with AWS Streaming and Messaging,Builders' session
API306,Building event-driven architectures,Workshop
