code,title,type
DVT222-S,100% Observability at 10% the Cost Using Grepr's Real-Time ML (sponsored by Grepr),Lightning talk
CMP349,5-Star Customer Service: Duolingo's Path to Compute Savings,Breakout session
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
CMP345,Accelerate Drug Discovery R&D at Scale with AWS,Chalk talk
STG327,Accelerate enterprise workloads with enhanced Amazon EBS capabilities,Chalk talk
CMP302,Accelerating Engineering: Cross-Industry HPC Cloud Transformations,Breakout session
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
CMP401,"Accelerating semiconductor design, simulation, and verification on AWS",Chalk talk
HMC319,Achieve multicloud FinOps visibility,Chalk talk
COP401,Advanced analytics with AWS Cost and Usage Reports,Code talk
COP419,Advanced multicloud cost reporting with FOCUS,Code talk
ANT315,Agentic AI for Intelligent Observability with OpenSearch Service,Breakout session
ARC318,AI-powered FinOps: Agent-based cloud cost management,Chalk talk
STG349,Amazon EFS data resiliency: From strategy to implementation,Chalk talk
STG350,Amazon FSx Intelligent-Tiering: Technical deep dive and best practices,Chalk talk
STG335,"Amazon S3 performance: Architecture, design, and optimization",Breakout session
AMZ308,Amazon's finops: Cloud cost lessons from a global e-commerce giant,Lightning talk
OPN401,An unexpected journey building AWS MCP Servers,Breakout session
COP301,Applying AI for FinOps and FinOps for AI,Chalk talk
ARC324,Architecting agentic systems: Self-evolving patterns with AWS AI,Chalk talk
CMP201,Architecting Solution Patterns for GPU-Accelerated HPC and AI/ML,Chalk talk
ANT204,Architecting the future: Amazon SageMaker as a data and AI platform,Breakout session
CMP305,Assembling the Complete AI Stack: Optimizing Your AI Hardware on AWS,Chalk talk
AIM367,A strategic guide to AWS compute options for your AI/ML workload,Chalk talk
SPS201,Autodesk's ML Inference Optimization: Leveraging AWS AI Chips,Breakout session
IND384,Automate insights and drive innovation with cloud and AI solutions,Breakout session
SPS309,Automating LLM Fine-Tuning with Multi-Agentic Orchestration,Breakout session
CMP307,AWS Graviton: The best price performance for your AWS workloads,Breakout session
CMP308,AWS Tools: Automate Simulation jobs Recovery & maximize Cost Savings,Chalk talk
STG328,Best practices for cost optimization with AWS Backup,Chalk talk
STG361,Beyond SFTP and NFS: Automate enterprise file transfers at scale,Breakout session
CMP310,"Boost Amazon EKS Efficiency: EKS Auto Mode, Graviton, and EC2 Spot",Chalk talk
STG417,Boost database performance & availability with Amazon FSx for OpenZFS,Chalk talk
DAT312,Boost performance and reduce costs in Amazon Aurora and Amazon RDS,Breakout session
DAT428,Build a cost-effective RAG-based gen AI application with Amazon Aurora,Chalk talk
STG415,Building cost-effective data lakes with Apache Iceberg and Amazon S3,Chalk talk
STG355,"Building cost-optimized, resilient apps with Amazon EKS and EFS",Chalk talk
AIM290-S,"Building Fast, Cost-Efficient, Sovereign Inference Platforms on AWS w/Intel CPUs (sponsored by Intel)",Breakout session
PEX404,Building Production-Ready AI Applications with Amazon Bedrock,Chalk talk
ANT345,Building secure and scalable lakehouses for the future,Chalk talk
STG321,Building serverless vector applications with Amazon S3 Vectors,Chalk talk
CMP311,"Build Once, Run Everywhere: Multi-Architecture in Your CI/CD Pipelines",Chalk talk
STG306,Build protection and optimize costs using Amazon EBS Snapshots,Workshop
CMP403,"Build, Scale, and Optimize Agentic AI on CPUs with AWS Graviton",Workshop
IND366,Build ultra-low latency ad workloads with unmatched cost-performance,Workshop
DAT102-S,CCC Intelligent Solutions Achieves Major Savings with Oracle to AWS PostgreSQL (sponsored by Cognizant),Breakout session
STG209,Choosing the right AWS storage service,Chalk talk
NTA201,Cloud Foundations Accelerator,Chalk talk
ANT334,CMT: High-performance NLP & geospatial analysis with Redshift,Lightning talk
CMP312,Compute innovation with the AWS Nitro System,Chalk talk
DAT308,Cost optimization for Amazon DynamoDB,Chalk talk
CMP313,Cost Optimize your .NET workloads on AWS,Chalk talk
AIM386,Customize foundation models using Amazon SageMaker AI,Chalk talk
AIM363,Customize & scale foundation models using Amazon SageMaker AI,Breakout session
TNC318,Deploy Agentic AI Application with Strands and MCP on Amazon EKS,Interactive training
DAT454,Deploy and manage blockchain nodes on AWS,Chalk talk
AIM3319,Deploy LLMs at scale with vLLM Deep Learning Containers and AI agents,Chalk talk
COP339,Developing a cost allocation strategy with AWS tooling,Chalk talk
COP306,Developing Unit Cost Metrics with Cloud Intelligence Dashboards,Builders' session
MAM219-S,Driving modernization using Mphasis’ Agentic AI framework (sponsored by Mphasis),Lightning talk
CMP404,EC2 Fleet: Your Swiss Army Knife for Large-Scale Compute Orchestration,Chalk talk
CMP412,EC2 Flex instances: Get latest generation performance at lower costs,Chalk talk
TNC313,Enhance and Scale Agents with Amazon Bedrock AgentCore,Interactive training
MAM315,Enterprise software licensing and optimization on AWS,Breakout session
COP309,Establishing effective cost governance,Chalk talk
COP201,Estimating workload costs using AWS Pricing Calculator,Chalk talk
ANT101-S,"EverCommerce’s Secret to AI-Ready, Multi-Brand Data (sponsored by Fivetran)",Lightning talk
CMP405,Everything you've wanted to know about performance on EC2 instances,Code talk
COP410,Exploring Multi-tenant Cost Allocation for Container Workloads,Workshop
CMP319,Exploring the Spectrum of Architecture Patterns for 3D Rendering,Chalk talk
NTA315,Extending governance across clouds,Chalk talk
ANT333,Fast-track to insights: AWS-SAP data strategy,Lightning talk
STG416,File storage for high-performance workloads,Chalk talk
