code,title,type
SNR301,A leaders guide to accelerating large-scale migration,Breakout session
SNR304,A leaders guide to achieving compliance through software excellence,Breakout session
SNR303,A leaders guide to advanced mental models and mechanisms,Breakout session
SNR307,A leaders guide to advanced team structures in an agentic world ,Breakout session
SNR201,A leaders guide to agentic AI ,Breakout session
SNR306,A leaders guide to AI powered FinOps,Breakout session
SNR305,A leaders guide to AI strategy and implementation,Breakout session
SNR302,A leaders guide to cloud-native application modernization,Breakout session
SNR202,A leaders guide to data strategy in the era of agentic AI ,Breakout session
SNR203,A leaders guide to emerging technologies: From insight to rapid action,Breakout session
SNR204,A leaders guide to navigating multicloud strategies and decisions,Breakout session
