code,title,type
MAM349,4x faster workload modernization with agentic AI,Lightning talk
STG340,Accelerate & automate secure data transfers at scale with AWS DataSync,Breakout session
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
STG357,Accelerate data discovery with object metadata in Amazon S3,Breakout session
STG356,Accelerate data migrations to AWS,Chalk talk
STG327,Accelerate enterprise workloads with enhanced Amazon EBS capabilities,Chalk talk
STG201,Accelerate gen AI and ML workloads with AWS storage,Breakout session
MAM216-S,Accelerate Legacy Modernization with Slalom & AWS (sponsored by Slalom),Lightning talk
WPS204,Accelerate mission outcomes with recent AWS government regions innovations,Lightning talk
DVT211,Accelerate .NET application modernization with generative AI ,Breakout session
PEX101,Accelerate new customer engagement and revenue growth,Breakout session
CNS315,Accelerate software delivery with Amazon,Breakout session
MAM302,Accelerate your migration & modernization journey with EBA Cloud Party,Workshop
PEX303,Accelerating Development and DevSecOps with Amazon Bedrock & Amazon Q,Breakout session
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
MAM304,Accelerating SQL Server modernization on AWS with agentic AI,Chalk talk
PEX203,Accelerating workload modernization using next generation agentic AI,Breakout session
MAM201,A complete guide to Amazon EVS: Unlock AWS scale for VMware workloads,Breakout session
COP347,Actionable controls for improving governance and compliance,Breakout session
MAM345,Adding  agentic AI to legacy apps with Amazon Bedrock AgentCore,Code talk
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
AIM265-S,Adopting AI within Streaming Architectures (sponsored by Redpanda),Lightning talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
COP401,Advanced analytics with AWS Cost and Usage Reports,Code talk
DAT438,Advanced data modeling for Amazon ElastiCache,Breakout session
DAT414,Advanced data modeling with Amazon DynamoDB,Breakout session
STG301,Advanced data resiliency: Recovery strategies for AWS storage,Workshop
WPS306,Advanced DDoS protection and DNS capabilities in AWS GovCloud (US),Chalk talk
COP419,Advanced multicloud cost reporting with FOCUS,Code talk
ISV403,Advanced Network Connectivity Patterns for ISVs,Chalk talk
NTA403,Advanced RAG Architectures: From Basic Retrieval to Agentic RAG,Code talk
STG401,Advanced S3 performance engineering: From multipart to resilience,Workshop
STG414,Advanced security patterns on Amazon S3,Chalk talk
ARC208-S,Advancing Behavioral Health Analytics with Integrated Cloud Services (sponsored by Deloitte),Breakout session
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
BIZ221,Agentic AI advancements in customer experience with Amazon Connect,Breakout session
WPS301,Agentic AI beyond the cloud: Building autonomy at the edge,Chalk talk
AIM337,Agentic AI for member-owned financials: Systems that serve,Code talk
MAM202,Agentic AI for VMware migrations with AWS Transform for VMware,Breakout session
PEX202,Agentic AI's new generation of Industry and Line of Business solutions,Breakout session
PEX301,Agentic AI Solutions for Financial Services & Insurance with AWS,Breakout session
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
COP354,Agile governance: Deploy AWS Control Tower in your current environment,Chalk talk
AIM340,AI agents for cloud ops: Automating infrastructure management,Code talk
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
AIM263-S,"AI Agents with Amazon Nova Sonic: Vonage for Financial Services (sponsored by Vonage, Part of Ericsson)",Lightning talk
IND203,AI and HCP Engagement: Powering Smarter Life Sciences Field Operations,Chalk talk
NTA404,AI Code to Production: Context Matters,Code talk
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
PEX113,AI-powered co-sell: Unlock partner success with AWS Partner Central ,Lightning talk
ARC318,AI-powered FinOps: Agent-based cloud cost management,Chalk talk
AIM206-S,AI-Powered Observability & Observability for AI: The Two Sides of the Coin (sponsored by ManageEngine),Lightning talk
DAT301,AI powered PostgreSQL: Incident detection & MCP integration,Workshop
ARC301,AI-powered troubleshooting: From chaos to Well-Architected,Builders' session
AIM247-S,"All Power, No Pain: Scale Agentic AI Apps in an Open Lakehouse (sponsored by Qlik)",Lightning talk
DAT401,Amazon Aurora DSQL: A developer's perspective,Code talk
DAT442,Amazon Aurora HA and DR design patterns for global resilience,Breakout session
CMP202,Amazon Braket: Get hands-on with quantum computing,Workshop
CMP209,Amazon Braket Hubs - Accelerating R&D in national quantum initiatives,Chalk talk
DAT427,Amazon DocumentDB for expert practitioners,Chalk talk
STG349,Amazon EFS data resiliency: From strategy to implementation,Chalk talk
CNS401,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD",Chalk talk
MAM401,Amazon EVS deep dive: Advanced networking and storage architecture,Chalk talk
MAM305,Amazon EVS deep dive: Strategic migration planning,Chalk talk
STG350,Amazon FSx Intelligent-Tiering: Technical deep dive and best practices,Chalk talk
DAT450,Amazon Keyspaces live migration best practices with HBO Max,Chalk talk
IND323,"Amazon Q Apps: Power RCM, Member Engagement, & Drug Safety Management ",Builders' session
STG335,"Amazon S3 performance: Architecture, design, and optimization",Breakout session
STG334,"Amazon S3 Tables architecture, use cases, and best practices",Breakout session
WPS302,Amazon SageMaker Unified Studio for Public Sector,Workshop
AMZ308,Amazon's finops: Cloud cost lessons from a global e-commerce giant,Lightning talk
HMC206-S,"Anatomy of a Ransomware Attack: A Live Simulation, Sponsored by Rubrik (sponsored by Rubrik)",Breakout session
DAT436,An insider’s look into architecture choices for Amazon DynamoDB,Breakout session
BIZ212,Anthology boosts contact center efficiency with AI,Breakout session
API303,API Gateway Unleashed: A Hands-on Journey to API Excellence,Workshop
IND368,Apollo Tyres Accelerates Engineering Workflows with HPC on AWS,Breakout session
DAT402,Applied data modeling with Amazon DynamoDB,Builders' session
COP301,Applying AI for FinOps and FinOps for AI,Chalk talk
STG344,A practical guide to Amazon S3 data protection and recovery,Chalk talk
DAT315,A practitioner’s guide to data for agentic AI,Breakout session
PEX308,Architecting Agentic AI for Supply Chain: Data-to-Decision Patterns,Chalk talk
ARC324,Architecting agentic systems: Self-evolving patterns with AWS AI,Chalk talk
ARC323,Architecting enterprise-scale governance beyond AWS Control Tower,Chalk talk
CNS302,Architecting for data protection and compliance with Amazon ECS,Builders' session
ARC209,Architecting for hypergrowth: Scaling to 200 million users with Skyscanner,Breakout session
IND307,Architecting Intelligent Supply Chains with Multi-Agent Orchestration,Chalk talk
WPS201,"Architecting large-scale migrations at the NSA, Fannie Mae, and DCSA",Breakout session
IND374,Architecting multi-agent systems: Patterns in financial services,Chalk talk
