code,title,type
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
PEX303,Accelerating Development and DevSecOps with Amazon Bedrock & Amazon Q,Breakout session
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
COP347,Actionable controls for improving governance and compliance,Breakout session
SEC401,Active defense strategies using AWS Al/ML services,Workshop
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
SEC402,A deep dive on IAM policy evaluation,Chalk talk
SEC410,Advanced AI Security: Architecting Defense-in-Depth for AI Workloads,Breakout session
CNS365,Advanced authorization patterns for secure serverless applications,Chalk talk
SEC303,Advanced AWS Network Security : Building Scalable Production Defenses,Workshop
STG414,Advanced security patterns on Amazon S3,Chalk talk
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
GBL205,AI in Action: How Companies Unlock Global Value & Fuel Growth,Breakout session
IND397,AI-Powered Content Compliance: Media Rating Automation with Nova,Chalk talk
SNR304,A leaders guide to achieving compliance through software excellence,Breakout session
STG349,Amazon EFS data resiliency: From strategy to implementation,Chalk talk
STG316,Amazon S3 security and access control best practices,Breakout session
STG302,"Amazon S3 security: Implementing controls, policies & audit systems",Workshop
HMC206-S,"Anatomy of a Ransomware Attack: A Live Simulation, Sponsored by Rubrik (sponsored by Rubrik)",Breakout session
DEV326,Anti-Money Laundering Multi-agent Orchestration with AWS Strands,Breakout session
NET204,Approaches to layered security on Amazon VPC,Workshop
STG344,A practical guide to Amazon S3 data protection and recovery,Chalk talk
SEC330,Architecting Firewalls on AWS: A Layered Defense Strategy,Chalk talk
CNS302,Architecting for data protection and compliance with Amazon ECS,Builders' session
SEC336,Architecting for data protection and compliance with AWS Backup,Chalk talk
SEC301,Architecting for Digital Sovereignty: From Foundation to Practice,Chalk talk
COP312,Architecting Security at Scale with AWS Cloud Governance,Chalk talk
SEC302,Ask AWS: Your ransomware questions answered,Chalk talk
NET203,Ask Me Anything About AWS Networking,Chalk talk
STG333,Automate data protection at scale with AWS Backup and AWS Control Tower,Code talk
SEC217-S,Automated cloud security remediation with agentic workflows (sponsored by Dynatrace),Lightning talk
DEV322,Automated Security Remediation with AWS Step Functions,Builders' session
SEC332,Automate vulnerability remediation for containers running in AWS,Chalk talk
SEC322,Automating Certificate Management with Exportable Public Certificates,Code talk
COP310,Automating compliance and auditing at scale,Workshop
SEC341,Automating IAM policy validation and analysis using GitHub Actions,Code talk
DEV206,Automating Suricata rules for AWS network firewall,Lightning talk
NTA321,AWS Agent for SAP Invoice Automation,Workshop
SEC323,AWS detection and response innovations that drive security outcomes,Breakout session
SEC201,AWS European Sovereign Cloud: From concept to reality,Breakout session
GBL101,AWS European Sovereign Cloud: Your 20-Minute Essential Guide,Lightning talk
SEC403,AWS GameDay - Winning the DDos Game,Workshop
GHJ302,AWS Jam: Security- Sponsored by PaloAlto Networks and Fortinet,Gamified learning
SEC218,AWS KMS over the decade: How architecture evolved to earn customer trust,Breakout session
SEC205-S,Beyond Backup: Advancing Cloud Resiliency with Shared Responsibility (sponsored by Cohesity),Breakout session
IND213,Beyond EHR: Leveraging AWS for Maximum Clinical and Operational Impact,Breakout session
SEC209-S,Beyond Posture Management: Stopping Data Breaches in AWS (sponsored by Varonis),Lightning talk
SEC304,Building an AI-Powered security guardian for your Cognito applications,Chalk talk
SEC407,Building a robust container security  pipeline,Builders' session
SEC305,Building enhanced container threat protection for improved security posture,Builders' session
IND345,Building privacy-aware generative AI applications in financial services,Chalk talk
SEC404,Building Quantum-Safe Systems with Post-Quantum Cryptography on AWS,Workshop
DEV324,Building Real-Time Container Security with AWS Native Tools,Chalk talk
STG412,Building resilience against ransomware using AWS Backup,Breakout session
SEC325,"Building Scalable, Secure Secrets Management on AWS",Builders' session
SEC208-S,Building Secure-by-Design Environments with AWS Capabilities (sponsored by Native),Lightning talk
DEV312,"Building, Securing, and Monitoring Kiu: A Global Community AI Agent",Breakout session
COP409,Building Sovereign Cloud Environments,Code talk
COP353,Building your data protection strategy with governance controls,Chalk talk
STG306,Build protection and optimize costs using Amazon EBS Snapshots,Workshop
ISV405,BYOK: The Key to Meeting Enterprise SaaS Security Demands,Code talk
SEC319,Climbing the AI Mountain With Your Security Team,Breakout session
NTA201,Cloud Foundations Accelerator,Chalk talk
TNC316,Create an AWS DevOps AI Agent with the Strands Agents SDK,Interactive training
IND348,Create a secure card management platform with AWS Payment Cryptography,Chalk talk
SEC306,Data perimeter challenge,Builders' session
STG338,Data protection and resilience with AWS Storage,Breakout session
STG409,Data protection & application recovery strategies for ransomware,Chalk talk
