code,title,type
DVT222-S,100% Observability at 10% the Cost Using Grepr's Real-Time ML (sponsored by Grepr),Lightning talk
API301,Accelerate API Creation with Amazon Q Developer CLI,Builders' session
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
DVT308,Accelerate enterprise development with Amazon Q Developer,Workshop
AIM219-S,Accelerate Innovation: AI-Driven Automation for Modern Operations (sponsored by PagerDuty),Breakout session
DVT321,Accelerate multi-step SLDC with Amazon Q Developer,Code talk
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
CNS315,Accelerate software delivery with Amazon,Breakout session
DVT216,Accelerate Terraform Provider development worklows with Amazon Q Developer CLI,Breakout session
TNC208,Accelerate Your Cloud Journey with AWS Transform and AWS Skill Builder,Breakout session
PEX303,Accelerating Development and DevSecOps with Amazon Bedrock & Amazon Q,Breakout session
COP320,Accelerating Incident Resolution: AI-Driven Root Cause Analysis,Builders' session
CMP401,"Accelerating semiconductor design, simulation, and verification on AWS",Chalk talk
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
CNS365,Advanced authorization patterns for secure serverless applications,Chalk talk
ANT421,Advanced Stream Processing with Apache Flink,Chalk talk
COP321,Agent down! Building unbreakable AI workflows,Chalk talk
ARC330,Agentic architecting: From prototype to production-ready systems,Chalk talk
AIM248-S,Agentic Smart City Showdown: EKS Edge to Cloud Playtime  (sponsored by Intel),Workshop
AIM217-S,Agents Assemble! The Power of AI Tools That Work Together (sponsored by New Relic),Breakout session
SAS414,Agents meet SaaS operations: A natural fit,Builders' session
SEC226-S,AI Agents – the new face of privileged machine identities  (sponsored by CyberArk),Lightning talk
AIM230-S,AI-Driven Testing: Scaling Automation with KaneAI and HyperExecute (sponsored by LambdaTest),Lightning talk
AIM220-S,AI-Native Era of Observability: How You Can Get Started Today (sponsored by Coralogix),Breakout session
SMB301,AI Pioneers: Shipping Transformative GenAI Architectures to Production,Breakout session
IND397,AI-Powered Content Compliance: Media Rating Automation with Nova,Chalk talk
ARC318,AI-powered FinOps: Agent-based cloud cost management,Chalk talk
ISV313,AI-powered SaaS Observability using OpenSearch,Code talk
ARC301,AI-powered troubleshooting: From chaos to Well-Architected,Builders' session
ARC302,AI-powered Well-Architected reviews: Building automated governance,Builders' session
DVT103-S,AI transforms development: Lessons from CircleCI's journey with AWS (sponsored by CircleCI),Lightning talk
CNS351,Amazon ECS observability patterns and design decisions,Chalk talk
CNS401,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD",Chalk talk
ANT423,Amazon Kinesis Data Streams under the hood,Breakout session
IND323,"Amazon Q Apps: Power RCM, Member Engagement, & Drug Safety Management ",Builders' session
DVT330,"Amazon Q Developer CLI, a lightning-fast coding experience",Chalk talk
OPN401,An unexpected journey building AWS MCP Servers,Breakout session
API302,API Gateway Authorization Strategies,Builders' session
IND368,Apollo Tyres Accelerates Engineering Workflows with HPC on AWS,Breakout session
MAM306,Application modernization challenge,Workshop
COP329,Application performance monitoring: From design to implementation,Chalk talk
DVT311, Apply Amazon’s DevOps culture to your team,Chalk talk
ARC324,Architecting agentic systems: Self-evolving patterns with AWS AI,Chalk talk
DEV303,Architecting Distributed Micro-frontends with Serverless,Chalk talk
ARC323,Architecting enterprise-scale governance beyond AWS Control Tower,Chalk talk
SEC336,Architecting for data protection and compliance with AWS Backup,Chalk talk
AIM255,Architecting for sustainable IT at scale,Lightning talk
ARC336,Architecting reliable deployments: Amazon.com's blue/green patterns,Chalk talk
ANT322,Architectural patterns for real-time data analytics on AWS,Chalk talk
CNS303,Architecture patterns for MLOps on Amazon EKS,Chalk talk
DVT316-S,Are your APIs ready for AI agents? (sponsored by Postman),Breakout session
STG333,Automate data protection at scale with AWS Backup and AWS Control Tower,Code talk
COP303,Automate disaster recovery playbooks using generative AI,Builders' session
DEV322,Automated Security Remediation with AWS Step Functions,Builders' session
DVT302, Automate your software tasks with agent hooks,Builders' session
CMP306,Automating and optimizing EC2 Mac instances for Apple development,Workshop
DAT302,Autonomous DBOps: Agentic AI for maintaining databases,Builders' session
DAT457,Autonomous Web3 agents on AWS,Code talk
NTA321,AWS Agent for SAP Invoice Automation,Workshop
HMC211-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
DAT210-S,AWS and Oracle: Transforming Healthcare (sponsored by Oracle),Lightning talk
STG410,AWS Backup unlocked: strategies for at-scale data protection,Chalk talk
COP302,AWS disaster recovery strategies,Builders' session
DVT203, AWS infrastructure as code: A year in review,Breakout session
DVT315,AWS SAM Beyond the Basics - Powered by Amazon Q Developer,Chalk talk
IND375,Best practices for optimizing financial services application latency ,Chalk talk
ARC332-S,Beyond Multi-Cloud Chaos: The Unified Cloud Mesh Architecture (sponsored by HAProxy Technologies),Breakout session
DVT329,Blueprint to code: Mastering spec-driven development,Chalk talk
IND309,Breaking Down Silos: Multi-Agent Architecture for Media Operations,Chalk talk
CNS305,Bring the power of Amazon EKS to your on-premises applications,Builders' session
DVT224-S,Bronto: Logs at Scale Without Compromise (sponsored by Bronto),Lightning talk
IND411,Build AI Commerce Media Agents: Audience Discovery & Campaign Performance,Builders' session
CNS358,"Build AI-powered developer experiences with MCP on ECS, EKS and Lambda",Breakout session
CNS352,Build an adaptive compute grid with Amazon ECS and AWS Lambda,Chalk talk
COP406,Build and automate policy as code,Builders' session
DEV325,Build and Deploy Highly Available Event Processing with Containers,Chalk talk
HMC301,Build and operate resilient and performant distributed applications,Workshop
HMC403,Build and optimize edge architecture for resiliency with AI,Code talk
COP404,Build full-stack observability from applications to databases,Workshop
HMC308,Build generative and agentic AI applications on-premises and at the edge,Breakout session
API208,Building a culture of API Excellence,Lightning talk
OPN303,Building agentic AI platform engineering solutions with open source,Breakout session
DAT319,Building agentic memory layers on AWS managed databases,Breakout session
NTA405,"Building AI Agents with Serverless, Strands, and MCP",Code talk
AIM256,Building an AI-powered waste classification using Amazon Nova & IoT,Lightning talk
ARC304,Building and testing resilient multi-AZ applications,Workshop
API209-S,Building better AI agents by applying context engineering (sponsored by Redis),Breakout session
COP407,Building custom agents for intelligent AWS patch automation,Code talk
CNS307,Building event-driven architectures using Amazon ECS with AWS Fargate,Breakout session
AIM394-S,Building multi-agent AI SRE: from root cause to vibe debugging (sponsored by Resolve AI),Breakout session
ISV303,Building Multi-tenant Data Pipelines for Agentic SaaS experiences,Chalk talk
DEV311,Building production AI agents for cloud application resilience on AWS,Breakout session
DEV324,Building Real-Time Container Security with AWS Native Tools,Chalk talk
CNS321,Building resilient deployment pipelines with Amazon ECS,Workshop
ANT422,Building Resilient Multi-Tenant Messaging with Amazon SQS,Chalk talk
SEC208-S,Building Secure-by-Design Environments with AWS Capabilities (sponsored by Native),Lightning talk
OPN304,Building Trust in AI Agents: Automated Evaluation at Scale,Chalk talk
IND319,Build Intelligent Media Workflows with Agentic AI,Workshop
AIM233-S,"Build observable AI agents with Strands, AgentCore, and Datadog (sponsored by Datadog)",Breakout session
DVT307,Build real-time applications AWS Amplify,Workshop
DEV406,Build resilient distributed systems through comprehensive testing,Chalk talk
ISV404,Build Resilient SaaS: Multi-Account Resilience Testing Patterns,Code talk
CNS353,Build safe and resilient deployment pipelines for Amazon ECS,Lightning talk
CNS347,Build secure and scalable agentic AI workflows on Amazon ECS,Chalk talk
COP330,Byte to insight: Maximize value from your logs with Amazon CloudWatch,Chalk talk
OPN402,"Cache me if you can, Valkey edition",Workshop
IND350,Chaos detective: Deploy generative AI-powered troubleshooting agents,Chalk talk
COP304,Chaos engineering workshop,Workshop
MAM311,Choose your own modernization adventure: From legacy to cloud-native,Workshop
HMC208-S,Cloud Application Security in the AI Era: Lessons from Adobe and Fortinet (sponsored by Fortinet),Breakout session
NTA201,Cloud Foundations Accelerator,Chalk talk
CNS405,Cloud-native Java on Amazon EKS,Builders' session
DVT405,Code completion to agents: The evolution of development,Breakout session
CMP312,Compute innovation with the AWS Nitro System,Chalk talk
COP205-S,Connecting Context to Performance: Real-World Enterprise Observability  (sponsored by Splunk),Breakout session
NTA314,Connecting Infor CloudSuite to AWS Services,Chalk talk
DVT202, Continuous integration and continuous delivery (CI/CD) for AWS,Breakout session
DVT309," Create secure, production-ready code with Amazon Q Developer",Workshop
DVT403,Create your own AI sidekick: a hands-on agent building workshop,Workshop
DVT221,Crowning the Kiro code champions,Lightning talk
NTA313,Cut Costs with Aurora PostgreSQL & Babelfish,Chalk talk
CNS416,Deep dive into Amazon ECS resilience and availability,Breakout session
COP305,Defend against downtime using fault isolation boundaries,Chalk talk
DVT323,Deliver GenAI Mobile Apps and Models at scale: A Testing Architecture,Chalk talk
CNS313,Demystifying the shared security model on Amazon ECS,Chalk talk
DAT454,Deploy and manage blockchain nodes on AWS,Chalk talk
DVT304,Deploy infrastructure with speed and safety using AWS CloudFormation,Workshop
CNS314,Deploy multi-agent AI on Amazon EKS,Builders' session
CNS366,Designing web architectures on AWS at scale,Chalk talk
CNS418,Design multi-region resilience strategies on Amazon EKS,Chalk talk
DVT305, Develop AWS CDK resources to deploy your applications on AWS,Workshop
CNS415-S,Developing Serverless Applications Locally with AWS and LocalStack (sponsored by LocalStack),Lightning talk
DVT331,"Develop richer, contextual workflows with Model Context Protocol (MCP)",Chalk talk
IND314,DevOps Meets Broadcast: Build Your Own Multi-Camera Broadcast Solution,Workshop
AIM260-S,Ditch your old SRE playbook: AI SRE for root cause in minutes (sponsored by Resolve AI),Breakout session
MAM314,Domain driven microservices design with Amazon Bedrock and Amazon Q,Chalk talk
MAM405,Easily port .NET applications to Linux with AWS Transform for .NET,Workshop
AIM2202-S,"Edge AI in Real-World Solutions using AWS SageMaker, Greengrass and Bedrock (sponsored by Qualcomm)",Breakout session
COP326,Elevate application and generative AI observability,Breakout session
ISV401,Elevate Multi-Tenant SaaS Operations: DevOps Strategy with Kubernetes,Builders' session
COP336,Elevating application reliability,Breakout session
DVT303, Empower development teams with AI-driven automation,Builders' session
TNC313,Enhance and Scale Agents with Amazon Bedrock AgentCore,Interactive training
MAM407,Enhance legacy applications with modern gen AI features,Workshop
CNS317,Enhance your Amazon EKS development workflow with MCP,Builders' session
CNS208,Enhancing container security with Amazon ECR,Lightning talk
COP307,Enhancing security visibility: building scalable log analytics,Chalk talk
DEV346,Enterprise CI/CD: Advanced patterns for resilient deployments,Code talk
DVT208, Epic journey: Navigating the AI-powered SDLC from backlog to production,Breakout session
DAT431,Essentials for migrating from Oracle to Amazon Aurora PostgreSQL,Chalk talk
AMZ402,Evaluating AI agents: real-world lessons from Amazon's agent systems,Chalk talk
CMP405,Everything you've wanted to know about performance on EC2 instances,Code talk
DAT449,Evolve Amazon DynamoDB data models with no application impact,Chalk talk
OPN403,Expedite model loading times in Kubernetes using kro & ACK,Chalk talk
TNC312,Explore Advanced features of Amazon Aurora PostgreSQL,Interactive training
NTA315,Extending governance across clouds,Chalk talk
DVT213,Extend Kiro with MCP support for richer context,Breakout session
IND217-S,Fast and compliant CI/CD pipelines in the financial industry (sponsored by Octopus Deploy),Lightning talk
DAT423,Fast and easy bulk operations with Amazon DynamoDB,Chalk talk
HMC103-S,Fast-Track Modernization and Transformation with Nutanix and AWS (sponsored by Nutanix),Lightning talk
AIM268-S,FinOps 3.0: Cost Intelligence for the AI Era (sponsored by DoiT),Breakout session
DVT333,From AI tools to AI teammates: Building an AI strategy for your SDLC,Chalk talk
AIM225-S,From Alert to Resolution: Supercharge AWS Ops with the Agentic AI SRE (sponsored by NeuBird AI),Lightning talk
SEC220-S,From Cloud to AI  Securing the New Cloud Attack Surface (sponsored by Wiz),Breakout session
CNS341,From code to cloud: Accelerate application development with Amazon ECS,Breakout session
DVT320,From concept to production: Build with spec-driven development and Kiro,Code talk
AIM346-S,From Data to Decisions: Agentic AI for Security and Observability (sponsored by Elastic),Breakout session
CNS210,From monolith to microservices: Migrate and modernize with Amazon EKS,Breakout session
