code,title,type
API301,Accelerate API Creation with Amazon Q Developer CLI,Builders' session
CNS373,Accelerate building Serverless apps with Amazon Q and MCP servers,Code talk
CNS207,Accelerate container migrations with Amazon EKS Auto Mode,Chalk talk
CNS301,Accelerate platform engineering on Amazon EKS,Workshop
CNS315,Accelerate software delivery with Amazon,Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
CNS365,Advanced authorization patterns for secure serverless applications,Chalk talk
NTA404,AI Code to Production: Context Matters,Code talk
CNS351,Amazon ECS observability patterns and design decisions,Chalk talk
CNS401,"Amazon EKS: Infrastructure as code, GitOps, or CI/CD",Chalk talk
DEV303,Architecting Distributed Micro-frontends with Serverless,Chalk talk
CNS302,Architecting for data protection and compliance with Amazon ECS,Builders' session
CNS303,Architecture patterns for MLOps on Amazon EKS,Chalk talk
MAM203,"AWS for VMware migrations: Successes, roadmaps, & strategies",Breakout session
CNS304,AWS Lambda performance tuning: Best practices and guidance,Chalk talk
DVT315,AWS SAM Beyond the Basics - Powered by Amazon Q Developer,Chalk talk
CNS402,AWS Serverless developer experience workshop,Workshop
CNS403,Best practices for serverless developers,Breakout session
CNS346,"Break down monoliths, modernizing applications on Amazon ECS",Chalk talk
CNS305,Bring the power of Amazon EKS to your on-premises applications,Builders' session
CNS358,"Build AI-powered developer experiences with MCP on ECS, EKS and Lambda",Breakout session
CNS352,Build an adaptive compute grid with Amazon ECS and AWS Lambda,Chalk talk
DEV325,Build and Deploy Highly Available Event Processing with Containers,Chalk talk
DAT448,Build a stablecoin payment processor using AWS serverless services,Workshop
CNS359,"Build, deploy, and operate agentic architectures on AWS Serverless",Breakout session
CNS368,Build high-performance inference APIs with Lambda SnapStart,Chalk talk
CNS206,Building Agentic AI architectures with AWS Serverless,Builders' session
NTA405,"Building AI Agents with Serverless, Strands, and MCP",Code talk
CNS307,Building event-driven architectures using Amazon ECS with AWS Fargate,Breakout session
CNS308,"Building GenAI applications with AI Agents that reason, decide and act",Workshop
CNS202,Building interactive web based applications on Serverless,Builders' session
CNS309,Building multi-tenant SaaS applications with Amazon ECS,Workshop
CNS425,Building production-ready Agentic AI architectures with AWS Serverless,Chalk talk
API307,Building rate-limited solutions on AWS,Chalk talk
DEV324,Building Real-Time Container Security with AWS Native Tools,Chalk talk
CNS321,Building resilient deployment pipelines with Amazon ECS,Workshop
CNS424,Building resilient Serverless applications with chaos engineering,Chalk talk
DEV415,"Building Scalable, Self-Orchestrating AI Workflows with A2A and MCP",Breakout session
CNS310,Building secure serverless applications,Workshop
CNS311,Building serverless AI Agents in Java with Spring AI,Builders' session
CNS312,Building Serverless applications with Terraform workshop,Workshop
CNS404,Building Serverless distributed data processing workloads,Workshop
CNS203,Building your first event driven application,Builders' session
DEV308,Build modern applications with Amazon Aurora DSQL,Breakout session
DEV310,Build real-time full-stack Generative AI applications,Code talk
CNS353,Build safe and resilient deployment pipelines for Amazon ECS,Lightning talk
CNS347,Build secure and scalable agentic AI workflows on Amazon ECS,Chalk talk
CNS405,Cloud-native Java on Amazon EKS,Builders' session
CNS367,Debug Lambda functions deployed in cloud like never before,Breakout session
CNS416,Deep dive into Amazon ECS resilience and availability,Breakout session
CNS313,Demystifying the shared security model on Amazon ECS,Chalk talk
TNC318,Deploy Agentic AI Application with Strands and MCP on Amazon EKS,Interactive training
DEV209,Deploy Amazon EKS workloads with ArgoCD and GitOps,Lightning talk
CNS314,Deploy multi-agent AI on Amazon EKS,Builders' session
CNS362,Designing mission critical applications with serverless services,Breakout session
