code,title,type
NET310,Accelerate your hybrid network with AWS Direct Connect SiteLink,Workshop
PEX307,Accelerating Cloud Migration with Agentic AI: Hands-on AWS Transform,Builders' session
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
DAT442,Amazon Aurora HA and DR design patterns for global resilience,Breakout session
ARC320,Architecting resilient global networks with Project Kuiper,Breakout session
NET203,Ask Me Anything About AWS Networking,Chalk talk
NTA321,AWS Agent for SAP Invoice Automation,Workshop
ARC332-S,Beyond Multi-Cloud Chaos: The Unified Cloud Mesh Architecture (sponsored by HAProxy Technologies),Breakout session
ARC312,Building at global scale: Engineering AWS expansion,Breakout session
CMP351,Building for Efficiency & Reliability with Performance Testing on AWS,Lightning talk
HMC209-S,"Building High-Performance, Secure Networks for Hybrid and Multicloud (sponsored by Equinix)",Lightning talk
IND344,Building multi-Region financial transaction systems with Aurora DSQL,Builders' session
ARC207,Building on AWS resilience: Innovations for critical success,Breakout session
DEV406,Build resilient distributed systems through comprehensive testing,Chalk talk
STG407,Deep dive on Amazon S3,Breakout session
HMC315,Deep dive on AWS hybrid and edge networking architectures,Chalk talk
DAT454,Deploy and manage blockchain nodes on AWS,Chalk talk
HMC310,Digital sovereignty and data residency with AWS,Breakout session
CMP354,End-to-End Automotive Simulation: From Design to Analysis on AWS,Lightning talk
IND317,Financial services multi-Region design patterns and best practices,Chalk talk
ARC307,From downtime to uptime: Mastering application recovery on AWS,Workshop
HMC203-S,From Ground to Cloud: CAE Innovates with AWS & Red Hat (sponsored by Red Hat),Breakout session
AIM119-S,From idea to instant production readiness: building AI agents on Cloudflare (sponsored by Cloudflare),Lightning talk
ISV310,Global Growth: A Framework for Expanding into New Regions,Chalk talk
AIM226-S,Global infrastructure for foundation model inference (sponsored by Baseten),Lightning talk
AIM332,How Adobe & Salesforce Enable Sustainability initiatives with AWS CCFT,Breakout session
CMP353,Illumina DRAGEN pipelines on F2 instances with Nextflow & AWS Batch,Lightning talk
CMP355,Introducing Spending Limits for Amazon Braket,Lightning talk
CMP409,It's About Time! Improving Distributed Systems with Amazon Time Sync,Breakout session
STG352,Large-scale software deployments: Inside Amazon S3’s release pipeline,Breakout session
DAT424,Making your Amazon Aurora cluster more resilient,Chalk talk
CMP331,Managing Amazon EC2 capacity and availability,Breakout session
NET321,Measure what matters: Web & API optimization with Amazon CloudFront,Chalk talk
DAT317,Microseconds matter: Architect ultra-low latency trading platforms,Chalk talk
CMP334,Modernize Apple platform development with AWS and EC2 Mac,Breakout session
STG331,Multicloud data movement best practices with AWS DataSync,Chalk talk
CNS342,Navigate the cloud compute landscape with Amazon ECS,Breakout session
IND359,Navigating multi-Region AWS database choices for financial services,Chalk talk
NET320,Origin management for multi-region applications with Amazon CloudFront,Chalk talk
NET402,Powering your success through AWS Infrastructure innovations,Breakout session
GHJ310,re:Architecture Rodeo - Resilience Challenge,Gamified learning
ISV317,Scale and Optimize your Solutions Globally with AWS Expansion Programs,Breakout session
BIZ314,Scale your contact center with Amazon Connect global telephony,Chalk talk
IND215-S,Scaling Data Transformation w/ dbt & Nasdaq: Unlocking Ent Power Global Mkts (sponsored by dbt Labs),Lightning talk
STG332,Simplify secure file sharing with Transfer Family no-code web apps,Chalk talk
NET211,"State of the Edge:  Delivery of the web with CloudFront, WAF, and Shield",Breakout session
STG330,Strategies to accelerate petabyte-scale migrations with AWS DataSync,Chalk talk
IND363,Stream 3D applications globally with Amazon GameLift Streams,Workshop
COP332-S,The Digital Supply Chain Is Broken. Can AI Fix It? (sponsored by Files.com),Lightning talk
CMP347,The Frugal Architect in a Chaotic World,Chalk talk
NTA316,Transitioning VMware workloads: VMC-A to AWS EVS,Chalk talk
CMP210-S,Unleashing Performance: How Intel Xeon 6 on AWS EC2 Is Redefining Compute & TCO (sponsored by Intel),Breakout session
STG202,What's new with Amazon EBS,Breakout session
STG203,What's new with AWS File Storage,Breakout session
AIM109-S,Why Usage-Based Billing Must Be Treated as Infrastructure (sponsored by Metronome),Lightning talk
MAM210-S,Why Your Processor Matters for AI Inference and General Compute (sponsored by AMD),Breakout session
