code,title,type
AIM362,Accelerate AI workloads with UltraServers on Amazon SageMaker HyperPod,Breakout session
SPS324,Accelerate code delivery: Amazon Q developer and dev containers,Code talk
IND333,Accelerate financial products from idea to market with AI agents,Chalk talk
AIM361,Accelerate trusted AI development with AWS responsible AI practices,Chalk talk
IND3320,Accelerating AI: How Sun Life reduces latency and enhances engagement,Breakout session
BIZ324-S,Accelerating Business Value with Cloud and AI (sponsored by Infosys),Breakout session
IND414,Accelerating Life Sciences Regulatory Intelligence with Amazon Bedrock Agents,Chalk talk
IND202,Accelerating Real-World Evidence Generation in Life Sciences,Breakout session
ISV308,Accelerating SaaS Implementations with Amazon Bedrock and Amazon Nova,Chalk talk
DAT205-S,Accelerating SAP Transformation with Amazon EC2 with the latest Intel Xeon CPUs (sponsored by Intel),Breakout session
AIM237,Accelerating sustainability compliance with AI-powered document review,Lightning talk
NET317,A day in the life of an AWS WAF administrator ,Breakout session
HMC316,Address digital sovereignty with hybrid and cloud solutions,Chalk talk
AIM425,Advanced agentic RAG Systems: Deep dive with Amazon Bedrock,Code talk
IND302,Agentic AI for Autonomous Networks: AgentCore Design Patterns in Action,Chalk talk
AIM422,Agentic AI Meets responsible AI: Strategy and best practices,Breakout session
AIM232-S,Agentic AIOps: How LogicMonitor & WWT See Enterprises Readying for Autonomous IT (sponsored by LogicMonitor),Breakout session
AIM342-S,Agentic AI: The Next Frontier of Cloud Intelligence (sponsored by Atos),Lightning talk
AIM257-S,Agentic Data Fabric: Powering Autonomous AI with Trusted Data (sponsored by Reltio),Lightning talk
IND373,Agentic KYC: Autonomous customer screening for financial institutions,Chalk talk
IND334,Agent in an hour: Build an agentic app with Strands Agents and MCP,Builders' session
AIM3312,Agents that remember: Implementing context with AgentCore Memory,Breakout session
AIM3316-S,Agents & Tool Use at the Frontier: Building Autonomous Systems w/ Claude on AWS (sponsored by Anthropic),Breakout session
DEV301,"AI agents at the edge: Build for offline, scale in cloud",Breakout session
DEV315,"AI Agents for Databases: Discover, Recommend, Optimize",Breakout session
IND407,AI Agents for deploying telco network workloads on AWS: MCP-powered Framework,Builders' session
IND3310,AI Agents framework for 5G RAN network operations powered by AWS,Chalk talk
IND207,AI Agents in Concert: Building Self-Healing Networks with AWS & Ericsson,Breakout session
IND203,AI and HCP Engagement: Powering Smarter Life Sciences Field Operations,Chalk talk
CMP402,AI-assisted quantum software development using Amazon Braket and Amazon Bedrock,Chalk talk
NTA404,AI Code to Production: Context Matters,Code talk
GBL201,AI-Driven Operations: Scaling Observability and Cost Optimization,Breakout session
IND335,AI-Driven Research: Automating Workflows with AWS HealthOmics,Builders' session
DEV323,AI Native Development: Strategies and Impact across Amazon and AWS,Breakout session
AIM220-S,AI-Native Era of Observability: How You Can Get Started Today (sponsored by Coralogix),Breakout session
IND397,AI-Powered Content Compliance: Media Rating Automation with Nova,Chalk talk
AIM247-S,"All Power, No Pain: Scale Agentic AI Apps in an Open Lakehouse (sponsored by Qlik)",Lightning talk
IND336,Amazon Bedrock AgentCore & MCP for Automated Telecom Service Assurance,Builders' session
TNC322,Amazon Bedrock Agents: Features and Design Patterns,Breakout session
CMP202,Amazon Braket: Get hands-on with quantum computing,Workshop
